name	human	chimpanzee	bonobo	description
ZSWIM5	1	1	0	zinc finger SWIM-type containing 5
MUTYH	1	0	0	mutY DNA glycosylase
HPDL	1	0	0	4-hydroxyphenylpyruvate dioxygenase like
TESK2	1	1	0	testis associated actin remodelling kinase 2
CCDC163	1	0	0	CCDC163 homolog
MMACHC	1	0	0	metabolism of cobalamin associated C
PRDX1	1	0	0	peroxiredoxin 1
GPBP1L1	1	1	0	GC-rich promoter binding protein 1 like 1
IPP	1	1	1	intracisternal A particle-promoted polypeptide
MAST2	1	1	1	microtubule associated serine/threonine kinase 2
LURAP1	1	1	0	leucine rich adaptor protein 1
POMGNT1	1	1	0	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1%2C2-)
RAD54L	1	0	0	RAD54 like
UQCRH	1	0	0	ubiquinol-cytochrome c reductase hinge protein
NSUN4	1	1	0	NOP2/Sun RNA methyltransferase 4
FAAH	1	1	0	fatty acid amide hydrolase
EFCAB14	1	0	0	EF-hand calcium binding domain 14
CYP4X1	1	0	0	cytochrome P450 family 4 subfamily X member 1
CYP4Z1	1	1	1	cytochrome P450 family 4 subfamily Z member 1
STIL	1	0	0	STIL centriolar assembly protein
CMPK1	1	1	1	cytidine/uridine monophosphate kinase 1
SPATA6	1	1	1	spermatogenesis associated 6
AGBL4	1	1	0	AGBL carboxypeptidase 4
BEND5	1	0	0	BEN domain containing 5
ELAVL4	1	1	0	ELAV like RNA binding protein 4
FAF1	1	1	1	Fas associated factor 1
RNF11	1	1	0	ring finger protein 11
EPS15	1	1	0	epidermal growth factor receptor pathway substrate 15
OSBPL9	1	1	0	oxysterol binding protein like 9
NRDC	1	0	0	nardilysin convertase
RAB3B	1	0	0	RAB3B%2C member RAS oncogene family
BTF3L4	1	0	0	basic transcription factor 3 like 4
ZYG11A	1	1	0	zyg-11 family member A%2C cell cycle regulator
SCP2	1	1	1	sterol carrier protein 2
ECHDC2	1	0	0	enoyl-CoA hydratase domain containing 2
SLC1A7	1	1	0	solute carrier family 1 member 7
LRP8	1	1	0	LDL receptor related protein 8
DMRTB1	1	0	0	DMRT like family B with proline rich C-terminal 1
GLIS1	1	1	1	GLIS family zinc finger 1
NDC1	1	0	0	NDC1 transmembrane nucleoporin
YIPF1	1	1	0	Yip1 domain family member 1
DIO1	1	0	0	iodothyronine deiodinase 1
IFT25	1	0	0	intraflagellar transport 25
CYB5RL	1	0	0	cytochrome b5 reductase like
ACOT11	4	1	1	acyl-CoA thioesterase 11
FAM151A	1	1	0	family with sequence similarity 151 member A
MROH7	1	1	0	maestro heat like repeat family member 7
TTC4	1	1	0	tetratricopeptide repeat domain 4
CIMAP2	1	1	0	ciliary microtubule associated protein 2
DHCR24	1	1	0	24-dehydrocholesterol reductase
TMEM61	1	0	1	transmembrane protein 61
PLPP3	1	1	1	phospholipid phosphatase 3
FYB2	1	0	0	FYN binding protein 2
PRKAA2	1	1	0	protein kinase AMP-activated catalytic subunit alpha 2
C8A	1	1	0	complement C8 alpha chain
C8B	1	0	0	complement C8 beta chain
DAB1	1	1	1	DAB adaptor protein 1
JUN	1	0	0	Jun proto-oncogene%2C AP-1 transcription factor subunit
FGGY	4	1	1	FGGY carbohydrate kinase domain containing
C1orf87	1	0	0	chromosome 1 open reading frame 87
NFIA	1	1	1	nuclear factor I A
PATJ	1	1	1	PATJ crumbs cell polarity complex component
L1TD1	1	1	1	LINE1 type transposase domain containing 1
KANK4	1	1	1	KN motif and ankyrin repeat domains 4
USP1	1	0	0	ubiquitin specific peptidase 1
DOCK7	1	1	1	dedicator of cytokinesis 7
ITGB3BP	1	1	0	integrin subunit beta 3 binding protein
ROR1	1	1	0	receptor tyrosine kinase like orphan receptor 1
UBE2U	1	1	0	ubiquitin conjugating enzyme E2 U
CACHD1	1	1	1	cache domain containing 1
RAVER2	1	4	1	ribonucleoprotein%2C PTB binding 2
JAK1	1	1	0	Janus kinase 1
DNAJC6	1	1	0	DnaJ heat shock protein family (Hsp40) member C6
LEPR	1	1	1	leptin receptor
LEPROT	1	0	0	leptin receptor overlapping transcript
PDE4B	1	1	1	phosphodiesterase 4B
SGIP1	1	1	1	SH3GL interacting endocytic adaptor 1
DYNLT5	1	1	0	dynein light chain Tctex-type family member 5
DNAI4	1	1	0	dynein axonemal intermediate chain 4
MIER1	1	0	0	MIER1 transcriptional regulator
SLC35D1	1	0	0	solute carrier family 35 member D1
IL23R	1	1	0	interleukin 23 receptor
IL12RB2	1	1	1	interleukin 12 receptor subunit beta 2
WLS	1	1	0	Wnt ligand secretion mediator
LRRC7	1	1	1	leucine rich repeat containing 7
ANKRD13C	1	1	0	ankyrin repeat domain 13C
PTGER3	4	1	1	prostaglandin E receptor 3
ZRANB2	1	0	0	zinc finger RANBP2-type containing 2
