genes,descriptions,num_populations,is_shared,Central,Western,Eastern
KAZN,kazrin%2C periplakin interacting protein,3,Yes,14.87367078,9.502062102,13.67307162
HDAC4,histone deacetylase 4,3,Yes,14.83860935,12.82493994,10.77264529
LOC134807289,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,3,Yes,14.7933459,11.58771045,12.63622795
PRDM16,PR/SET domain 16,3,Yes,14.68147043,12.16605441,9.051798791
LOC129137555,uncharacterized LOC129137555,3,Yes,14.47617608,9.812383587,11.37905727
CAMSAP1,calmodulin regulated spectrin associated protein 1,3,Yes,14.41874176,11.47853071,11.91372196
LOC129136305,MAM and LDL-receptor class A domain-containing protein 1-like,3,Yes,14.3522968,9.312640561,11.20304913
PCSK6,proprotein convertase subtilisin/kexin type 6,3,Yes,12.03986049,12.01232216,14.33705693
LOC112204800,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,3,Yes,13.73726864,13.55286117,14.30664506
KIF25,kinesin family member 25,3,Yes,14.16931919,13.14860043,14.29731248
C1H1orf174,chromosome 1 C1orf174 homolog,3,Yes,14.24356148,11.15754364,12.51761635
SNTG2,syntrophin gamma 2,3,Yes,11.18777431,13.77357738,14.20307307
DEAF1,DEAF1 transcription factor,3,Yes,14.19901337,10.30765835,13.21135391
GET4,guided entry of tail-anchored proteins factor 4,3,Yes,14.17985948,12.60567155,12.04851358
ANKLE2,ankyrin repeat and LEM domain containing 2,3,Yes,11.44899424,13.96398885,11.23499437
LOC104003034,uncharacterized LOC104003034,3,Yes,13.90821134,12.02589692,13.63696471
LOC112208398,uncharacterized LOC112208398,3,Yes,13.86337504,7.609241191,9.816209729
RAB11FIP3,RAB11 family interacting protein 3,3,Yes,13.79001887,8.669924552,10.87246341
ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17,3,Yes,10.94427816,10.37412468,13.61771904
LOC129137558,uncharacterized LOC129137558,3,Yes,13.58772134,7.799731076,11.91070811
LOC749132,PRAME family member 1,3,Yes,13.54688726,8.13100505,9.426747266
PCNT,pericentrin,3,Yes,13.53522346,13.06687128,10.39086149
LSS,lanosterol synthase,3,Yes,13.52072186,10.26956965,12.44335972
GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,3,Yes,13.48976078,8.045155278,10.59354608
LOC104006775,uncharacterized LOC104006775,3,Yes,13.42010153,8.739408656,13.09614476
EXOC2,exocyst complex component 2,3,Yes,13.40367968,11.82034554,13.30035817
DUSP22,dual specificity phosphatase 22,3,Yes,13.36833767,9.060232403,9.414796288
IQCA1,IQ motif containing with AAA domain 1,3,Yes,10.99500047,7.96880858,13.31266151
CSNK1D,casein kinase 1 delta,3,Yes,13.18744525,9.916614535,10.73227929
LOC107972969,uncharacterized LOC107972969,3,Yes,11.47993732,9.771255772,13.11691344
LOC104004287,phosphoglucomutase-like protein 5,3,Yes,13.11420426,13.10951947,11.57867456
SGSM2,small G protein signaling modulator 2,3,Yes,12.98366623,9.708317967,11.54210833
LOC129136701,uncharacterized LOC129136701,3,Yes,12.97273647,10.64883458,10.34104554
LOC134807116,uncharacterized LOC134807116,3,Yes,12.88553008,12.06705862,12.30786257
LOC134807381,uncharacterized LOC134807381,3,Yes,12.78990963,9.143836356,11.58587621
LMF1,lipase maturation factor 1,3,Yes,12.77765101,8.507434092,11.45287584
LOC112207546,neuroblastoma breakpoint family member 15-like,3,Yes,12.77222362,8.990260407,10.58245778
LOC134808911,uncharacterized LOC134808911,3,Yes,12.75276083,10.22627817,10.1317505
JAKMIP3,Janus kinase and microtubule interacting protein 3,3,Yes,12.61437967,8.282649744,11.4889633
GALNT9,polypeptide N-acetylgalactosaminyltransferase 9,3,Yes,11.91812276,12.59836327,12.56106867
MYT1,myelin transcription factor 1,3,Yes,10.26497115,10.31747524,12.58853132
LOC129136527,neuroblastoma breakpoint family member 15-like,3,Yes,12.5209182,9.445920774,9.450103455
TENM4,teneurin transmembrane protein 4,3,Yes,12.51695143,7.545085788,9.106701462
LOC104004085,uncharacterized LOC104004085,3,Yes,12.48623337,8.210003519,11.53808792
ATP11A,ATPase phospholipid transporting 11A,3,Yes,11.41330248,12.23217909,12.43452413
ACTR3B,actin related protein 3B,3,Yes,12.39633969,9.689619254,10.21446616
LOC112208420,uncharacterized LOC112208420,3,Yes,12.37557016,11.31074991,10.45704067
BPHL,biphenyl hydrolase like,3,Yes,10.89609445,7.836475442,12.36081569
SORCS2,sortilin related VPS10 domain containing receptor 2,3,Yes,12.32409884,8.584179737,9.724378012
DPP6,dipeptidyl peptidase like 6,3,Yes,12.25890883,8.423891228,8.963802607
GNG7,G protein subunit gamma 7,3,Yes,10.4992597,8.308180047,12.25501492
LOC129144375,protein eyes shut homolog,3,Yes,12.25309186,7.614781987,8.989380201
PNPLA7,patatin like phospholipase domain containing 7,3,Yes,12.25303815,11.23235902,10.73326621
NETO1,neuropilin and tolloid like 1,3,Yes,12.20266974,9.456776067,11.76721178
CACNA1C,calcium voltage-gated channel subunit alpha1 C,3,Yes,12.19267949,9.20094696,9.10178755
HBE1,hemoglobin subunit epsilon 1,3,Yes,12.17753948,9.558579522,9.845422421
RPA1,replication protein A1,3,Yes,12.11929194,8.634167858,10.91250979
DNAAF5,dynein axonemal assembly factor 5,3,Yes,12.10847689,9.700295863,11.52542202
CSMD1,CUB and Sushi multiple domains 1,3,Yes,10.75861043,8.797444011,12.07830767
LOC738663,tubulin beta-8 chain-like,3,Yes,12.04265811,8.991409504,11.45330369
LOC129137562,uncharacterized LOC129137562,3,Yes,12.03178984,10.31557198,9.472026575
COL5A1,collagen type V alpha 1 chain,3,Yes,11.79778292,12.01945899,11.02106133
B4GALNT3,beta-1%2C4-N-acetyl-galactosaminyltransferase 3,3,Yes,10.63695598,12.00466289,11.4392208
LINS1,lines homolog 1,3,Yes,11.96263854,11.76990429,9.091196417
CDH13,cadherin 13,3,Yes,11.88934656,8.251813804,10.79196757
HCN2,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2,3,Yes,11.8820724,8.691293223,11.16888457
LOC129138184,uncharacterized LOC129138184,3,Yes,11.65758507,11.85598686,11.02497213
ZNF16,zinc finger protein 16,3,Yes,11.85458837,9.617982041,10.97117711
CAPN15,calpain 15,3,Yes,11.83199879,10.25955171,11.42615367
NLRP12,NLR family pyrin domain containing 12,3,Yes,10.26085259,9.046211949,11.81022636
LOC739761,putative COBW domain-containing protein 7,3,Yes,11.79809837,10.16961068,10.44629766
RUNX3,RUNX family transcription factor 3,3,Yes,10.9558578,11.78348896,9.27000098
PCBP3,poly(rC) binding protein 3,3,Yes,11.73514336,9.649904811,10.76001805
ADPRHL1,ADP-ribosylhydrolase like 1,3,Yes,11.70016009,11.16937463,11.54111031
TNK2,tyrosine kinase non receptor 2,3,Yes,11.6456358,9.075711549,10.44078909
ACR,acrosin,3,Yes,10.47136667,10.58868536,11.63834511
CDH4,cadherin 4,3,Yes,11.55344991,8.434689808,10.65604883
PTPRD,protein tyrosine phosphatase receptor type D,3,Yes,11.55140287,8.523727536,9.896500038
INPP4B,inositol polyphosphate-4-phosphatase type II B,3,Yes,11.54133197,8.899636865,9.280919043
LOC129143355,PRAME family member 8-like,3,Yes,11.53950765,8.917548774,10.59673795
TXNL4A,thioredoxin like 4A,3,Yes,10.36419417,9.911783348,11.51110269
TRNAE-UUC,transfer RNA glutamic acid (anticodon UUC),3,Yes,11.43396979,8.013074651,9.524831027
CHSY1,chondroitin sulfate synthase 1,3,Yes,11.27993763,8.823911229,11.3757421
B3GNTL1,UDP-GlcNAc:betaGal beta-1%2C3-N-acetylglucosaminyltransferase like 1,3,Yes,11.32629111,7.733080699,10.86615138
TRARG1,trafficking regulator of GLUT4 (SLC2A4) 1,3,Yes,11.23420418,7.93028904,11.11506587
ATP9B,ATPase phospholipid transporting 9B (putative),3,Yes,10.95687373,9.218168602,11.16301471
LOC104007081,SUMO-interacting motif-containing protein 1,3,Yes,11.15487238,7.554358063,9.856504368
LOC112204803,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2,3,Yes,11.14372627,10.89630795,10.54129364
VIPR2,vasoactive intestinal peptide receptor 2,3,Yes,10.87080659,8.68369323,10.93093811
LOC107971522,uncharacterized LOC107971522,3,Yes,10.20626493,9.110761583,10.92942445
LOC112205253,MAM and LDL-receptor class A domain-containing protein 1-like,3,Yes,10.90262847,10.22849433,9.445263074
LOC134808912,uncharacterized LOC134808912,3,Yes,10.64365697,8.876791016,9.791797281
TRIM58,tripartite motif containing 58,3,Yes,10.55724036,9.939629681,9.127821982
LOC104007095,uncharacterized LOC104007095,3,Yes,10.53865169,8.745939263,9.278510213
LOC134809706,uncharacterized LOC134809706,3,Yes,10.53861738,9.385963438,10.13124459
