genes,genes_renamed,descriptions,num_populations,is_shared,Eastern,Western,Central,Candidate TSP literature
IGSF21,IGSF21,immunoglobin superfamily member 21,1,No,NA,6.605882813,NA,
CLBA1,CLBA1,clathrin binding box of aftiphilin containing 1,1,No,NA,6.602188421,NA,
PATR-F,HLA-F,major histocompatibility complex%2C class I%2C F,1,No,NA,6.600176489,NA,
ARHGAP39,ARHGAP39,Rho GTPase activating protein 39,1,No,NA,6.573668461,NA,
CADPS,CADPS,calcium dependent secretion activator,1,No,NA,6.523988008,NA,
ANKRD11,ANKRD11,ankyrin repeat domain containing 11,1,No,NA,6.521229091,NA,
CAPZB,CAPZB,capping actin protein of muscle Z-line subunit beta,1,No,NA,6.490597592,NA,
FN3KRP,FN3KRP,fructosamine 3 kinase related protein,1,No,NA,6.487919106,NA,
GRM3,GRM3,glutamate metabotropic receptor 3,1,No,NA,6.485784638,NA,
SLC5A11,SLC5A11,solute carrier family 5 member 11,1,No,NA,6.472727402,NA,
ATP8A2,ATP8A2,ATPase phospholipid transporting 8A2,1,No,NA,6.470596937,NA,
TARM1,TARM1,T cell-interacting%2C activating receptor on myeloid cells 1,1,No,NA,6.467093998,NA,
GPR132,GPR132,G protein-coupled receptor 132,1,No,NA,6.423240005,NA,
LOC750576,ALG1,chitobiosyldiphosphodolichol beta-mannosyltransferase-like,1,No,NA,6.423047692,NA,
LOC456264,ZNF701,zinc finger protein 701,1,No,NA,6.412542196,NA,
NRXN3,NRXN3,neurexin 3,1,No,NA,6.400834996,NA,
MTUS1,MTUS1,microtubule associated scaffold protein 1,1,No,NA,6.3997196,NA,
SH2D1B,SH2D1B,SH2 domain containing 1B,1,No,NA,6.393083407,NA,
LOC463170,TCP10L,putative T-complex protein 10A homolog,1,No,NA,6.386860522,NA,
LOC742579,PMS2,mismatch repair endonuclease PMS2,1,No,NA,6.373954891,NA,
RAB3GAP2,RAB3GAP2,RAB3 GTPase activating non-catalytic protein subunit 2,1,No,NA,6.368363274,NA,
SERPINB12,SERPINB12,serpin family B member 12,1,No,NA,6.358160606,NA,
MFHAS1,MFHAS1,multifunctional ROCO family signaling regulator 1,1,No,NA,6.341998964,NA,
ADPRHL1,ADPRHL1,ADP-ribosylhydrolase like 1,1,No,NA,6.339906915,NA,
FDFT1,FDFT1,farnesyl-diphosphate farnesyltransferase 1,1,No,NA,6.325701965,NA,
SMCO4,SMCO4,single-pass membrane protein with coiled-coil domains 4,1,No,NA,6.324096739,NA,
SIRPB1,SIRPB1,signal regulatory protein beta 1,1,No,NA,6.311368895,NA,
GINS3,GINS3,GINS complex subunit 3,1,No,NA,6.310010427,NA,
RBM20,RBM20,RNA binding motif protein 20,1,No,NA,6.300004707,NA,
INSR,INSR,insulin receptor,1,No,NA,6.289329703,NA,
LOC466561,OR8U9,olfactory receptor 8U9-like,1,No,NA,6.288021305,NA,
CFAP54,CFAP54,cilia and flagella associated protein 54,1,No,NA,6.286298445,NA,
CNTN5,CNTN5,contactin 5,1,No,NA,6.282949283,NA,
ENOX1,ENOX1,ecto-NOX disulfide-thiol exchanger 1,1,No,NA,6.263057339,NA,
PATR-DQA2,HLA-DQA2,major histocompatibility complex%2C class II%2C DQ alpha 2,1,No,NA,6.26215122,NA,
UCMA,UCMA,upper zone of growth plate and cartilage matrix associated,1,No,NA,6.261634378,NA,
SIGLEC6,SIGLEC6,sialic acid binding Ig like lectin 6,1,No,NA,6.257046733,NA,
TOP1MT,TOP1MT,DNA topoisomerase I mitochondrial,1,No,NA,6.250778413,NA,
RORA,RORA,RAR related orphan receptor A,1,No,NA,6.242127318,NA,
TRDN,TRDN,triadin,1,No,NA,6.236750978,NA,
C4H4orf19,C4H4orf19,chromosome 4 C4orf19 homolog,1,No,NA,6.233925289,NA,
HBD,HBD,hemoglobin subunit delta,1,No,NA,6.229129749,NA,
GYPB,GYPB,glycophorin B (MNS blood group),1,No,NA,NA,17.40441849,
TRAPPC9,TRAPPC9,trafficking protein particle complex subunit 9,1,No,NA,NA,11.82820224,
CPQ,CPQ,carboxypeptidase Q,1,No,NA,NA,11.6296586,
MYO3B,MYO3B,myosin IIIB,1,No,NA,NA,11.13464585,
F11,F11,coagulation factor XI,1,No,NA,NA,10.90739187,
LRRTM4,LRRTM4,leucine rich repeat transmembrane neuronal 4,1,No,NA,NA,10.77051905,
LOC134806951,TAFA1,TAFA chemokine like family member 1,1,No,NA,NA,10.64890225,
LOC100616520,HLA-DQB1,HLA class II histocompatibility antigen%2C DQ beta 1 chain,1,No,NA,NA,10.62227222,
NETO1,NETO1,neuropilin and tolloid like 1,1,No,NA,NA,10.54723042,
LOC749440,IGHV4-34,immunoglobulin heavy variable 4-34-like,1,No,NA,NA,10.50950416,
LHFPL6,LHFPL6,LHFPL tetraspan subfamily member 6,1,No,NA,NA,10.47634705,
PATR-DPA1,HLA-DPA1,major histocompatibility complex%2C class II%2C DP alpha 1,1,No,NA,NA,10.4259662,
WDR7,WDR7,WD repeat domain 7,1,No,NA,NA,10.40352369,
CCDC102B,CCDC102B,coiled-coil domain containing 102B,1,No,NA,NA,10.40285376,
LOC134807488,SLCO1B7,putative solute carrier organic anion transporter family member 1B7,1,No,NA,NA,10.38094649,
SDK2,SDK2,sidekick cell adhesion molecule 2,1,No,NA,NA,10.32284769,
ABHD2,ABHD2,abhydrolase domain containing 2%2C acylglycerol lipase,1,No,NA,NA,10.26364494,
PSMB8,PSMB8,proteasome 20S subunit beta 8,1,No,NA,NA,10.20405707,
GRK3,GRK3,G protein-coupled receptor kinase 3,1,No,NA,NA,10.1915439,
TRIM16,TRIM16,tripartite motif containing 16,1,No,NA,NA,10.18250476,
RARB,RARB,retinoic acid receptor beta,1,No,NA,NA,10.17551009,
MCCC1,MCCC1,methylcrotonyl-CoA carboxylase subunit 1,1,No,NA,NA,10.13355961,
LOC134807808,BCAS1,breast carcinoma-amplified sequence 4-like,1,No,NA,NA,10.08548127,
PLB1,PLB1,phospholipase B1,1,No,NA,NA,10.07524877,
CCHCR1,CCHCR1,coiled-coil alpha-helical rod protein 1,1,No,NA,NA,10.072895,
IL1R1,IL1R1,interleukin 1 receptor type 1,1,No,NA,NA,10.07225768,
IQGAP2,IQGAP2,IQ motif containing GTPase activating protein 2,1,No,NA,NA,10.03655417,
CTNNA3,CTNNA3,catenin alpha 3,1,No,NA,NA,9.996717994,
PATJ,PATJ,PATJ crumbs cell polarity complex component,1,No,NA,NA,9.98614589,
MTMR9,MTMR9,myotubularin related protein 9,1,No,NA,NA,9.958003276,
TSHR,TSHR,thyroid stimulating hormone receptor,1,No,NA,NA,9.86298342,
MYOCD,MYOCD,myocardin,1,No,NA,NA,9.846405927,
WDR19,WDR19,WD repeat domain 19,1,No,NA,NA,9.799238627,
RALYL,RALYL,RALY RNA binding protein like,1,No,NA,NA,9.778662644,
IGSF5,IGSF5,immunoglobulin superfamily member 5,1,No,NA,NA,9.774158542,
KCNG4,KCNG4,potassium voltage-gated channel modifier subfamily G member 4,1,No,NA,NA,9.770370348,
NRG3,NRG3,neuregulin 3,1,No,NA,NA,9.743089529,
ABCA13,ABCA13,ATP binding cassette subfamily A member 13,1,No,NA,NA,9.699449337,
NINJ2,NINJ2,ninjurin 2,1,No,NA,NA,9.685426718,
LOC101059405,TRBV7-6,T cell receptor beta variable 7-6-like,1,No,NA,NA,9.664729382,
LOC743568,ADAMTS7,A disintegrin and metalloproteinase with thrombospondin motifs 7,1,No,NA,NA,9.642969424,
SORCS1,SORCS1,sortilin related VPS10 domain containing receptor 1,1,No,NA,NA,9.638523245,
NPAS2,NPAS2,neuronal PAS domain protein 2,1,No,NA,NA,9.584486569,
UNC13C,UNC13C,unc-13 homolog C,1,No,NA,NA,9.569405539,
SV2B,SV2B,synaptic vesicle glycoprotein 2B,1,No,NA,NA,9.546914858,
SLC37A3,SLC37A3,solute carrier family 37 member 3,1,No,NA,NA,9.540190111,
CA5A,CA5A,carbonic anhydrase 5A,1,No,NA,NA,9.521194368,
PDILT,PDILT,protein disulfide isomerase like%2C testis expressed,1,No,NA,NA,9.508779108,
PRKAG2,PRKAG2,protein kinase AMP-activated non-catalytic subunit gamma 2,1,No,NA,NA,9.499928611,
NALF1,NALF1,NALCN channel auxiliary factor 1,1,No,NA,NA,9.494683596,
PLD3,PLD3,phospholipase D family member 3,1,No,NA,NA,9.483384399,
SHLD1,SHLD1,shieldin complex subunit 1,1,No,NA,NA,9.480951257,
GPR45,GPR45,G protein-coupled receptor 45,1,No,NA,NA,9.470175293,
NLRP11,NLRP11,NLR family pyrin domain containing 11,1,No,NA,NA,9.464872748,
PRCP,PRCP,prolylcarboxypeptidase,1,No,NA,NA,9.454678688,
DNER,DNER,delta/notch like EGF repeat containing,1,No,NA,NA,9.441408224,
RAI14,RAI14,retinoic acid induced 14,1,No,NA,NA,9.416044947,
OR11A1,OR11A1,olfactory receptor family 11 subfamily A member 1,1,No,NA,NA,9.398844121,
CCDC27,CCDC27,coiled-coil domain containing 27,1,No,NA,NA,9.35826347,
FHIT,FHIT,fragile histidine triad diadenosine triphosphatase,1,No,NA,NA,9.352290568,
NOTCH2,NOTCH2,notch receptor 2,1,No,NA,NA,9.33543405,
CD48,CD48,CD48 molecule,1,No,NA,NA,9.312545915,
LILRA5,LILRA5,leukocyte immunoglobulin like receptor A5,1,No,NA,NA,9.299416584,
ACAN,ACAN,aggrecan,1,No,NA,NA,9.297197057,
WDR59,WDR59,WD repeat domain 59,1,No,NA,NA,9.271565456,
LOC739542,PRH1,salivary acidic proline-rich phosphoprotein 1/2,1,No,NA,NA,9.258000851,
LOC129136901,PARP4,protein mono-ADP-ribosyltransferase PARP4-like,1,No,NA,NA,9.238068153,
EEPD1,EEPD1,endonuclease/exonuclease/phosphatase family domain containing 1,1,No,NA,NA,9.227227414,
TRNAP-UGG,TRNAP-UGG,transfer RNA proline (anticodon UGG),1,No,NA,NA,9.219965121,
COL23A1,COL23A1,collagen type XXIII alpha 1 chain,1,No,NA,NA,9.20586565,
SLC35F3,SLC35F3,solute carrier family 35 member F3,1,No,NA,NA,9.203280026,
FGF12,FGF12,fibroblast growth factor 12,1,No,NA,NA,9.198989916,
WDR72,WDR72,WD repeat domain 72,1,No,NA,NA,9.155183198,
HSD17B2,HSD17B2,hydroxysteroid 17-beta dehydrogenase 2,1,No,NA,NA,9.147074393,
CNGB1,CNGB1,cyclic nucleotide gated channel subunit beta 1,1,No,NA,NA,9.142538738,
TENM3,TENM3,teneurin transmembrane protein 3,1,No,NA,NA,9.141955996,
CBLN2,CBLN2,cerebellin 2 precursor,1,No,NA,NA,9.129515193,
FGL1,FGL1,fibrinogen like 1,1,No,NA,NA,9.1241828,
COL19A1,COL19A1,collagen type XIX alpha 1 chain,1,No,NA,NA,9.120342422,
NAT1,NAT1,N-acetyltransferase 1,1,No,NA,NA,9.11985662,
TSPAN8,TSPAN8,tetraspanin 8,1,No,NA,NA,9.116217943,
TRPC4,TRPC4,transient receptor potential cation channel subfamily C member 4,1,No,NA,NA,9.104852817,
LOC107966728,RSU1 ,ras suppressor protein 1-like,1,No,NA,NA,9.103509956,
DOK5,DOK5,docking protein 5,1,No,NA,NA,9.098101424,
FAM50B,FAM50B,family with sequence similarity 50 member B,1,No,NA,NA,9.095630403,
EXOC2,EXOC2,exocyst complex component 2,1,No,NA,NA,9.083258479,
VLDLR,VLDLR,very low density lipoprotein receptor,1,No,NA,NA,9.080929109,
TMEM131L,TMEM131L,transmembrane 131 like,1,No,NA,NA,9.075171775,
USP13,USP13,ubiquitin specific peptidase 13,1,No,NA,NA,9.05989425,
RIN2,RIN2,Ras and Rab interactor 2,1,No,NA,NA,9.057943733,
ZFR2,ZFR2,zinc finger RNA binding protein 2,1,No,NA,NA,9.052087875,
LRRC4C,LRRC4C,leucine rich repeat containing 4C,1,No,NA,NA,9.044314433,
AGPAT4,AGPAT4,1-acylglycerol-3-phosphate O-acyltransferase 4,1,No,NA,NA,9.031225457,
MRS2,MRS2,magnesium transporter MRS2,1,No,NA,NA,9.028714414,
PLCB1,PLCB1,phospholipase C beta 1,1,No,NA,NA,9.015176348,
C17H17orf99,C17H17orf99,chromosome 17 C17orf99 homolog,1,No,NA,NA,9.005895266,
LOC743567,TRAV8-6,T cell receptor alpha variable 8-6-like,1,No,NA,NA,8.988423926,
GALNT17,GALNT17,polypeptide N-acetylgalactosaminyltransferase 17,1,No,NA,NA,8.986056114,
NALCN,NALCN,sodium leak channel%2C non-selective,1,No,NA,NA,8.982237629,
C8B,C8B,complement C8 beta chain,1,No,NA,NA,8.964032636,
DBNDD1,DBNDD1,dysbindin domain containing 1,1,No,NA,NA,8.952725178,
COL14A1,COL14A1,collagen type XIV alpha 1 chain,1,No,NA,NA,8.929482412,
NRROS,NRROS,negative regulator of reactive oxygen species,1,No,NA,NA,8.927908399,
LOC104002732,AFG3L1,AFG3-like protein 1,1,No,NA,NA,8.92684315,
GSDMC,GSDMC,gasdermin C,1,No,NA,NA,8.924420062,
PPDPFL,PPDPFL,pancreatic progenitor cell differentiation and proliferation factor like,1,No,NA,NA,8.923483666,
CMIP,CMIP,c-Maf inducing protein,1,No,NA,NA,8.918386557,
OR2A2,OR2A2,olfactory receptor family 2 subfamily A member 2,1,No,NA,NA,8.900518125,
CDON,CDON,cell adhesion associated%2C oncogene regulated,1,No,NA,NA,8.889690668,
ATP13A2,ATP13A2,ATPase cation transporting 13A2,1,No,NA,NA,8.888059402,
ASTN2,ASTN2,astrotactin 2,1,No,NA,NA,8.883428293,
CHN2,CHN2,chimerin 2,1,No,NA,NA,8.870690075,
IARS2,IARS2,isoleucyl-tRNA synthetase 2%2C mitochondrial,1,No,NA,NA,8.866661387,
RSPO4,RSPO4,R-spondin 4,1,No,NA,NA,8.857470198,
KCNJ15,KCNJ15,potassium inwardly rectifying channel subfamily J member 15,1,No,NA,NA,8.857096805,
LEPR,LEPR,leptin receptor,1,No,NA,NA,8.85497233,
STK32B,STK32B,serine/threonine kinase 32B,1,No,NA,NA,8.847170959,
TEAD4,TEAD4,TEA domain transcription factor 4,1,No,NA,NA,8.835408696,
SCN9A,SCN9A,sodium voltage-gated channel alpha subunit 9,1,No,NA,NA,8.825889294,
SGMS1,SGMS1,sphingomyelin synthase 1,1,No,NA,NA,8.817484952,
KIRREL3,KIRREL3,kirre like nephrin family adhesion molecule 3,1,No,NA,NA,8.810117047,
ADTRP,ADTRP,androgen dependent TFPI regulating protein,1,No,NA,NA,8.805208911,
ZFAT,ZFAT,zinc finger and AT-hook domain containing,1,No,NA,NA,8.799430047,
LOC104008393,ACSM12C,acyl-coenzyme A synthetase ACSM1%2C mitochondrial-like,1,No,10.98618007,NA,NA,
UGT2A2,UGT2A2,UDP glucuronosyltransferase family 2 member A2,1,No,10.53614579,NA,NA,
RNF144A,RNF144A,ring finger protein 144A,1,No,9.742830362,NA,NA,
RIMBP2,RIMBP2,RIMS binding protein 2,1,No,9.572569232,NA,NA,
GLT1D1,GLT1D1,glycosyltransferase 1 domain containing 1,1,No,9.25851591,NA,NA,
LOC129141188,NFE4,transcription factor NF-E4-like,1,No,9.013770708,NA,NA,
PGM2,PGM2,phosphoglucomutase 2,1,No,8.926653553,NA,NA,
DMBT1,DMBT1,deleted in malignant brain tumors 1,1,No,8.732054746,NA,NA,
DLGAP1,DLGAP1,DLG associated protein 1,1,No,8.690510774,NA,NA,
LOC129136401,OLFM4,olfactomedin-4-like,1,No,8.667783243,NA,NA,
LOC100609864,TAS2R14,taste receptor type 2 member 30-like,1,No,8.473791038,NA,NA,
PCSK6,PCSK6,proprotein convertase subtilisin/kexin type 6,1,No,8.447562463,NA,NA,
AGAP1,AGAP1,ArfGAP with GTPase domain%2C ankyrin repeat and PH domain 1,1,No,8.434189816,NA,NA,
TMEM50A,TMEM50A,transmembrane protein 50A,1,No,8.414557081,NA,NA,
GLB1L2,GLB1L2,galactosidase beta 1 like 2,1,No,8.306408914,NA,NA,
KDM4C,KDM4C,lysine demethylase 4C,1,No,8.285720276,NA,NA,
LRRK1,LRRK1,leucine rich repeat kinase 1,1,No,8.260970836,NA,NA,
PLPPR1,PLPPR1,phospholipid phosphatase related 1,1,No,8.24296512,NA,NA,
GALNTL6,GALNTL6,polypeptide N-acetylgalactosaminyltransferase like 6,1,No,8.233624255,NA,NA,
ZNF347,ZNF347,zinc finger protein 347,1,No,8.186803027,NA,NA,
TMTC2,TMTC2,transmembrane O-mannosyltransferase targeting cadherins 2,1,No,8.172886764,NA,NA,
LOC461289,UGT2B15,UDP-glucuronosyltransferase 2B15,1,No,8.114355431,NA,NA,
PATR-DQB1,HLA-DQB1,major histocompatibility complex%2C class II%2C DQ beta 1,1,No,8.098896295,NA,NA,
LOC451825,DDX11,ATP-dependent DNA helicase DDX11-like,1,No,8.07983569,NA,NA,
DYNC2I1,DYNC2I1,dynein 2 intermediate chain 1,1,No,8.074261183,NA,NA,
TTLL8,TTLL8,tubulin tyrosine ligase like 8,1,No,8.06323648,NA,NA,
WWOX,WWOX,WW domain containing oxidoreductase,1,No,8.044334968,NA,NA,
TBCD,TBCD,tubulin folding cofactor D,1,No,8.042170136,NA,NA,
NLRP13,NLRP13,NLR family pyrin domain containing 13,1,No,8.038094805,NA,NA,
GFOD1,GFOD1,Gfo/Idh/MocA-like oxidoreductase domain containing 1,1,No,8.036412986,NA,NA,
SPAG16,SPAG16,sperm associated antigen 16,1,No,8.032140383,NA,NA,
ZNF385D,ZNF385D,zinc finger protein 385D,1,No,7.955949984,NA,NA,
MEAK7,MEAK7,MTOR associated protein%2C eak-7 homolog,1,No,7.923490601,NA,NA,
TADA1,TADA1,transcriptional adaptor 1,1,No,7.918163945,NA,NA,
MUC22,MUC22,mucin 22,1,No,7.917701661,NA,NA,
MKI67,MKI67,marker of proliferation Ki-67,1,No,7.915722723,NA,NA,
LAMP3,LAMP3,lysosomal associated membrane protein 3,1,No,7.915265257,NA,NA,
CFAP46,CFAP46,cilia and flagella associated protein 46,1,No,7.849165499,NA,NA,
TAFA4,TAFA4,TAFA chemokine like family member 4,1,No,7.824182225,NA,NA,
ACSS3,ACSS3,acyl-CoA synthetase short chain family member 3,1,No,7.81823918,NA,NA,
SULT1B1,SULT1B1,sulfotransferase family 1B member 1,1,No,7.816747607,NA,NA,
ELSPBP1,ELSPBP1,epididymal sperm binding protein 1,1,No,7.811741847,NA,NA,
TPGS1,TPGS1,tubulin polyglutamylase complex subunit 1,1,No,7.800585352,NA,NA,
EBF3,EBF3,EBF transcription factor 3,1,No,7.791825928,NA,NA,
BNC2,BNC2,basonuclin zinc finger protein 2,1,No,7.780281108,NA,NA,
VPS13D,VPS13D,vacuolar protein sorting 13 homolog D,1,No,7.765775063,NA,NA,
ABCB11,ABCB11,ATP binding cassette subfamily B member 11,1,No,7.760301354,NA,NA,
ANO2,ANO2,anoctamin 2,1,No,7.756742514,NA,NA,
MEI4,MEI4,meiotic double-stranded break formation protein 4,1,No,7.754586261,NA,NA,
GET4,GET4,guided entry of tail-anchored proteins factor 4,1,No,7.740101297,NA,NA,
RUBCN,RUBCN,rubicon autophagy regulator,1,No,7.731521886,NA,NA,
NLRP12,NLRP12,NLR family pyrin domain containing 12,1,No,7.728716973,NA,NA,
TMPRSS15,TMPRSS15,transmembrane serine protease 15,1,No,7.724670185,NA,NA,
ZNF160,ZNF160,zinc finger protein 160,1,No,7.723336874,NA,NA,
PLA2G5,PLA2G5,phospholipase A2 group V,1,No,7.719438075,NA,NA,
TMC5,TMC5,transmembrane channel like 5,1,No,7.714183433,NA,NA,
SUCLG2,SUCLG2,succinate-CoA ligase GDP-forming subunit beta,1,No,7.710311459,NA,NA,
LOC134809608,ESRG,embryonic stem cell-related gene protein-like,1,No,7.709797202,NA,NA,
SPATC1L,SPATC1L,spermatogenesis and centriole associated 1 like,1,No,7.699631946,NA,NA,
RGS6,RGS6,regulator of G protein signaling 6,1,No,7.695014203,NA,NA,
ARPP21,ARPP21,cAMP regulated phosphoprotein 21,1,No,7.686027668,NA,NA,
NLRP4,NLRP4,NLR family pyrin domain containing 4,1,No,7.683196154,NA,NA,
OR51E2,OR51E2,olfactory receptor family 51 subfamily E member 2,1,No,7.677480498,NA,NA,
SLC38A8,SLC38A8,solute carrier family 38 member 8,1,No,7.668884055,NA,NA,
MCF2L,MCF2L,MCF.2 cell line derived transforming sequence like,1,No,7.659535076,NA,NA,
CDH4,CDH4,cadherin 4,1,No,7.658555072,NA,NA,
SH2D4A,SH2D4A,SH2 domain containing 4A,1,No,7.652013061,NA,NA,
CD207,CD207,CD207 molecule,1,No,7.645071327,NA,NA,
