genes,genes_renamed,descriptions,num_populations,is_shared,Eastern,Western,Central,Candidate TSP literature
PTPRN2,PTPRN2,protein tyrosine phosphatase receptor type N2,3,Yes,10.06018208,8.672024509,9.586778235,
ABR,ABR,ABR activator of RhoGEF and GTPase,3,Yes,10.02198266,6.856836995,10.83922406,
PTPRD,PTPRD,protein tyrosine phosphatase receptor type D,3,Yes,9.896500038,8.523727536,11.55140287,
MMP26,MMP26,matrix metallopeptidase 26,3,Yes,9.855968549,8.21930461,10.21180795,
JAKMIP3,JAKMIP3,Janus kinase and microtubule interacting protein 3,3,Yes,9.807716543,8.282649744,9.390723329,
NOM1,NOM1,nucleolar protein with MIF4G domain 1,3,Yes,9.713184301,7.008353842,13.8746788,
WDR37,WDR37,WD repeat domain 37,3,Yes,9.672553924,6.860865577,11.92607852,
NKAIN2,NKAIN2,sodium/potassium transporting ATPase interacting 2,3,Yes,9.4478089,7.383616866,8.974005081,
LOC100608180,LILRB3,leukocyte immunoglobulin-like receptor subfamily B member 3-like,3,Yes,9.436214005,8.700097319,9.586211987,
DOCK1,DOCK1,dedicator of cytokinesis 1,3,Yes,9.272093427,8.395839711,10.02285672,
ADAMTS17,ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17,3,Yes,9.247478695,6.394311205,9.589695481,
TRIM31,TRIM31,tripartite motif containing 31,3,Yes,9.245170685,7.0375741,13.38847949,
SORCS2,SORCS2,sortilin related VPS10 domain containing receptor 2,3,Yes,9.21412872,7.283446727,11.39535802,
LOC472696,RPL19,large ribosomal subunit protein eL19,3,Yes,9.212427489,7.416259881,9.411001857,
TMEM132D,TMEM132D,transmembrane protein 132D,3,Yes,9.126447497,8.91073588,9.730718446,
TENM4,TENM4,teneurin transmembrane protein 4,3,Yes,9.106701462,7.545085788,12.51695143,
CACNA1C,CACNA1C,calcium voltage-gated channel subunit alpha1 C,3,Yes,9.10178755,8.451746342,10.32024442,
NTM,NTM,neurotrimin,3,Yes,8.98974518,7.694661023,9.265261437,
MYT1,MYT1,myelin transcription factor 1,3,Yes,8.964362906,7.106625951,9.000666938,
GAS2,GAS2,growth arrest specific 2,3,Yes,8.928105134,6.653667155,10.64005892,
CNTNAP5,CNTNAP5,contactin associated protein family member 5,3,Yes,8.807856947,6.701266277,9.459470741,
SDK1,SDK1,sidekick cell adhesion molecule 1,3,Yes,8.799835652,6.86590408,9.23544762,
BTNL8,BTNL8,butyrophilin like 8,3,Yes,8.791961268,7.893615284,9.254614014,
TYRP1,TYRP1,tyrosinase related protein 1,3,Yes,8.758168518,7.81038344,11.8017754,
SMYD3,SMYD3,SET and MYND domain containing 3,3,Yes,8.751818097,7.619036687,10.67255116,
LOC100613625,GOLGA8G,putative golgin subfamily A member 8G,3,Yes,8.682627516,7.917750977,9.178670427,
DIP2C,DIP2C,disco interacting protein 2 homolog C,3,Yes,8.680839239,6.462116749,10.57251199,
CNTNAP2,CNTNAP2,contactin associated protein 2,3,Yes,8.642322982,6.451992598,9.150630229,
ADAMTS2,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,3,Yes,8.621155971,6.538896542,10.26470177,
FRMD4A,FRMD4A,FERM domain containing 4A,3,Yes,8.613834077,6.883966488,8.908297314,
DPP6,DPP6,dipeptidyl peptidase like 6,3,Yes,8.571116039,8.423891228,10.16103493,
PRKN,PRKN,parkin RBR E3 ubiquitin protein ligase,3,Yes,8.536085752,6.776098099,11.0742214,
ART1,ART1,ADP-ribosyltransferase 1,3,Yes,8.5279984,6.373671046,8.886254134,
PCDH15,PCDH15,protocadherin related 15,3,Yes,8.524028142,6.747994532,11.32390145,
PSD3,PSD3,pleckstrin and Sec7 domain containing 3,3,Yes,8.513148338,7.4639875,11.0323545,
GRM7,GRM7,glutamate metabotropic receptor 7,3,Yes,8.511839329,7.528195059,10.23055831,
NR2E3,NR2E3,nuclear receptor subfamily 2 group E member 3,3,Yes,8.491189814,7.143229804,12.6579534,
PPP2R2C,PPP2R2C,protein phosphatase 2 regulatory subunit Bgamma,3,Yes,8.382892097,6.742820251,10.88960341,
LOC112205572,NEK4,serine/threonine-protein kinase Nek4-like,3,Yes,8.334760582,6.363918652,16.35137811,
TRIM58,TRIM58,tripartite motif containing 58,3,Yes,8.278468862,7.602761478,10.01399667,
OR2M4,OR2M4,olfactory receptor family 2 subfamily M member 4,3,Yes,8.26160708,6.892970869,12.62680679,
CALN1,CALN1,calneuron 1,3,Yes,8.250127435,6.303843047,9.15056307,
SFSWAP,SFSWAP,splicing factor SWAP,3,Yes,8.247867321,7.706784353,9.896901116,
TRARG1,TRARG1,trafficking regulator of GLUT4 (SLC2A4) 1,3,Yes,8.239854513,6.588990227,11.23420418,
NAV3,NAV3,neuron navigator 3,3,Yes,8.231085168,6.749123751,10.92788061,
LOC107976907,ERVK-16,endogenous retrovirus group K member 16 Rec protein,3,Yes,8.193345004,7.12518636,9.789876702,
THSD7B,THSD7B,thrombospondin type 1 domain containing 7B,3,Yes,8.177614371,6.604604391,8.871233103,
CHL1,CHL1,cell adhesion molecule L1 like,3,Yes,8.154636182,8.072894816,10.72794359,
PTPRE,PTPRE,protein tyrosine phosphatase receptor type E,3,Yes,8.134217768,7.28201954,12.19458421,
KLRD1,KLRD1,killer cell lectin like receptor D1,3,Yes,8.131482507,6.636836923,11.02243704,
XKR4,XKR4,XK related 4,3,Yes,8.126691548,6.694742505,11.42621151,
SPHKAP,SPHKAP,SPHK1 interactor%2C AKAP domain containing,3,Yes,8.119891606,6.348638584,10.06896265,
ITGA8,ITGA8,integrin subunit alpha 8,3,Yes,8.084873699,6.819128438,10.40162458,
NBPF3,NBPF3,NBPF member 3,3,Yes,8.052984075,8.275228422,12.07498704,
CAMK1D,CAMK1D,calcium/calmodulin dependent protein kinase ID,3,Yes,8.047654089,6.809805259,11.12215493,
ATP2C2,ATP2C2,ATPase secretory pathway Ca2+ transporting 2,3,Yes,7.996782529,6.794135877,9.778799777,
PDZRN4,PDZRN4,PDZ domain containing ring finger 4,3,Yes,7.954524739,6.653625262,10.78375604,
RASGEF1C,RASGEF1C,RasGEF domain family member 1C,3,Yes,7.897743013,9.212230684,12.16372663,
CNTN6,CNTN6,contactin 6,3,Yes,7.890122849,6.975063077,9.962931518,
ADAMTS16,ADAMTS16,ADAM metallopeptidase with thrombospondin type 1 motif 16,3,Yes,7.867048706,6.488136128,11.0347995,
NELL1,NELL1,neural EGFL like 1,3,Yes,7.865274757,6.584568251,8.834622818,
TECRL,TECRL,trans-2%2C3-enoyl-CoA reductase like,3,Yes,7.843455915,7.001071239,12.23396294,
LOC466370,OR52A5,olfactory receptor 52A5,3,Yes,7.802352765,6.446210592,11.07491536,
ZNF468,ZNF468,zinc finger protein 468,3,Yes,7.789858918,6.638772061,9.76779436,
AMY2B,AMY2B,amylase alpha 2B,3,Yes,7.784066991,6.841561489,11.42397083,
RBFOX1,RBFOX1,RNA binding fox-1 homolog 1,3,Yes,7.780904286,7.039163007,9.089094535,
KCNIP4,KCNIP4,potassium voltage-gated channel interacting protein 4,3,Yes,7.732082619,6.243498608,9.679091931,
EDIL3,EDIL3,EGF like repeats and discoidin domains 3,3,Yes,7.714219498,6.340087897,8.808799525,
RAP1GAP2,RAP1GAP2,RAP1 GTPase activating protein 2,3,Yes,7.711576243,6.715785831,10.70726296,
MSRA,MSRA,methionine sulfoxide reductase A,3,Yes,7.67516445,8.066107271,10.03516896,
JAKMIP1,JAKMIP1,janus kinase and microtubule interacting protein 1,3,Yes,7.673826583,6.550260643,9.043729967,
TPK1,TPK1,thiamin pyrophosphokinase 1,3,Yes,7.659795559,6.29259603,9.326413246,
FN3K,FN3K,fructosamine 3 kinase,2,Yes,NA,7.516369012,13.75048415,
ERC1,ERC1,ELKS/RAB6-interacting/CAST family member 1,2,Yes,NA,6.77149911,12.21567735,
RPH3AL,RPH3AL,rabphilin 3A like (without C2 domains),2,Yes,NA,7.774239379,12.15965846,
NXPH1,NXPH1,neurexophilin 1,2,Yes,NA,7.085374941,11.51538201,
