100000_CHM13.pri	XY	CHM13	.	Ref	CHM13	CHM13	CHM13
120001_CN1.pat	Y	CN1	M	EastAsia	.	China	CN1
120002_CN1.mat	X	CN1	M	EastAsia	.	China	CN1
120005_KSA001.pat	X	KSA001	F	WestEurasia	.	SaudiArabia	SaudiArabia
120006_KSA001.mat	X	KSA001	F	WestEurasia	.	SaudiArabia	India
120007_I002C.pat	Y	I002C	M	SouthAsia	.	India	India
120008_I002C.mat	X	I002C	M	SouthAsia	.	India	India
120009_KOREF1.pat	Y	KOREF1	M	EastAsia	.	SouthKorea	SouthKorea
120010_KOREF1.mat	X	KOREF1	M	EastAsia	.	SouthKorea	SouthKorea
120011_YAO.pat	Y	YAO	M	EastAsia	.	China	China
120012_YAO.mat	X	YAO	M	EastAsia	.	China	China
200001_HG002.pat	Y	HG002	M	WestEurasia	ASK	ASK	HPRC
200002_HG002.mat	X	HG002	M	WestEurasia	ASK	ASK	HPRC
200003_HG06807.pat	X	HG06807	F	Africa	ASL	.	HPRC
200004_HG06807.mat	X	HG06807	F	Africa	ASL	.	HPRC
200005_HG00408.pat	X	HG00408	F	EastAsia	CHS	.	HPRC
200006_HG00408.mat	X	HG00408	F	EastAsia	CHS	.	HPRC
200007_HG00423.pat	X	HG00423	F	EastAsia	CHS	.	HPRC
200008_HG00423.mat	X	HG00423	F	EastAsia	CHS	.	HPRC
200009_HG00438.pat	X	HG00438	F	EastAsia	CHS	.	HPRC
200010_HG00438.mat	X	HG00438	F	EastAsia	CHS	.	HPRC
200011_HG00544.pat	X	HG00544	F	EastAsia	CHS	.	HPRC
200012_HG00544.mat	X	HG00544	F	EastAsia	CHS	.	HPRC
200013_HG00558.pat	X	HG00558	F	EastAsia	CHS	.	HPRC
200014_HG00558.mat	X	HG00558	F	EastAsia	CHS	.	HPRC
200015_HG00597.pat	X	HG00597	F	EastAsia	CHS	.	HPRC
200016_HG00597.mat	X	HG00597	F	EastAsia	CHS	.	HPRC
200017_HG005.pat	Y	HG005	M	EastAsia	CHS	.	HPRC
200018_HG005.mat	X	HG005	M	EastAsia	CHS	.	HPRC
200019_HG00609.pat	Y	HG00609	M	EastAsia	CHS	.	HPRC
200020_HG00609.mat	X	HG00609	M	EastAsia	CHS	.	HPRC
200021_HG00621.pat	Y	HG00621	M	EastAsia	CHS	.	HPRC
200022_HG00621.mat	X	HG00621	M	EastAsia	CHS	.	HPRC
200023_HG00639.pat	X	HG00639	F	America	PUR	.	HPRC
200024_HG00639.mat	X	HG00639	F	America	PUR	.	HPRC
200025_HG00642.pat	Y	HG00642	M	America	PUR	.	HPRC
200026_HG00642.mat	X	HG00642	M	America	PUR	.	HPRC
200027_HG00658.pat	Y	HG00658	M	EastAsia	CHS	.	HPRC
200028_HG00658.mat	X	HG00658	M	EastAsia	CHS	.	HPRC
200029_HG00673.pat	Y	HG00673	M	EastAsia	CHS	.	HPRC
200030_HG00673.mat	X	HG00673	M	EastAsia	CHS	.	HPRC
200031_HG00706.pat	Y	HG00706	M	EastAsia	CHS	.	HPRC
200032_HG00706.mat	X	HG00706	M	EastAsia	CHS	.	HPRC
200033_HG00733.pat	X	HG00733	F	America	PUR	.	HPRC
200034_HG00733.mat	X	HG00733	F	America	PUR	.	HPRC
200035_HG00735.pat	X	HG00735	F	America	PUR	.	HPRC
200036_HG00735.mat	X	HG00735	F	America	PUR	.	HPRC
200037_HG00738.pat	Y	HG00738	M	America	PUR	.	HPRC
200038_HG00738.mat	X	HG00738	M	America	PUR	.	HPRC
