source,term_id,term_name,p_value,p_value_raw,fold_enrichment,term_size,intersection_size,intersection,passes_fdr,background_used
DisGeNET,Laryngitis,Laryngitis,2.54046260231299e-4,2.169481300011093e-7,64.68148148148148,18,4,MUC16;MUC19;MUC4;MUC5AC,TRUE,enrichr_default
DisGeNET,Cooley's anemia,Cooley's anemia,0.033881514963881275,5.786766005786725e-5,16.632380952380952,70,4,GSTM1;HBA2;LPA;PRH1,TRUE,enrichr_default
DisGeNET,Porencephaly,Porencephaly,0.1130500639385758,4.783621231294804e-4,52.92121212121212,11,2,LPA;PRH1,FALSE,enrichr_default
DisGeNET,"Thrombophilia, hereditary","Thrombophilia, hereditary",0.1130500639385758,5.729274139905555e-4,48.51111111111111,12,2,LPA;PRH1,FALSE,enrichr_default
DisGeNET,Chondrodysplasia Punctata,Chondrodysplasia Punctata,0.1130500639385758,6.757903053544242e-4,44.779487179487184,13,2,ARSH;LPA,FALSE,enrichr_default
DisGeNET,Keratoconjunctivitis,Keratoconjunctivitis,0.1130500639385758,6.757903053544242e-4,44.779487179487184,13,2,MUC16;MUC5AC,FALSE,enrichr_default
DisGeNET,Caries (morphologic abnormality),Caries (morphologic abnormality),0.1130500639385758,6.354209557577358e-4,15.592857142857143,56,3,DMBT1;MUC19;PRH1,FALSE,enrichr_default
DisGeNET,Prothrombin G20210A mutation,Prothrombin G20210A mutation,0.12447110252528601,0.0010336760126706044,36.38333333333333,16,2,LPA;PRH1,FALSE,enrichr_default
DisGeNET,Biliary Tract Neoplasm,Biliary Tract Neoplasm,0.12447110252528601,0.0011692417829019181,34.24313725490196,17,2,MUC4;MUC5AC,FALSE,enrichr_default
DisGeNET,"Carcinoma, Large Cell","Carcinoma, Large Cell",0.12447110252528601,0.00111985555442621,12.841176470588236,68,3,GSTM1;MUC16;MUC4,FALSE,enrichr_default
DisGeNET,Sjogren's Syndrome,Sjogren's Syndrome,0.12447110252528601,0.001089287953746261,5.597435897435897,260,5,GSTM1;MUC19;GRAP;MUC4;MUC5AC,FALSE,enrichr_default
DisGeNET,Venoocclusive disease,Venoocclusive disease,0.13191675802118727,0.0014644900548893547,30.63859649122807,19,2,GSTM1;PRH1,FALSE,enrichr_default
DisGeNET,Legg-Calve-Perthes Disease,Legg-Calve-Perthes Disease,0.13191675802118727,0.0014644900548893547,30.63859649122807,19,2,LPA;PRH1,FALSE,enrichr_default
