genes,genes_renamed,descriptions
LOC129138024,RFPL4A,ret finger protein-like 4A
LOC129138025,RFPL4A,ret finger protein-like 4A
LOC129138026,RFPL4A,ret finger protein-like 4A
LOC129138027,RFPL4A,ret finger protein-like 4A
LOC129138028,RFPL4A,ret finger protein-like 4A
LOC129138029,RFPL4A,ret finger protein-like 4A
LOC456315,RFPL4A,ret finger protein-like 4A
LOC107971361,RH-like-IC,RH-like protein IC
LOC112209443,RH-like-IIR,RH-like protein IIR
LOC112206467,RNU6-1,U6 spliceosomal RNA
LOC472696,RPL19,large ribosomal subunit protein eL19
LOC107974590,RPL8,large ribosomal subunit protein uL2
LOC112209447,RPS15A,small ribosomal subunit protein uS8-like
LOC107972351,RRN3P2,putative RRN3-like protein RRN3P2
LOC738574,RSPH10B,radial spoke head 10 homolog B
LOC107966728,RSU1 ,ras suppressor protein 1-like
LOC129143853,SAV1,protein salvador homolog 1-like
LOC107970891,SDHA,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial
LOC750856,SDHA ,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial
LOC104007081,SIMC1,SUMO-interacting motif-containing protein 1
LOC104007081,SIMC1,SUMO-interacting motif-containing protein 1
LOC134807488,SLCO1B7,putative solute carrier organic anion transporter family member 1B7
LOC134807488,SLCO1B7,putative solute carrier organic anion transporter family member 1B7
LOC112206452,SNORD13,small nucleolar RNA U13
LOC742265,SPDYE1,speedy protein E1
LOC750803,SPDYE18,speedy protein E18
LOC129135556,SPTBN5,spectrin beta chain%2C non-erythrocytic 5-like
LOC112204800,SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like
LOC112204800,SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like
LOC129136397,SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like
LOC134810146,TAF13,TATA-box-binding protein-associated factor 11-like protein 13
LOC134806951,TAFA1,TAFA chemokine like family member 1
LOC134806951,TAFA1,TAFA chemokine like family member 1
LOC134810145,TAFA5,TATA-box-binding protein-associated factor 11-like protein 5
LOC100609864,TAS2R14,taste receptor type 2 member 30-like
LOC134808242,TBX1,T-box transcription factor TBX1-like
LOC463170,TCP10L,putative T-complex protein 10A homolog
LOC748623,TRAV14DV4,T cell receptor alpha variable 14/delta variable 4-like
LOC743567,TRAV8-6,T cell receptor alpha variable 8-6-like
LOC101059405,TRBV7-6,T cell receptor beta variable 7-6-like
LOC107974580,TRIM52,E3 ubiquitin-protein ligase TRIM52
LOC129135354,TRIM52,E3 ubiquitin-protein ligase TRIM52
LOC747817,TUBA8,tubulin beta-8 chain-like
LOC100608468,TUBB-like,tubulin beta chain-like
LOC129144202,TUBB8,tubulin beta-8 chain-like
LOC738663,TUBB8,tubulin beta-8 chain-like
LOC744965,TYW1,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1
LOC461289,UGT2B15,UDP-glucuronosyltransferase 2B15
LOC100611617,UPF0607,putative UPF0607 protein ENSP00000383144
LOC107966570,WASHC2A,WASH complex subunit 2A-like
LOC129143853,WW45,protein salvador homolog 1-like
LOC104001091,ZNF321,putative protein ZNF321
LOC100610781,ZNF665,zinc finger protein 665-like
LOC456264,ZNF701,zinc finger protein 701
LOC104003432,ZNF813,zinc finger protein 813
LOC104001134,ZNF83,zinc finger protein 83
LOC739761,ZNG1F,putative COBW domain-containing protein 7
