category,n_genes,genes overlapped by 1kb windows with TMRCA above 6Myr 
All three species,14,ADARB2; BRF1; DIP2C; DOCK1; HLA-A; HLA-B; HLA-C; HLA-DPB1; LILRB3; NXN; PTPRN2; SDK1; SGCZ; SMYD3
Bonobo + allChimp only,25,ACTR3B; ADAMTS2; ATP13A3; CADPS; CSMD1; DLGAP2; DOCK8; DPP6; ERC1; EYS; KAZN; LILRA2; LILRB1; MYOM2; PCDH15; PRKN; PTPRD; SNTG1; SSU72L2; TBC1D22A; TMEM132D; XKR4; ZNF578; ZNG1A; ZSCAN5A
Bonobo + allHuman only,4,AHRR; ATP9B; DPEP1; EHMT1
Chimp + allHuman only,6,CNTN6; LHPP; MICB; PCBP3; RAB11FIP3; RPH3AL
Bonobo only,186,ABCA17P; ABR; ADAMTS17; ADAMTS18; ADAMTS7; ADGRD1; ADGRL3; ADPRHL1; AGAP14P; AGBL1; ANGPT2; ANTXRL; ANXA10; APBA2; APOH; APP; AQP12B; ARID1B; B3GNTL1; B4GALNT3; BCL9L; BICRA; BRSK2; BTNL2; C6H7orf50; C6H7orf78; CACNA1B; CCDC77; CDIN1; CDRT15; CELA3B; CFAP54; CIMAP1D; CLASRP; CNTN4; COL4A2; COLEC11; CSGALNACT1; CSNK1G2; CTDP1; DCLRE1C; DEAF1; DNAH17; DOK6; DPH7; DPP7; EEF2KMT; EIF5B; FAHD1; FAM110A; FAM153A; FAM157A; FAM231C; FAM90A27P; FANCA; FDFT1; FGF5; FMN2; FOXD4L1; FSD1; GOLGA8B; GOLGA8IP; GRK1; GRK3; HAGH; HDGFL1; HNRNPCL2; HNRNPCL3; IGFALS; INPP4B; IQCG; IRF2; ITPR1; KCNIP1; KPRP; LILRB5; LOC117976337; LOC129393016; LOC129393260; LPCAT1; LRRTM4; LUZP2; LYRM4; MAD1L1; MAS1L; MBD3L3; MCF2L; MCPH1; MEIG1; MIER2; MMD2; MSR1; MUC2; MUC5B; MYZAP; NBPF15; NCAM2; NINJ2; NLRP11; NLRP12; NLRP4; NPIPA7; NPIPB15; NPIPB8; NPIPB9; NRIP1; OLFML1; OPCML; OR2T12; OR6A2; OSBPL5; P2RX5; P3H2; PACRG; PARD6G; PARP4; PDCD6; PDE10A; PDPR; PGM5; PINX1; PKD1L2; PLCB1; PMS2L1; PPP1R12C; PPP2R2D; PRAMEF1; PRAMEF11; PRAMEF15; PRAMEF8; PRDM7; PRH1; RAB4A; RASA4; RBMXL2; RFPL4A; RPA1; RSPH10B; SCRT2; SDHA; SFMBT2; SHC2; SHISA5; SHISA6; SKI; SOX1; SPACA7; SPATA33; SPATA6L; SPDYE1; SPDYE12; SPDYE7P; SPHKAP; SPRN; SPTBN5; SRP68; SRRM1; TADA1; TAF11L2; TAFA5; TBCD; TDRD12; TEKT1; TENM3; TMX3; TNXB; TPD52L2; TRAF3; TRIM5; TUBB8; TUBB8B; UGT2A1; VAV1; VPS53; VSTM1; WASHC2A; WDR27; ZC3H3; ZDHHC11; ZNF407; ZNF440; ZNF469; ZNF544; ZNF69; ZNF696; ZNG1B
allChimp only,126,ACR; ADAMTS16; ADAMTSL1; ALG1; ALLC; AMY2B; ATP2C2; BTNL8; C3H4orf50; C3P1; CACNA1A; CACNA1C; CAMK1D; CCDC187; CDH12; CDH13; CENPQ; CEP104; CHL1; DDI2; DNAH9; DOK7; DPP10; EDIL3; FAM107B; FARP2; FHAD1; FN3K; FOXK2; FRMD4A; GADL1; GALNT14; GFPT2; GLT1D1; GMDS; GNG7; GOLGA8G; GRM3; GRM7; HBA3-like; HBE1; HCG22; HDAC4; HLA-F; HS3ST2; INPP5A; INSR; JAKMIP1; JAKMIP3; JPH3; KIF26B; KIR3DX1; KLRC4; KLRD1; LILRB4; MAPK8IP3; MBP; MKI67; MMP26; MSRA; MTA1; MYLK2; MYT1; NAV3; NBPF3; NKAIN2; NLRP5; NOM1; NTM; NXPH1; OR10C1; OR11A1; OR1D2; OR1L4; OR2M4; OR51E2; OR51M1; OR52A5; OR5H6; PAOX; PDZRN4; PIK3C2G; PPP2R2C; PRDM16; PRIM2; PRKAR1B; PRSS51; PSD3; PTPRE; PTPRH; RASGEF1C; RBFOX1; RH-like-IIR; RIC1; RNF39; SCARF1; SERPINB12; SFSWAP; SIMC1; SIRT3; SNTG2; SORCS2; SRGAP1; SULT1B1; TECRL; TENM4; TMC7; TRARG1; TRIM31; TRIM58; TUBGCP2; TUSC3; TYRP1; UPF0607; VAV2; WRAP73; XIRP2; ZNF16; ZNF26; ZNF28; ZNF766; ZNF83; ZNF845; ZNF888; ZSCAN5B; ZSCAN5C
allHuman only,79,ADGRA1; AHNAK2; ANKLE2; ART1; ATP10A; C4orf19; CALN1; CAMKK1; CCDC6; CHMP1A; CIP2A; COMMD9; CYP21A2; CYP4F11; DHFRP2; DSCAM; EML1; ETFB; EXD3; FGFR3P1; GAS6; GGT4P; GRAMD4; GXYLT1P6; HCG4P4; HCG4P5; HCG4P7; HLA-DQA2; HLA-H; HLA-K; HLA-P; HLA-S; HLA-T; HLA-U; HLA-W; HNRNPH1P1; ILRUN; KIR2DS4; LMF1; LOC101060145; LOC124906653; LOC124907100; LOC124907536; LOC353009; LOC442132; LRRC27; MICA; MICAL3; MROH5; MTCO3P1; MUC22; NOC4L; OR2T1; OR2T7; OR7M1P; PIEZO1; PRKCA; RFLNB; RNU6-283P; RPL3P2; RSU1P2; SLC38A10; SLC6A3; SNX25; SOD2; SPIRE2; SSH2; SSU72L5; TERT; TOLLIP; TSBP1; UCKL1; USP8P1; YBEY; ZDHHC20P2; ZNF124; ZNF140; ZNF175; ZNF516
