category,n_genes,genes
,,MSRA
,,MTA1
,,MYLK2
,,MYT1
,,NAV3
,,NBPF3
,,NKAIN2
,,NLRP5
,,NOM1
,,NTM
,,NXPH1
,,OR10C1
,,OR11A1
,,OR1D2
,,OR1L4
,,OR2M4
,,OR51E2
,,OR52A5
,,OR5H6
,,PAOX
,,PCBP3
,,PDZRN4
,,PIK3C2G
,,PPP2R2C
,,PRDM16
,,PRIM2
,,PRKAR1B
,,PRSS51
,,PSD3
,,PTPRE
,,PTPRH
,,RAB11FIP3
,,RASGEF1C
,,RBFOX1
,,RH-like-IIR
,,RIC1
,,RNF39
,,RPH3AL
,,SCARF1
,,SERPINB12
,,SFSWAP
,,SIMC1
,,SIRT3
,,SORCS2
,,SRGAP1
,,SULT1B1
,,TECRL
,,TENM4
,,TMC7
,,TRARG1
,,TRIM31
,,TRIM58
,,TUBGCP2
,,TUSC3
,,TYRP1
,,UPF0607
,,VAV2
,,WRAP73
,,XIRP2
,,ZNF16
,,ZNF26
,,ZNF28
,,ZNF766
,,ZNF83
,,ZNF845
,,ZNF888
,,ZSCAN5B
,,ZSCAN5C
Human only (AFR),114,
,,A2MP1
,,ABO
,,ADGRE1
,,ADGRE4P
,,AKR1C3
,,AMTN
,,ANO3
,,C6orf15
,,CCHCR1
,,CDSN
,,CNTN5
,,CPE
,,CTNNA3
,,DMBT1
,,ENSG00000223786
,,ENSG00000225741
,,ENSG00000229618
,,ENSG00000229836
,,ENSG00000230087
,,ENSG00000233183
,,ENSG00000235419
,,ENSG00000239920
,,ENSG00000240040
,,ENSG00000249036
,,ENSG00000249782
,,ENSG00000250264
,,ENSG00000251088
,,ENSG00000251339
,,ENSG00000255558
,,ENSG00000258464
,,ENSG00000259162
,,ENSG00000260170
,,ENSG00000284837
,,ENSG00000285216
,,ENSG00000285471
,,ENSG00000287720
,,ENSG00000287801
,,ENSG00000289427
,,ENSG00000290427
,,ENSG00000290870
,,ENSG00000291038
,,ENSG00000291254
,,ENTREP2
,,ETV6
,,EVC2
,,GPR158
,,GRIN2A
,,HBG2
,,HLA-DOA
,,HLA-DPA1
,,HLA-DQB3
,,HLA-DRA
,,HLA-DRB9
,,IGFBP7
,,IGKJ1
,,IGKJ2
,,IGKJ3
,,IGLVI-56
,,IGLVIV-59
,,KRT128P
,,LGALS8
,,LINC00525
,,LINC00987
,,LINC01015
,,LINC01606
,,LINC02240
,,LINC02346
,,LINC02571
,,LINC02646
,,LOXL2
,,LOXL2-AS1
,,LRRTM3
,,MRGPRG-AS1
,,MRPS35P3
,,MUC22
,,MYO3A
,,NOTCH4
,,OR11H6
,,OR51A1P
,,OR51B6
,,OR51F1
,,OR51F3P
,,OR51I2
,,OR51J1
,,OR52H1
,,OR52N3P
,,OR52Z1P
,,OR6J1
,,PKD1L1
,,POU5F1
,,PSORS1C1
,,PSORS1C2
,,PXDN
,,SACS
,,SGCG
,,SLC25A37
,,SLC5A12
,,SORD
,,SQOR
,,SYNE3
,,SYT9
,,SYT9-AS1
,,TAP2
,,TCERG1L
,,TRAV37
,,TRD-AS1
,,TRIM22
,,TSBP1
,,TSBP1-AS1
,,TSPEAR
,,ULK4
,,UNC13C
,,VSTM2B-DT
,,ZNF280A
