category,n_genes,genes
All three species,3,
,,DOCK1
,,HLA-DPB1
,,PCDH15
Bonobo + Chimp only,36,
,,ACTR3B
,,ADAMTS2
,,ADARB2
,,ATP13A3
,,BRF1
,,CADPS
,,CSMD1
,,DIP2C
,,DLGAP2
,,DOCK8
,,DPP6
,,ERC1
,,EYS
,,HLA-A
,,HLA-B
,,HLA-C
,,KAZN
,,LILRA2
,,LILRB1
,,LILRB3
,,MYOM2
,,NXN
,,PRKN
,,PTPRD
,,PTPRN2
,,SDK1
,,SGCZ
,,SMYD3
,,SNTG1
,,SSU72L2
,,TBC1D22A
,,TMEM132D
,,XKR4
,,ZNF578
,,ZNG1A
,,ZSCAN5A
Bonobo + Human only,2,
,,BTNL2
,,TRIM5
Chimp + Human only,5,
,,GRM7
,,HBE1
,,MMP26
,,OR51M1
,,SNTG2
Bonobo only,188,
,,ABCA17P
,,ABR
,,ADAMTS17
,,ADAMTS18
,,ADAMTS7
,,ADGRD1
,,ADGRL3
,,ADPRHL1
,,AGAP14P
,,AGBL1
,,AHRR
,,ANGPT2
,,ANTXRL
,,ANXA10
,,APBA2
,,APOH
,,APP
,,AQP12B
,,ARID1B
,,ATP9B
,,B3GNTL1
,,B4GALNT3
,,BCL9L
,,BICRA
,,BRSK2
,,C6H7orf50
,,C6H7orf78
,,CACNA1B
,,CCDC77
,,CDIN1
,,CDRT15
,,CELA3B
,,CFAP54
,,CIMAP1D
,,CLASRP
,,CNTN4
,,COL4A2
,,COLEC11
,,CSGALNACT1
,,CSNK1G2
,,CTDP1
,,DCLRE1C
,,DEAF1
,,DNAH17
,,DOK6
,,DPEP1
,,DPH7
,,DPP7
,,EEF2KMT
,,EHMT1
,,EIF5B
,,FAHD1
,,FAM110A
,,FAM153A
,,FAM157A
,,FAM231C
,,FAM90A27P
,,FANCA
,,FDFT1
,,FGF5
,,FMN2
,,FOXD4L1
,,FSD1
,,GOLGA8B
,,GOLGA8IP
,,GRK1
,,GRK3
,,HAGH
,,HDGFL1
,,HNRNPCL2
,,HNRNPCL3
,,IGFALS
,,INPP4B
,,IQCG
,,IRF2
,,ITPR1
,,KCNIP1
,,KPRP
,,LILRB5
,,LOC117976337
,,LOC129393016
,,LOC129393260
,,LPCAT1
,,LRRTM4
,,LUZP2
,,LYRM4
,,MAD1L1
,,MAS1L
,,MBD3L3
,,MCF2L
,,MCPH1
,,MEIG1
,,MIER2
,,MMD2
,,MSR1
,,MUC2
,,MUC5B
,,MYZAP
,,NBPF15
,,NCAM2
,,NINJ2
,,NLRP11
,,NLRP12
,,NLRP4
,,NPIPA7
,,NPIPB15
,,NPIPB8
,,NPIPB9
,,NRIP1
,,OLFML1
,,OPCML
,,OR2T12
,,OR6A2
,,OSBPL5
,,P2RX5
,,P3H2
,,PACRG
,,PARD6G
,,PARP4
,,PDCD6
,,PDE10A
,,PDPR
,,PGM5
,,PINX1
,,PKD1L2
,,PLCB1
,,PMS2L1
,,PPP1R12C
,,PPP2R2D
,,PRAMEF1
,,PRAMEF11
,,PRAMEF15
,,PRAMEF8
,,PRDM7
,,PRH1
,,RAB4A
,,RASA4
,,RBMXL2
,,RFPL4A
,,RPA1
,,RSPH10B
,,SCRT2
,,SDHA
,,SFMBT2
,,SHC2
,,SHISA5
,,SHISA6
,,SKI
,,SOX1
,,SPACA7
,,SPATA33
,,SPATA6L
,,SPDYE1
,,SPDYE12
,,SPDYE7P
,,SPHKAP
,,SPRN
,,SPTBN5
,,SRP68
,,SRRM1
,,TADA1
,,TAF11L2
,,TAFA5
,,TBCD
,,TDRD12
,,TEKT1
,,TENM3
,,TMX3
,,TNXB
,,TPD52L2
,,TRAF3
,,TUBB8
,,TUBB8B
,,UGT2A1
,,VAV1
,,VPS53
,,VSTM1
,,WASHC2A
,,WDR27
,,ZC3H3
,,ZDHHC11
,,ZNF407
,,ZNF440
,,ZNF469
,,ZNF544
,,ZNF69
,,ZNF696
,,ZNG1B
Chimp only,127,
,,ACR
,,ADAMTS16
,,ADAMTSL1
,,ALG1
,,ALLC
,,AMY2B
,,ATP2C2
,,BTNL8
,,C3H4orf50
,,C3P1
,,CACNA1A
,,CACNA1C
,,CAMK1D
,,CCDC187
,,CDH12
,,CDH13
,,CENPQ
,,CEP104
,,CHL1
,,CNTN6
,,DDI2
,,DNAH9
,,DOK7
,,DPP10
,,EDIL3
,,FAM107B
,,FARP2
,,FHAD1
,,FN3K
,,FOXK2
,,FRMD4A
,,GADL1
,,GALNT14
,,GFPT2
,,GLT1D1
,,GMDS
,,GNG7
,,GOLGA8G
,,GRM3
,,HBA3-like
,,HCG22
,,HDAC4
,,HLA-F
,,HS3ST2
,,INPP5A
,,INSR
,,JAKMIP1
,,JAKMIP3
,,JPH3
,,KIF26B
,,KIR3DX1
,,KLRC4
,,KLRD1
,,LHPP
,,LILRB4
,,MAPK8IP3
,,MBP
,,MICB
,,MKI67
