genes_renamed,descriptions,gene_biotypes,n_species,species_sharing,Bonobo_Ppa,Chimp_Pt,AFR_hsa
OPCML,opioid binding protein/cell adhesion molecule like,protein_coding,1,bonobo_only,8.01,NA,NA
OR10C1,olfactory receptor family 11 subfamily A member 1,NA,1,chimp_only,NA,6.34,NA
OR11A1,olfactory receptor family 10 subfamily C member 1,NA,1,chimp_only,NA,6.34,NA
OR11H6,NA,protein_coding,1,human_only,NA,NA,6.841630383
OR1D2,olfactory receptor family 1 subfamily D member 2,NA,1,chimp_only,NA,6.52,NA
OR1L4,olfactory receptor 1L4-like,NA,1,chimp_only,NA,7.27,NA
OR2M4,olfactory receptor family 2 subfamily M member 4,NA,1,chimp_only,NA,6.67,NA
OR2T12,olfactory receptor 2T12,protein_coding,1,bonobo_only,6.29,NA,NA
OR51A1P,NA,transcribed_unprocessed_pseudogene,1,human_only,NA,NA,7.286087966
OR51B6,NA,protein_coding,1,human_only,NA,NA,7.390968525
OR51E2,olfactory receptor family 51 subfamily E member 2,NA,1,chimp_only,NA,6.46,NA
OR51F1,NA,protein_coding,1,human_only,NA,NA,6.402693444
OR51F3P,NA,unprocessed_pseudogene,1,human_only,NA,NA,6.431881836
OR51I2,NA,protein_coding,1,human_only,NA,NA,7.61404098
OR51J1,NA,unprocessed_pseudogene,1,human_only,NA,NA,8.391848747
OR52A5,olfactory receptor 52A5,NA,1,chimp_only,NA,6.22,NA
OR52H1,NA,protein_coding,1,human_only,NA,NA,6.713225943
OR52N3P,NA,unprocessed_pseudogene,1,human_only,NA,NA,8.325220409
OR52Z1P,NA,unprocessed_pseudogene,1,human_only,NA,NA,6.931480947
OR5H6,olfactory receptor 5H6-like,NA,1,chimp_only,NA,6.14,NA
OR6A2,olfactory receptor 6A2,protein_coding,1,bonobo_only,10.1,NA,NA
OR6J1,NA,protein_coding,1,human_only,NA,NA,6.936405169
OSBPL5,oxysterol binding protein like 5,protein_coding,1,bonobo_only,8.2,NA,NA
P2RX5,purinergic receptor P2X 5,protein_coding,1,bonobo_only,8.81,NA,NA
P3H2,prolyl 3-hydroxylase 2,protein_coding,1,bonobo_only,7.37,NA,NA
PACRG,parkin coregulated,protein_coding,1,bonobo_only,6.27,NA,NA
PAOX,polyamine oxidase,NA,1,chimp_only,NA,6.59,NA
PARD6G,par-6 family cell polarity regulator gamma,protein_coding,1,bonobo_only,6.75,NA,NA
PARP4,protein mono-ADP-ribosyltransferase PARP4-like,protein_coding,1,bonobo_only,7.34,NA,NA
PCBP3,poly(rC) binding protein 3,NA,1,chimp_only,NA,7.27,NA
PDCD6,programmed cell death 6,protein_coding,1,bonobo_only,6.07,NA,NA
PDE10A,phosphodiesterase 10A,protein_coding,1,bonobo_only,8.29,NA,NA
PDPR,pyruvate dehydrogenase phosphatase regulatory subunit%2C mitochondrial-like,protein_coding,1,bonobo_only,6.23,NA,NA
PDZRN4,PDZ domain containing ring finger 4,NA,1,chimp_only,NA,6.05,NA
PGM5,phosphoglucomutase-like protein 5,protein_coding,1,bonobo_only,11.14,NA,NA
PIK3C2G,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma,NA,1,chimp_only,NA,6.4,NA
PINX1,PIN2 (TERF1) interacting telomerase inhibitor 1,protein_coding,1,bonobo_only,7.11,NA,NA
PKD1L1,NA,protein_coding,1,human_only,NA,NA,6.483717426
PKD1L2,polycystin-1-like protein 2,protein_coding,1,bonobo_only,6.73,NA,NA
PLCB1,phospholipase C beta 1,protein_coding,1,bonobo_only,6.58,NA,NA
PMS2L1,putative postmeiotic segregation increased 2-like protein 1,protein_coding,1,bonobo_only,7.39,NA,NA
POU5F1,NA,protein_coding,1,human_only,NA,NA,11.25822704
PPP1R12C,protein phosphatase 1 regulatory subunit 12C,protein_coding,1,bonobo_only,6.19,NA,NA
PPP2R2C,protein phosphatase 2 regulatory subunit Bgamma,NA,1,chimp_only,NA,6.29,NA
PPP2R2D,protein phosphatase 2 regulatory subunit Bdelta,protein_coding,1,bonobo_only,8.15,NA,NA
PRAMEF1,PRAME family member 1-like,protein_coding,1,bonobo_only,10.66,NA,NA
PRAMEF11,PRAME family member 11-like,protein_coding,1,bonobo_only,9.67,NA,NA
PRAMEF15,PRAME family member 15-like,protein_coding,1,bonobo_only,7.62,NA,NA
PRAMEF8,PRAME family member 8,protein_coding,1,bonobo_only,7.39,NA,NA
PRDM16,PR/SET domain 16,NA,1,chimp_only,NA,6.02,NA
PRDM7,PR/SET domain 7,protein_coding,1,bonobo_only,6.27,NA,NA
PRH1,proline-rich protein HaeIII subfamily 1,protein_coding,1,bonobo_only,6.77,NA,NA
PRIM2,DNA primase subunit 2,NA,1,chimp_only,NA,6.19,NA
PRKAR1B,protein kinase cAMP-dependent type I regulatory subunit beta,NA,1,chimp_only,NA,6.42,NA
PRSS51,serine protease 51,NA,1,chimp_only,NA,7.43,NA
PSD3,pleckstrin and Sec7 domain containing 3,NA,1,chimp_only,NA,7.12,NA
PSORS1C1,NA,protein_coding,1,human_only,NA,NA,9.381894869
PSORS1C2,NA,protein_coding,1,human_only,NA,NA,8.446679029
PTPRE,protein tyrosine phosphatase receptor type E,NA,1,chimp_only,NA,6.03,NA
PTPRH,protein tyrosine phosphatase receptor type H,NA,1,chimp_only,NA,6.13,NA
PXDN,NA,protein_coding,1,human_only,NA,NA,6.571630418
RAB11FIP3,RAB11 family interacting protein 3,NA,1,chimp_only,NA,8.92,NA
RAB4A,RAB4A%2C member RAS oncogene family,protein_coding,1,bonobo_only,8.34,NA,NA
RASA4,ras GTPase-activating protein 4-like,protein_coding,1,bonobo_only,7.19,NA,NA
RASGEF1C,RasGEF domain family member 1C,NA,1,chimp_only,NA,8.38,NA
RBFOX1,RNA binding fox-1 homolog 1,NA,1,chimp_only,NA,6.45,NA
RBMXL2,RNA-binding motif protein%2C X-linked-like-2,protein_coding,1,bonobo_only,6.39,NA,NA
RFPL4A,ret finger protein-like 4A,protein_coding,1,bonobo_only,10.48,NA,NA
RH-like-IIR,RH-like protein IIR,NA,1,chimp_only,NA,6.37,NA
RIC1,RIC1 homolog%2C RAB6A GEF complex partner 1,NA,1,chimp_only,NA,6.44,NA
RNF39,ring finger protein 39,NA,1,chimp_only,NA,6.07,NA
RPA1,replication protein A1,protein_coding,1,bonobo_only,15.34,NA,NA
RPH3AL,rabphilin 3A like (without C2 domains),NA,1,chimp_only,NA,6.81,NA
RSPH10B,radial spoke head 10 homolog B,protein_coding,1,bonobo_only,6.36,NA,NA
SACS,NA,protein_coding,1,human_only,NA,NA,6.388253483
SCARF1,scavenger receptor class F member 1,NA,1,chimp_only,NA,12.67,NA
SCRT2,scratch family transcriptional repressor 2,protein_coding,1,bonobo_only,6.18,NA,NA
SDHA,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial-like,protein_coding,1,bonobo_only,10.25,NA,NA
SERPINB12,serpin family B member 12,NA,1,chimp_only,NA,6.17,NA
SFMBT2,Scm like with four mbt domains 2,protein_coding,1,bonobo_only,6.69,NA,NA
SFSWAP,splicing factor SWAP,NA,1,chimp_only,NA,7.66,NA
SGCG,NA,protein_coding,1,human_only,NA,NA,6.688747036
SHC2,SHC adaptor protein 2,protein_coding,1,bonobo_only,13.05,NA,NA
SHISA5,protein shisa-5,protein_coding,1,bonobo_only,8.41,NA,NA
SHISA6,shisa family member 6,protein_coding,1,bonobo_only,6.09,NA,NA
SIMC1,SUMO-interacting motif-containing protein 1,NA,1,chimp_only,NA,6.86,NA
SIRT3,sirtuin 3,NA,1,chimp_only,NA,7.08,NA
SKI,SKI proto-oncogene,protein_coding,1,bonobo_only,6.34,NA,NA
SLC25A37,NA,protein_coding,1,human_only,NA,NA,7.289052247
SLC5A12,NA,protein_coding,1,human_only,NA,NA,6.401806422
SORCS2,sortilin related VPS10 domain containing receptor 2,NA,1,chimp_only,NA,6.82,NA
SORD,NA,protein_coding,1,human_only,NA,NA,8.124003345
SOX1,SRY-box transcription factor 1,protein_coding,1,bonobo_only,9.5,NA,NA
SPACA7,sperm acrosome associated 7,protein_coding,1,bonobo_only,7.64,NA,NA
SPATA33,spermatogenesis associated 33,protein_coding,1,bonobo_only,17.67,NA,NA
SPATA6L,spermatogenesis associated 6 like,protein_coding,1,bonobo_only,7.08,NA,NA
SPDYE1,speedy protein E1-like,protein_coding,1,bonobo_only,6.22,NA,NA
SPDYE12,speedy protein E12,protein_coding,1,bonobo_only,6.52,NA,NA
SPDYE7P,putative speedy protein E7,protein_coding,1,bonobo_only,6.9,NA,NA
SPHKAP,SPHK1 interactor%2C AKAP domain containing,protein_coding,1,bonobo_only,6.16,NA,NA
SPRN,shadow of prion protein,protein_coding,1,bonobo_only,6.14,NA,NA
SPTBN5,spectrin beta chain%2C non-erythrocytic 5-like,protein_coding,1,bonobo_only,7.12,NA,NA
SQOR,NA,protein_coding,1,human_only,NA,NA,6.964437807
SRGAP1,SLIT-ROBO Rho GTPase activating protein 1,NA,1,chimp_only,NA,6.07,NA
SRP68,signal recognition particle subunit SRP68-like,protein_coding,1,bonobo_only,6.88,NA,NA
SRRM1,serine/arginine repetitive matrix protein 1-like,protein_coding,1,bonobo_only,8.09,NA,NA
SULT1B1,sulfotransferase family 1B member 1,NA,1,chimp_only,NA,6.18,NA
SYNE3,NA,protein_coding,1,human_only,NA,NA,6.425920724
SYT9,NA,protein_coding,1,human_only,NA,NA,7.23484073
SYT9-AS1,NA,lncRNA,1,human_only,NA,NA,7.23484073
TADA1,transcriptional adaptor 1,protein_coding,1,bonobo_only,6.04,NA,NA
TAF11L2,TATA-box binding protein associated factor 11 like protein 2,protein_coding,1,bonobo_only,6.95,NA,NA
TAFA5,TAFA chemokine like family member 5,protein_coding,1,bonobo_only,6.5,NA,NA
TAP2,NA,protein_coding,1,human_only,NA,NA,6.462226316
TBCD,tubulin folding cofactor D,protein_coding,1,bonobo_only,6.38,NA,NA
TCERG1L,NA,protein_coding,1,human_only,NA,NA,6.467899333
TDRD12,tudor domain containing 12,protein_coding,1,bonobo_only,8.02,NA,NA
TECRL,trans-2%2C3-enoyl-CoA reductase like,NA,1,chimp_only,NA,6.39,NA
TEKT1,tektin-1-like,protein_coding,1,bonobo_only,6.89,NA,NA
TENM3,teneurin transmembrane protein 3,protein_coding,1,bonobo_only,7.26,NA,NA
TENM4,teneurin transmembrane protein 4,NA,1,chimp_only,NA,7.11,NA
TMC7,transmembrane channel like 7,NA,1,chimp_only,NA,6.41,NA
TMX3,thioredoxin related transmembrane protein 3,protein_coding,1,bonobo_only,8.39,NA,NA
TNXB,tenascin-X-like,protein_coding,1,bonobo_only,8.36,NA,NA
TPD52L2,TPD52 like 2,protein_coding,1,bonobo_only,8.21,NA,NA
TRAF3,TNF receptor associated factor 3,protein_coding,1,bonobo_only,8.68,NA,NA
TRARG1,trafficking regulator of GLUT4 (SLC2A4) 1,NA,1,chimp_only,NA,6.25,NA
TRAV37,NA,TR_V_pseudogene,1,human_only,NA,NA,7.864906165
TRD-AS1,NA,lncRNA,1,human_only,NA,NA,8.345835947
TRIM22,NA,protein_coding,1,human_only,NA,NA,9.984972875
TRIM31,tripartite motif containing 31,NA,1,chimp_only,NA,7.21,NA
TRIM58,tripartite motif containing 58,NA,1,chimp_only,NA,6.4,NA
TSBP1,NA,protein_coding,1,human_only,NA,NA,9.806316398
TSBP1-AS1,NA,lncRNA,1,human_only,NA,NA,9.806316398
TSPEAR,NA,protein_coding,1,human_only,NA,NA,6.571421461
TUBB8,tubulin beta-8 chain-like,protein_coding,1,bonobo_only,6.72,NA,NA
TUBB8B,tubulin beta 8B-like,protein_coding,1,bonobo_only,11.57,NA,NA
TUBGCP2,tubulin gamma complex component 2,NA,1,chimp_only,NA,6.12,NA
TUSC3,tumor suppressor candidate 3,NA,1,chimp_only,NA,8.7,NA
TYRP1,tyrosinase related protein 1,NA,1,chimp_only,NA,6.88,NA
UGT2A1,UDP-glucuronosyltransferase 2A1,protein_coding,1,bonobo_only,6,NA,NA
ULK4,NA,protein_coding,1,human_only,NA,NA,6.585489972
UNC13C,NA,protein_coding,1,human_only,NA,NA,6.467382171
UPF0607,putative UPF0607 protein ENSP00000383144,NA,1,chimp_only,NA,6.9,NA
VAV1,vav guanine nucleotide exchange factor 1,protein_coding,1,bonobo_only,6.21,NA,NA
VAV2,vav guanine nucleotide exchange factor 2,NA,1,chimp_only,NA,6.72,NA
VPS53,VPS53 subunit of GARP complex,protein_coding,1,bonobo_only,7.42,NA,NA
VSTM1,V-set and transmembrane domain containing 1,protein_coding,1,bonobo_only,6.07,NA,NA
VSTM2B-DT,NA,lncRNA,1,human_only,NA,NA,6.501776917
WASHC2A,WAS protein family homolog 2,protein_coding,1,bonobo_only,9.05,NA,NA
WDR27,WD repeat domain 27,protein_coding,1,bonobo_only,7.31,NA,NA
WRAP73,WD repeat containing%2C antisense to TP73,NA,1,chimp_only,NA,7.37,NA
XIRP2,xin actin binding repeat containing 2,NA,1,chimp_only,NA,6.45,NA
ZC3H3,zinc finger CCCH-type containing 3,protein_coding,1,bonobo_only,6.06,NA,NA
ZDHHC11,palmitoyltransferase ZDHHC11,protein_coding,1,bonobo_only,6.89,NA,NA
ZNF16,zinc finger protein 16,NA,1,chimp_only,NA,6.42,NA
ZNF26,zinc finger protein 26,NA,1,chimp_only,NA,6.81,NA
ZNF28,zinc finger protein 28,NA,1,chimp_only,NA,11.45,NA
ZNF280A,NA,protein_coding,1,human_only,NA,NA,6.557988463
ZNF407,zinc finger protein 407,protein_coding,1,bonobo_only,9.33,NA,NA
ZNF440,zinc finger protein 440,protein_coding,1,bonobo_only,7.29,NA,NA
ZNF469,zinc finger protein 469,protein_coding,1,bonobo_only,11.15,NA,NA
ZNF544,zinc finger protein 544,protein_coding,1,bonobo_only,6.14,NA,NA
ZNF69,zinc finger protein 69,protein_coding,1,bonobo_only,8.01,NA,NA
ZNF696,zinc finger protein 696,protein_coding,1,bonobo_only,6.02,NA,NA
ZNF766,zinc finger protein 766,NA,1,chimp_only,NA,7.28,NA
ZNF83,zinc finger protein 83,NA,1,chimp_only,NA,6.16,NA
ZNF845,zinc finger protein 845,NA,1,chimp_only,NA,8.77,NA
ZNF888,zinc finger protein 888,NA,1,chimp_only,NA,8.45,NA
ZNG1B,Zn regulated GTPase metalloprotein activator 1B,protein_coding,1,bonobo_only,6.67,NA,NA
ZSCAN5B,zinc finger and SCAN domain containing 5B,NA,1,chimp_only,NA,6.3,NA
ZSCAN5C,zinc finger and SCAN domain containing 5C,NA,1,chimp_only,NA,9.69,NA
