genes_renamed,descriptions,gene_biotypes,n_species,species_sharing,Bonobo_Ppa,Chimp_Pt,AFR_hsa
TRIM5,tripartite motif containing 5,protein_coding,2,bonobo_human,6.17,NA,9.984972875
XKR4,XK related 4,protein_coding,2,bonobo_chimp,6.76,6.56,NA
ZNF578,zinc finger protein 578,protein_coding,2,bonobo_chimp,6.53,6.88,NA
ZNG1A,Zn regulated GTPase metalloprotein activator 1A,protein_coding,2,bonobo_chimp,7.07,6.93,NA
ZSCAN5A,zinc finger and SCAN domain containing 5A,protein_coding,2,bonobo_chimp,6.77,8,NA
A2MP1,NA,transcribed_unprocessed_pseudogene,1,human_only,NA,NA,6.834137074
ABCA17P,ATP-binding cassette sub-family A member 17-like,protein_coding,1,bonobo_only,6.45,NA,NA
ABO,NA,protein_coding,1,human_only,NA,NA,6.863297783
ABR,ABR activator of RhoGEF and GTPase,protein_coding,1,bonobo_only,6.52,NA,NA
ACR,acrosin,NA,1,chimp_only,NA,7.36,NA
ADAMTS16,ADAM metallopeptidase with thrombospondin type 1 motif 16,NA,1,chimp_only,NA,6.11,NA
ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17,protein_coding,1,bonobo_only,6.27,NA,NA
ADAMTS18,ADAM metallopeptidase with thrombospondin type 1 motif 18,protein_coding,1,bonobo_only,6.7,NA,NA
ADAMTS7,A disintegrin and metalloproteinase with thrombospondin motifs 7-like,protein_coding,1,bonobo_only,8.16,NA,NA
ADAMTSL1,ADAMTS like 1,NA,1,chimp_only,NA,8.41,NA
ADGRD1,adhesion G protein-coupled receptor D1,protein_coding,1,bonobo_only,7.4,NA,NA
ADGRE1,NA,protein_coding,1,human_only,NA,NA,7.143454692
ADGRE4P,NA,transcribed_unprocessed_pseudogene,1,human_only,NA,NA,7.351532077
ADGRL3,adhesion G protein-coupled receptor L3,protein_coding,1,bonobo_only,7.92,NA,NA
ADPRHL1,ADP-ribosylhydrolase like 1,protein_coding,1,bonobo_only,8.87,NA,NA
AGAP14P,arf-GAP with GTPase%2C ANK repeat and PH domain-containing protein 14-like,protein_coding,1,bonobo_only,7.77,NA,NA
AGBL1,AGBL carboxypeptidase 1,protein_coding,1,bonobo_only,6.7,NA,NA
AHRR,aryl hydrocarbon receptor repressor,protein_coding,1,bonobo_only,6.63,NA,NA
AKR1C3,NA,protein_coding,1,human_only,NA,NA,6.996872313
