sample,population
CN1,CHS
KSA001,SaudiArabia
I002C,India
KOREF1,SouthKorea
YAO,CHS
HG002,ASK
HG06807,ASL
HG00408,CHS
HG00423,CHS
HG00438,CHS
HG00544,CHS
HG00558,CHS
HG00597,CHS
HG005,CHS
HG00609,CHS
HG00621,CHS
HG00639,PUR
HG00642,PUR
HG00658,CHS
HG00673,CHS
HG00706,CHS
HG00733,PUR
HG00735,PUR
HG00738,PUR
HG00741,PUR
HG01071,PUR
HG01074,PUR
HG01081,PUR
HG01099,PUR
HG01106,PUR
HG01109,PUR
HG01123,CLM
HG01150,CLM
HG01175,PUR
HG01192,PUR
HG01243,PUR
HG01252,CLM
HG01255,CLM
HG01258,CLM
HG01261,CLM
HG01346,CLM
HG01358,CLM
HG01361,CLM
HG01433,CLM
HG01496,CLM
HG01884,ACB
HG01891,ACB
HG01928,PEL
HG01934,PEL
HG01940,PEL
HG01943,PEL
HG01952,PEL
HG01960,ACB
HG01969,PEL
HG01975,PEL
HG01981,PEL
HG01993,PEL
HG02004,PEL
HG02015,KHV
HG02027,KHV
HG02055,ACB
HG02056,KHV
HG02071,KHV
HG02074,KHV
HG02080,KHV
HG02083,KHV
HG02109,ACB
HG02129,KHV
HG02132,KHV
HG02135,KHV
HG02145,ACB
HG02148,PEL
HG02258,ACB
HG02280,ACB
HG02293,PEL
HG02300,PEL
HG02451,ACB
HG02486,ACB
HG02514,KHV
HG02523,KHV
HG02559,ACB
HG02572,GWD
HG02602,PJL
HG02615,GWD
HG02622,GWD
HG02630,GWD
HG02647,GWD
HG02668,GWD
HG02698,PJL
HG02717,GWD
HG02723,GWD
HG02735,PJL
HG02738,PJL
HG02809,GWD
HG02818,GWD
HG02841,GWD
HG02886,GWD
HG02984,GWD
HG03017,PJL
HG03041,GWD
HG03050,GWD
HG03098,MSL
HG03239,PJL
HG03453,MSL
HG03486,MSL
HG03540,GWD
HG03579,MSL
HG03654,PJL
HG03669,PJL
HG03688,STU
HG03704,PJL
HG03710,PJL
HG03804,BEB
HG03816,BEB
HG03831,BEB
HG03834,BEB
HG03927,BEB
HG03942,BEB
HG04115,STU
HG04157,BEB
HG04160,BEB
HG04184,BEB
HG04187,BEB
HG04199,STU
HG04204,STU
HG04228,STU
NA18906,YRI
NA19240,YRI
NA20129,ASW
NA21309,MKK
HG01978,PEL
HG02257,ACB
HG03516,ESN
HG00097,GBR
HG00099,GBR
HG00126,GBR
HG00128,GBR
HG00133,GBR
HG00140,GBR
HG00146,GBR
HG00232,GBR
HG00235,GBR
HG00253,GBR
HG00272,FIN
HG00280,FIN
HG00290,FIN
HG00320,FIN
HG00321,FIN
HG00323,FIN
HG00329,FIN
HG00344,FIN
HG00350,FIN
HG01167,PUR
HG01530,IBS
HG01784,IBS
HG01786,IBS
HG02040,KHV
HG02155,CDX
HG02165,CDX
HG02178,CDX
HG02273,PEL
HG02391,CDX
HG02392,CDX
HG02583,GWD
HG02922,ESN
HG02965,ESN
HG02976,ESN
HG03130,ESN
HG03139,ESN
HG03195,ESN
HG03209,MSL
HG03225,MSL
HG03270,ESN
HG03369,ESN
HG03470,MSL
HG03471,MSL
HG03521,ESN
HG03583,MSL
HG03742,ITU
HG03784,ITU
HG03874,ITU
NA18505,YRI
NA18508,YRI
NA18522,YRI
NA18565,CHB
NA18570,CHB
NA18608,CHB
NA18620,CHB
NA18747,CHB
NA18879,YRI
NA18940,JPT
NA18943,JPT
NA18944,JPT
NA18945,JPT
NA18948,JPT
NA18952,JPT
NA18959,JPT
NA18960,JPT
NA18967,JPT
NA18970,JPT
NA18971,JPT
NA18974,JPT
NA18976,JPT
NA18982,JPT
NA18983,JPT
NA19036,LWK
NA19043,LWK
NA19087,JPT
NA19159,YRI
NA19185,YRI
NA19338,LWK
NA19391,LWK
NA19443,LWK
NA19468,LWK
NA19682,MXL
NA19700,ASW
NA19776,MXL
NA19835,ASW
NA19909,ASW
NA20282,ASW
NA20346,ASW
NA20503,TSI
NA20752,TSI
NA20762,TSI
NA20799,TSI
NA20805,TSI
NA20806,TSI
NA20809,TSI
NA20827,TSI
NA20850,GIH
NA20870,GIH
NA20905,GIH
NA21093,GIH
NA21102,GIH
NA21106,GIH
NA21110,GIH
NA21144,GIH
APR-F,UnitedArabEmirates
APR-M,UnitedArabEmirates
APR001,UnitedArabEmirates
APR002,UnitedArabEmirates
APR003,UnitedArabEmirates
APR004,UnitedArabEmirates
APR005,UnitedArabEmirates
APR006,UnitedArabEmirates
APR007,UnitedArabEmirates
APR008,UnitedArabEmirates
APR009,UnitedArabEmirates
APR010,UnitedArabEmirates
APR011,UnitedArabEmirates
APR012,UnitedArabEmirates
APR013,UnitedArabEmirates
APR014,UnitedArabEmirates
APR015,UnitedArabEmirates
APR016,UnitedArabEmirates
APR018,UnitedArabEmirates
APR019,UnitedArabEmirates
APR020,UnitedArabEmirates
APR021,UnitedArabEmirates
APR022,UnitedArabEmirates
APR023,UnitedArabEmirates
APR024,UnitedArabEmirates
APR025,UnitedArabEmirates
APR026,UnitedArabEmirates
APR027,UnitedArabEmirates
APR029,UnitedArabEmirates
APR030,UnitedArabEmirates
APR031,UnitedArabEmirates
APR032,UnitedArabEmirates
APR033,UnitedArabEmirates
APR034,UnitedArabEmirates
APR035,UnitedArabEmirates
APR036,UnitedArabEmirates
APR037,UnitedArabEmirates
APR038,UnitedArabEmirates
APR039,UnitedArabEmirates
APR040,UnitedArabEmirates
APR041,UnitedArabEmirates
APR042,SaudiArabia
APR043,SaudiArabia
APR044,Egypt
APR045,Egypt
APR046,Jordan
APR047,Syria
APR048,Oman
APR049,Oman
APR050,Morocco
APR051,Morocco
APR052,Yemen
HG02554,ACB
