name,variant_type,Bonobo,Chimpanzee,Human,description,post_mean,selection_regime
ABCB7,SVs,0,0,1,ATP binding cassette subfamily B member 7,0.416105,Extreme selection
ABCB8,SVs,0,0,1,ATP binding cassette subfamily B member 8,0.0011839,Strong selection
ABCC1,SVs,1,1,1,ATP binding cassette subfamily C member 1 (ABCC1 blood group),0.0324323,Extreme selection
ABCC10,SVs,0,1,0,ATP binding cassette subfamily C member 10,0.00113813,Strong selection
ABCC11,SVs,0,1,0,ATP binding cassette subfamily C member 11,3.4754e-4,Weak selection
ABCC12,SVs,0,1,0,ATP binding cassette subfamily C member 12,2.6314e-4,Weak selection
ABCC2,SVs,1,1,1,ATP binding cassette subfamily C member 2,4.2178e-4,Weak selection
ABCC3,SVs,1,1,0,ATP binding cassette subfamily C member 3,9.5426e-4,Weak selection
ABCC4,SVs,0,1,1,ATP binding cassette subfamily C member 4 (PEL blood group),0.0168618,Extreme selection
ABCC5,SVs,0,1,0,ATP binding cassette subfamily C member 5,0.0539076,Extreme selection
ABCC6,SVs,0,0,1,ATP binding cassette subfamily C member 6,6.8098e-4,Weak selection
ABCC8,SVs,1,0,1,ATP binding cassette subfamily C member 8,0.0088933,Strong selection
ABCC9,SVs,1,0,1,ATP binding cassette subfamily C member 9,0.0206366,Extreme selection
ABCD2,SVs,0,1,1,ATP binding cassette subfamily D member 2,0.0214801,Extreme selection
ABCD3,SVs,0,1,1,ATP binding cassette subfamily D member 3,0.062771,Extreme selection
ABCD4,SVs,1,0,0,ATP binding cassette subfamily D member 4,0.00195088,Strong selection
ABCE1,SVs,0,1,1,ATP binding cassette subfamily E member 1,0.167698,Extreme selection
ABCF3,SVs,0,1,0,ATP binding cassette subfamily F member 3,0.0190014,Extreme selection
ABCG1,SVs,0,0,1,ATP binding cassette subfamily G member 1,0.0289779,Extreme selection
ABCG2,SVs,0,1,1,ATP binding cassette subfamily G member 2 (JR blood group),7.0285e-4,Weak selection
ABCG5,SVs,0,1,0,ATP binding cassette subfamily G member 5,0.00157895,Strong selection
ABCG8,SVs,1,1,1,ATP binding cassette subfamily G member 8,0.00105773,Strong selection
ABHD10,SVs,0,1,1,abhydrolase domain containing 10%2C depalmitoylase,0.00310426,Strong selection
ABHD12,SVs,1,1,1,abhydrolase domain containing 12%2C lysophospholipase,0.0136371,Extreme selection
ABHD12B,SVs,0,0,1,abhydrolase domain containing 12B,5.2697e-4,Weak selection
ABHD13,SVs,0,1,0,abhydrolase domain containing 13,0.0746751,Extreme selection
ABHD15,SVs,0,0,1,abhydrolase domain containing 15,9.1861e-4,Weak selection
ABHD16A,SVs,0,1,1,abhydrolase domain containing 16A%2C phospholipase,0.0562653,Extreme selection
ABHD16B,SVs,0,1,1,abhydrolase domain containing 16B,0.00148749,Strong selection
ABHD17A,SVs,0,4,0,abhydrolase domain containing 17A%2C depalmitoylase,0.057452,Extreme selection
ABHD17B,SVs,0,1,0,abhydrolase domain containing 17B%2C depalmitoylase,0.0785114,Extreme selection
ABHD17C,SVs,0,1,0,abhydrolase domain containing 17C%2C depalmitoylase,0.155141,Extreme selection
ABHD18,SVs,0,0,1,abhydrolase domain containing 18,0.00280885,Strong selection
ABHD2,SVs,0,1,1,abhydrolase domain containing 2%2C acylglycerol lipase,0.0607322,Extreme selection
ABHD3,SVs,0,1,0,abhydrolase domain containing 3%2C phospholipase,0.00182651,Strong selection
ABHD5,SVs,1,0,1,abhydrolase domain containing 5%2C lysophosphatidic acid acyltransferase,0.0144602,Extreme selection
ABHD6,SVs,0,0,1,abhydrolase domain containing 6%2C acylglycerol lipase,0.0125196,Extreme selection
ABI1,SVs,1,0,1,abl interactor 1,0.154761,Extreme selection
ABI3BP,SVs,0,1,1,ABI family member 3 binding protein,0.00519947,Strong selection
ABL1,SVs,1,1,1,ABL proto-oncogene 1%2C non-receptor tyrosine kinase,0.224242,Extreme selection
ABL2,SVs,0,1,0,ABL proto-oncogene 2%2C non-receptor tyrosine kinase,0.052227,Extreme selection
ABLIM1,SVs,1,1,1,actin binding LIM protein 1,0.0922428,Extreme selection
ABLIM2,SVs,1,1,1,actin binding LIM protein family member 2,0.0243326,Extreme selection
ABLIM3,SVs,0,0,1,actin binding LIM protein family member 3,0.021631,Extreme selection
ABR,SVs,1,1,1,ABR activator of RhoGEF and GTPase,0.103422,Extreme selection
ABRA,SVs,0,1,1,actin binding Rho activating protein,0.00167523,Strong selection
ABRAXAS1,SVs,0,1,0,abraxas 1%2C BRCA1 A complex subunit,0.00146609,Strong selection
ABRAXAS2,SVs,1,1,0,abraxas 2%2C BRISC complex subunit,0.030338,Extreme selection
ABTB2,SVs,0,1,1,ankyrin repeat and BTB domain containing 2,0.0332283,Extreme selection
ABTB3,SVs,0,1,1,ankyrin repeat and BTB domain containing 3,0.0937635,Extreme selection
ACAA2,SVs,0,1,1,acetyl-CoA acyltransferase 2,0.00103546,Strong selection
ACACB,SVs,0,1,1,acetyl-CoA carboxylase beta,0.00146375,Strong selection
ACAD10,SVs,1,0,1,acyl-CoA dehydrogenase family member 10,4.1621e-4,Weak selection
ACAD11,SVs,0,1,1,acyl-CoA dehydrogenase family member 11,7.0334e-4,Weak selection
ACAD8,SVs,0,1,0,acyl-CoA dehydrogenase family member 8,0.00441981,Strong selection
ACAD9,SVs,0,1,0,acyl-CoA dehydrogenase family member 9,0.00834838,Strong selection
ACADM,SVs,0,4,0,acyl-CoA dehydrogenase medium chain,0.00586298,Strong selection
ACADS,SVs,0,1,0,acyl-CoA dehydrogenase short chain,0.00364395,Strong selection
ACADVL,SVs,1,0,0,acyl-CoA dehydrogenase very long chain,0.006488,Strong selection
ACAN,SVs,0,1,0,aggrecan,0.104639,Extreme selection
ACAP2,SVs,1,1,1,ArfGAP with coiled-coil%2C ankyrin repeat and PH domains 2,0.0750512,Extreme selection
ACAP3,SVs,1,4,0,ArfGAP with coiled-coil%2C ankyrin repeat and PH domains 3,0.0311877,Extreme selection
ACAT1,SVs,0,1,1,acetyl-CoA acetyltransferase 1,0.00906378,Strong selection
ACAT2,SVs,0,1,0,acetyl-CoA acetyltransferase 2,0.00975031,Strong selection
ACBD3,SVs,1,1,0,acyl-CoA binding domain containing 3,0.0616556,Extreme selection
ACBD4,SVs,0,1,0,acyl-CoA binding domain containing 4,0.0012527,Strong selection
ACBD5,SVs,0,0,1,acyl-CoA binding domain containing 5,0.020692,Extreme selection
ACBD7,SVs,1,0,0,acyl-CoA binding domain containing 7,0.00106635,Strong selection
ACE,SVs,0,1,1,angiotensin I converting enzyme,0.00164495,Strong selection
ACE2,SVs,0,0,1,angiotensin converting enzyme 2,0.0994619,Extreme selection
ACER1,SVs,0,0,1,alkaline ceramidase 1,0.00149275,Strong selection
ACER2,SVs,1,1,1,alkaline ceramidase 2,0.0111296,Extreme selection
ACER3,SVs,1,1,1,alkaline ceramidase 3,0.0298389,Extreme selection
ACHE,SVs,0,1,0,acetylcholinesterase (Yt blood group),0.0849795,Extreme selection
ACKR2,SVs,0,1,1,atypical chemokine receptor 2,0.00127347,Strong selection
ACKR3,SVs,0,1,1,atypical chemokine receptor 3,0.0354875,Extreme selection
ACLY,SVs,1,1,1,ATP citrate lyase,0.0539695,Extreme selection
ACMSD,SVs,0,1,1,aminocarboxymuconate semialdehyde decarboxylase,7.904e-4,Weak selection
ACO1,SVs,0,0,1,aconitase 1,0.00404985,Strong selection
ACO2,SVs,0,0,1,aconitase 2,0.0565302,Extreme selection
ACOD1,SVs,0,1,1,aconitate decarboxylase 1,0.00640062,Strong selection
ACOT1,SVs,0,0,4,acyl-CoA thioesterase 1,0.00224695,Strong selection
ACOT11,SVs,1,1,4,acyl-CoA thioesterase 11,6.5263e-4,Weak selection
ACOT12,SVs,0,4,1,acyl-CoA thioesterase 12,5.3735e-4,Weak selection
ACOT13,SVs,0,1,1,acyl-CoA thioesterase 13,0.00146309,Strong selection
ACOT2,SVs,0,0,4,acyl-CoA thioesterase 2,7.8257e-4,Weak selection
ACOT6,SVs,0,1,1,acyl-CoA thioesterase 6,0.00214467,Strong selection
ACOT7,SVs,0,1,1,acyl-CoA thioesterase 7,0.0606057,Extreme selection
ACOT9,SVs,1,0,0,acyl-CoA thioesterase 9,0.00497434,Strong selection
ACOX1,SVs,1,1,1,acyl-CoA oxidase 1,0.041858,Extreme selection
ACOX2,SVs,0,1,0,acyl-CoA oxidase 2,0.00130821,Strong selection
ACOX3,SVs,1,1,1,acyl-CoA oxidase 3%2C pristanoyl,0.00115772,Strong selection
ACOXL,SVs,1,1,4,acyl-CoA oxidase like,0.00111679,Strong selection
ACP1,SVs,0,1,0,acid phosphatase 1,0.00236966,Strong selection
ACP4,SVs,0,1,0,acid phosphatase 4,0.00156864,Strong selection
ACP6,SVs,0,0,1,acid phosphatase 6%2C lysophosphatidic,5.8299e-4,Weak selection
ACR,SVs,0,1,0,acrosin,0.00801868,Strong selection
ACRBP,SVs,1,1,0,acrosin binding protein,0.00582978,Strong selection
ACRV1,SVs,1,0,0,acrosomal vesicle protein 1,0.00703458,Strong selection
ACSBG1,SVs,0,1,1,acyl-CoA synthetase bubblegum family member 1,0.00967996,Strong selection
ACSBG2,SVs,0,1,1,acyl-CoA synthetase bubblegum family member 2,0.00102197,Strong selection
ACSF2,SVs,0,1,0,acyl-CoA synthetase family member 2,0.0126549,Extreme selection
ACSF3,SVs,1,0,1,acyl-CoA synthetase family member 3,8.6038e-4,Weak selection
ACSL1,SVs,0,0,4,acyl-CoA synthetase long chain family member 1,0.0278404,Extreme selection
ACSL3,SVs,1,1,1,acyl-CoA synthetase long chain family member 3,0.0430785,Extreme selection
ACSL4,SVs,1,1,0,acyl-CoA synthetase long chain family member 4,0.16511,Extreme selection
ACSL5,SVs,1,1,1,acyl-CoA synthetase long chain family member 5,0.00851722,Strong selection
ACSL6,SVs,0,0,1,acyl-CoA synthetase long chain family member 6,0.016243,Extreme selection
ACSM1,SVs,0,1,0,acyl-CoA synthetase medium chain family member 1,7.1486e-4,Weak selection
ACSM2A,SVs,0,1,1,acyl-CoA synthetase medium chain family member 2A,0.00114872,Strong selection
ACSM2B,SVs,0,1,1,acyl-CoA synthetase medium chain family member 2B,6.7128e-4,Weak selection
ACSM3,SVs,1,1,1,acyl-CoA synthetase medium chain family member 3,4.5512e-4,Weak selection
ACSM5,SVs,1,1,0,acyl-CoA synthetase medium chain family member 5,0.00197866,Strong selection
ACSM6,SVs,0,1,1,acyl-CoA synthetase medium chain family member 6,0.00111894,Strong selection
ACSS2,SVs,0,1,1,acyl-CoA synthetase short chain family member 2,0.00465013,Strong selection
ACSS3,SVs,0,1,0,acyl-CoA synthetase short chain family member 3,0.00172567,Strong selection
ACTA2,SVs,0,0,1,actin alpha 2%2C smooth muscle,0.131379,Extreme selection
ACTG1,SVs,0,1,0,actin gamma 1,0.149628,Extreme selection
ACTG2,SVs,0,0,1,actin gamma 2%2C smooth muscle,0.0356935,Extreme selection
ACTL6A,SVs,0,1,0,actin like 6A,0.183249,Extreme selection
ACTL8,SVs,0,1,1,actin like 8,0.0163025,Extreme selection
ACTMAP,SVs,0,1,0,actin maturation protease,7.6308e-4,Weak selection
ACTN1,SVs,0,1,1,actinin alpha 1,0.120091,Extreme selection
ACTN2,SVs,0,1,0,actinin alpha 2,0.0638223,Extreme selection
ACTN4,SVs,0,1,1,actinin alpha 4,0.299962,Extreme selection
ACTR10,SVs,0,1,0,actin related protein 10,0.00984466,Strong selection
ACTR2,SVs,1,0,0,actin related protein 2,0.450002,Extreme selection
ACTR3,SVs,0,1,1,actin related protein 3,0.455778,Extreme selection
ACTR3B,SVs,1,1,0,actin related protein 3B,0.0678313,Extreme selection
ACTR3C,SVs,1,4,1,actin related protein 3C,0.00249062,Strong selection
ACTRT2,SVs,1,0,0,actin related protein T2,0.00211656,Strong selection
ACVR1,SVs,0,1,1,activin A receptor type 1,0.0863938,Extreme selection
ACVR1B,SVs,0,1,1,activin A receptor type 1B,0.271003,Extreme selection
ACVR1C,SVs,1,0,1,activin A receptor type 1C,0.020289,Extreme selection
ACVR2A,SVs,1,0,1,activin A receptor type 2A,0.195462,Extreme selection
ACY3,SVs,0,0,1,aminoacylase 3,9.2418e-4,Weak selection
ACYP1,SVs,0,0,1,acylphosphatase 1,0.00255774,Strong selection
ACYP2,SVs,4,4,1,acylphosphatase 2,0.00168769,Strong selection
