name,variant_type,Bonobo,Chimpanzee,Human,description,post_mean,selection_regime
CGB5,SVs,0,0,1,chorionic gonadotropin subunit beta 5,0.0098376,Strong selection
CGN,SVs,0,1,0,cingulin,0.00222545,Strong selection
CGNL1,SVs,1,0,1,cingulin like 1,0.00311702,Strong selection
CGRRF1,SVs,0,1,0,cell growth regulator with ring finger domain 1,0.0016515,Strong selection
CH25H,SVs,0,0,1,cholesterol 25-hydroxylase,0.00635765,Strong selection
CHAC1,SVs,0,1,1,ChaC glutathione specific gamma-glutamylcyclotransferase 1,0.00458505,Strong selection
CHAD,SVs,0,1,0,chondroadherin,0.00240339,Strong selection
CHAF1A,SVs,1,1,0,chromatin assembly factor 1 subunit A,0.398294,Extreme selection
CHAF1B,SVs,0,1,0,chromatin assembly factor 1 subunit B,0.046334,Extreme selection
CHAT,SVs,0,1,0,choline O-acetyltransferase,0.0108159,Extreme selection
CHCHD10,SVs,0,0,1,coiled-coil-helix-coiled-coil-helix domain containing 10,0.00201306,Strong selection
CHCHD2,SVs,0,0,1,coiled-coil-helix-coiled-coil-helix domain containing 2,0.00409917,Strong selection
CHCHD3,SVs,1,1,1,coiled-coil-helix-coiled-coil-helix domain containing 3,0.0269808,Extreme selection
CHCHD4,SVs,0,0,1,coiled-coil-helix-coiled-coil-helix domain containing 4,0.0346037,Extreme selection
CHCHD6,SVs,0,1,1,coiled-coil-helix-coiled-coil-helix domain containing 6,0.0016579400000000001,Strong selection
CHCHD7,SVs,0,1,0,coiled-coil-helix-coiled-coil-helix domain containing 7,9.9144e-4,Weak selection
CHD1,SVs,0,0,1,chromodomain helicase DNA binding protein 1,0.271864,Extreme selection
CHD1L,SVs,0,1,1,chromodomain helicase DNA binding protein 1 like,8.4561e-4,Weak selection
CHD2,SVs,1,0,1,chromodomain helicase DNA binding protein 2,0.328733,Extreme selection
CHD4,SVs,0,0,1,chromodomain helicase DNA binding protein 4,0.255115,Extreme selection
CHD6,SVs,1,1,1,chromodomain helicase DNA binding protein 6,0.33934,Extreme selection
CHD7,SVs,1,1,0,chromodomain helicase DNA binding protein 7,0.382211,Extreme selection
CHD8,SVs,0,1,1,chromodomain helicase DNA binding protein 8,0.307263,Extreme selection
CHD9,SVs,0,0,1,chromodomain helicase DNA binding protein 9,0.131773,Extreme selection
CHEK1,SVs,0,1,0,checkpoint kinase 1,0.01204,Extreme selection
CHEK2,SVs,0,1,0,checkpoint kinase 2,8.2378e-4,Weak selection
CHFR,SVs,1,1,1,checkpoint with forkhead and ring finger domains,0.027189,Extreme selection
CHIA,SVs,0,0,1,chitinase acidic,7.7568e-4,Weak selection
CHIC1,SVs,1,1,1,cysteine rich hydrophobic domain 1,0.221696,Extreme selection
CHIC2,SVs,0,0,1,cysteine rich hydrophobic domain 2,0.0631445,Extreme selection
CHID1,SVs,0,1,1,chitinase domain containing 1,0.0079432,Strong selection
CHIT1,SVs,0,1,0,chitinase 1,0.0010114,Strong selection
CHKA,SVs,1,1,0,choline kinase alpha,0.0383755,Extreme selection
CHKB,SVs,0,1,0,choline kinase beta,0.00408062,Strong selection
CHL1,SVs,0,1,1,cell adhesion molecule L1 like,0.0140317,Extreme selection
CHM,SVs,0,1,1,CHM Rab escort protein,0.164517,Extreme selection
CHMP1A,SVs,0,0,1,charged multivesicular body protein 1A,0.0219234,Extreme selection
CHMP1B,SVs,0,0,1,charged multivesicular body protein 1B,0.0102403,Extreme selection
CHMP2B,SVs,0,0,1,charged multivesicular body protein 2B,0.00939387,Strong selection
CHMP3,SVs,0,1,1,charged multivesicular body protein 3,0.0195505,Extreme selection
CHMP4A,SVs,0,0,1,charged multivesicular body protein 4A,8.8927e-4,Weak selection
CHMP4B,SVs,1,1,0,charged multivesicular body protein 4B,0.346898,Extreme selection
CHMP5,SVs,0,1,0,charged multivesicular body protein 5,0.0154674,Extreme selection
CHMP6,SVs,0,0,1,charged multivesicular body protein 6,0.257788,Extreme selection
CHMP7,SVs,0,1,1,charged multivesicular body protein 7,0.0511392,Extreme selection
CHN1,SVs,1,1,1,chimerin 1,0.0374485,Extreme selection
CHN2,SVs,0,1,1,chimerin 2,0.0199652,Extreme selection
CHODL,SVs,0,0,1,chondrolectin,0.00194531,Strong selection
CHORDC1,SVs,0,0,1,cysteine and histidine rich domain containing 1,0.0425936,Extreme selection
CHP2,SVs,0,1,0,calcineurin like EF-hand protein 2,0.00231971,Strong selection
CHPT1,SVs,0,0,1,choline phosphotransferase 1,0.00155646,Strong selection
CHRAC1,SVs,1,0,0,chromatin accessibility complex subunit 1,0.00376818,Strong selection
CHRDL1,SVs,0,1,1,chordin like 1,0.0630792,Extreme selection
CHRDL2,SVs,0,1,1,chordin like 2,0.00131468,Strong selection
CHRFAM7A,SVs,0,0,1,CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion,0.00148447,Strong selection
CHRM2,SVs,0,1,1,cholinergic receptor muscarinic 2,0.0666766,Extreme selection
CHRM3,SVs,1,1,1,cholinergic receptor muscarinic 3,0.085236,Extreme selection
CHRM4,SVs,0,0,1,cholinergic receptor muscarinic 4,0.0724452,Extreme selection
CHRM5,SVs,0,1,1,cholinergic receptor muscarinic 5,0.0137972,Extreme selection
CHRNA5,SVs,0,1,0,cholinergic receptor nicotinic alpha 5 subunit,0.0048955,Strong selection
CHRNA6,SVs,0,0,1,cholinergic receptor nicotinic alpha 6 subunit,0.0026542,Strong selection
CHRNA7,SVs,0,1,1,cholinergic receptor nicotinic alpha 7 subunit,0.0056376,Strong selection
CHRNB3,SVs,0,0,1,cholinergic receptor nicotinic beta 3 subunit,0.00212629,Strong selection
CHRNB4,SVs,1,1,1,cholinergic receptor nicotinic beta 4 subunit,0.0166298,Extreme selection
CHRNE,SVs,0,1,1,cholinergic receptor nicotinic epsilon subunit,0.00154647,Strong selection
CHST10,SVs,0,1,0,carbohydrate sulfotransferase 10,0.0148106,Extreme selection
CHST11,SVs,0,1,1,carbohydrate sulfotransferase 11,0.0686825,Extreme selection
CHST12,SVs,1,1,1,carbohydrate sulfotransferase 12,0.00555784,Strong selection
CHST15,SVs,0,1,0,carbohydrate sulfotransferase 15,0.0149876,Extreme selection
CHST3,SVs,0,1,0,carbohydrate sulfotransferase 3,0.00340733,Strong selection
CHST5,SVs,0,0,4,carbohydrate sulfotransferase 5,0.00531457,Strong selection
CHST6,SVs,0,1,1,carbohydrate sulfotransferase 6,0.00120462,Strong selection
CHST7,SVs,0,1,0,carbohydrate sulfotransferase 7,0.0272222,Extreme selection
CHST8,SVs,0,1,1,carbohydrate sulfotransferase 8,0.00543743,Strong selection
CHST9,SVs,1,1,1,carbohydrate sulfotransferase 9,0.00275601,Strong selection
CHSY1,SVs,0,4,1,chondroitin sulfate synthase 1,0.103508,Extreme selection
CHSY3,SVs,0,1,1,chondroitin sulfate synthase 3,0.038264,Extreme selection
CHTOP,SVs,0,1,0,chromatin target of PRMT1,0.143175,Extreme selection
CHURC1-FNTB,SVs,0,0,1,CHURC1-FNTB readthrough,0.00858098,Strong selection
CIAO2B,SVs,0,1,0,cytosolic iron-sulfur assembly component 2B,0.00714867,Strong selection
CIAO3,SVs,0,1,1,cytosolic iron-sulfur assembly component 3,0.00552233,Strong selection
CIAPIN1,SVs,1,1,0,cytokine induced apoptosis inhibitor 1,0.00632403,Strong selection
CIB1,SVs,0,1,1,calcium and integrin binding 1,0.00726846,Strong selection
CIB2,SVs,1,1,1,calcium and integrin binding family member 2,0.00585115,Strong selection
CIB3,SVs,0,1,0,calcium and integrin binding family member 3,0.00106283,Strong selection
CIB4,SVs,0,1,1,calcium and integrin binding family member 4,6.0007e-4,Weak selection
CIBAR1,SVs,0,0,1,CBY1 interacting BAR domain containing 1,0.00673531,Strong selection
CIBAR2,SVs,0,1,1,CBY1 interacting BAR domain containing 2,6.6184e-4,Weak selection
CIC,SVs,0,1,0,capicua transcriptional repressor,0.195079,Extreme selection
CIDEA,SVs,0,0,1,cell death inducing DFFA like effector a,0.00105812,Strong selection
CIDEC,SVs,1,1,0,cell death inducing DFFA like effector c,0.00304015,Strong selection
CIITA,SVs,0,1,1,class II major histocompatibility complex transactivator,0.0172611,Extreme selection
CILK1,SVs,1,0,0,ciliogenesis associated kinase 1,0.0262584,Extreme selection
CILP2,SVs,4,0,0,cartilage intermediate layer protein 2,0.0040381,Strong selection
CIMAP1B,SVs,0,1,0,ciliary microtubule associated protein 1B,0.001656,Strong selection
CIMAP1C,SVs,0,0,1,ciliary microtubule associated protein 1C,7.6262e-4,Weak selection
CIMAP1D,SVs,1,1,1,CIMAP1 family member D,0.00257778,Strong selection
CIMAP2,SVs,0,1,1,ciliary microtubule associated protein 2,5.9635e-4,Weak selection
CIMAP3,SVs,0,0,1,ciliary microtubule associated protein 3,0.0012827,Strong selection
CIMIP2B,SVs,1,1,0,ciliary microtubule inner protein 2B,0.00103249,Strong selection
CIMIP4,SVs,1,0,0,ciliary microtubule inner protein 4,7.5727e-4,Weak selection
CIP2A,SVs,1,0,0,cellular inhibitor of PP2A,0.0045408,Strong selection
CIRBP,SVs,0,0,1,cold inducible RNA binding protein,0.07263,Extreme selection
CISD1,SVs,0,1,0,CDGSH iron sulfur domain 1,0.0126229,Extreme selection
CISD2,SVs,0,0,4,CDGSH iron sulfur domain 2,0.0253485,Extreme selection
CIT,SVs,1,1,1,citron rho-interacting serine/threonine kinase,0.0800252,Extreme selection
CIZ1,SVs,0,1,1,CDKN1A interacting zinc finger protein 1,0.045966,Extreme selection
CKAP2,SVs,0,1,0,cytoskeleton associated protein 2,0.00380833,Strong selection
CKAP4,SVs,0,1,0,cytoskeleton associated protein 4,0.0779757,Extreme selection
CKB,SVs,1,0,0,creatine kinase B,0.0664635,Extreme selection
CKMT1A,SVs,0,0,1,creatine kinase%2C mitochondrial 1A,0.0105686,Extreme selection
CKMT2,SVs,1,1,0,creatine kinase%2C mitochondrial 2,0.00333281,Strong selection
CLASP1,SVs,0,1,1,cytoplasmic linker associated protein 1,0.180651,Extreme selection
CLASP2,SVs,1,1,1,cytoplasmic linker associated protein 2,0.116339,Extreme selection
CLASRP,SVs,0,0,1,CLK4 associating serine/arginine rich protein,0.0767037,Extreme selection
CLCA1,SVs,0,0,1,chloride channel accessory 1,0.00546982,Strong selection
CLCA2,SVs,0,1,0,chloride channel accessory 2,8.2097e-4,Weak selection
CLCA4,SVs,0,1,0,chloride channel accessory 4,0.00125604,Strong selection
CLCC1,SVs,0,1,1,chloride channel CLIC like 1,0.00511548,Strong selection
CLCN1,SVs,1,1,0,chloride voltage-gated channel 1,0.00178771,Strong selection
CLCN3,SVs,1,0,1,chloride voltage-gated channel 3,0.0978618,Extreme selection
CLCN5,SVs,0,0,1,chloride voltage-gated channel 5,0.165472,Extreme selection
CLCN7,SVs,0,1,1,chloride voltage-gated channel 7,0.0543592,Extreme selection
CLCNKA,SVs,0,1,0,chloride voltage-gated channel Ka,0.00232826,Strong selection
CLCNKB,SVs,0,0,1,chloride voltage-gated channel Kb,0.00146006,Strong selection
CLDN1,SVs,0,1,0,claudin 1,0.0107157,Extreme selection
CLDN10,SVs,0,1,1,claudin 10,0.0110025,Extreme selection
CLDN11,SVs,0,0,1,claudin 11,0.072648,Extreme selection
CLDN12,SVs,0,1,0,claudin 12,0.0321875,Extreme selection
CLDN14,SVs,1,0,1,claudin 14,0.00325859,Strong selection
CLDN16,SVs,0,0,1,claudin 16,0.00409929,Strong selection
CLDN17,SVs,0,1,0,claudin 17,0.00555008,Strong selection
CLDN2,SVs,0,1,0,claudin 2,0.189883,Extreme selection
CLDN20,SVs,1,0,0,claudin 20,7.7572e-4,Weak selection
CLDN22,SVs,0,1,3,claudin 22,0.00275075,Strong selection
CLDN24,SVs,0,1,1,claudin 24,0.00232799,Strong selection
CLDN3,SVs,0,1,0,claudin 3,0.0123398,Extreme selection
CLDN34,SVs,1,1,1,claudin 34,0.00220393,Strong selection
CLDN4,SVs,0,0,1,claudin 4,0.0123784,Extreme selection
CLDN6,SVs,0,1,1,claudin 6,0.0065952,Strong selection
CLDN9,SVs,0,1,1,claudin 9,0.00320432,Strong selection
CLDND1,SVs,0,1,0,claudin domain containing 1,0.0580846,Extreme selection
CLEC12A,SVs,0,0,1,C-type lectin domain family 12 member A,6.2149e-4,Weak selection
CLEC12B,SVs,0,0,1,C-type lectin domain family 12 member B,7.3557e-4,Weak selection
CLEC16A,SVs,0,1,1,C-type lectin domain containing 16A,0.0564809,Extreme selection
CLEC17A,SVs,0,1,4,C-type lectin domain containing 17A,0.00185271,Strong selection
CLEC18A,SVs,0,0,4,C-type lectin domain family 18 member A,0.00151621,Strong selection
CLEC1A,SVs,0,1,1,C-type lectin domain family 1 member A,7.3288e-4,Weak selection
CLEC1B,SVs,0,0,1,C-type lectin domain family 1 member B,0.00184976,Strong selection
CLEC2A,SVs,0,1,1,C-type lectin domain family 2 member A,8.0187e-4,Weak selection
CLEC2D,SVs,1,4,0,C-type lectin domain family 2 member D,0.00579025,Strong selection
CLEC2L,SVs,0,0,1,C-type lectin domain family 2 member L,0.00265157,Strong selection
CLEC3A,SVs,0,0,1,C-type lectin domain family 3 member A,0.00110359,Strong selection
CLEC3B,SVs,1,1,0,C-type lectin domain family 3 member B,0.00555069,Strong selection
CLEC4A,SVs,1,1,0,C-type lectin domain family 4 member A,0.00114162,Strong selection
CLEC4C,SVs,1,4,1,C-type lectin domain family 4 member C,0.001222,Strong selection
CLEC4D,SVs,0,1,0,C-type lectin domain family 4 member D,7.0701e-4,Weak selection
CLEC4M,SVs,0,1,0,C-type lectin domain family 4 member M,0.00207951,Strong selection
CLEC5A,SVs,0,0,1,C-type lectin domain containing 5A,0.00254407,Strong selection
CLEC6A,SVs,0,0,1,C-type lectin domain containing 6A,6.6896e-4,Weak selection
CLEC7A,SVs,1,0,0,C-type lectin domain containing 7A,9.8581e-4,Weak selection
CLEC9A,SVs,0,1,0,C-type lectin domain containing 9A,0.00108407,Strong selection
CLGN,SVs,1,1,0,calmegin,0.00481624,Strong selection
CLHC1,SVs,0,1,1,clathrin heavy chain linker domain containing 1,4.8322e-4,Weak selection
CLIC2,SVs,1,4,1,chloride intracellular channel 2,0.0386964,Extreme selection
CLIC4,SVs,1,1,1,chloride intracellular channel 4,0.0118103,Extreme selection
CLIC5,SVs,0,4,1,chloride intracellular channel 5,0.00254843,Strong selection
CLIC6,SVs,0,0,1,chloride intracellular channel 6,0.00168416,Strong selection
CLINT1,SVs,1,1,0,clathrin interactor 1,0.195813,Extreme selection
CLIP1,SVs,0,1,1,CAP-Gly domain containing linker protein 1,0.066193,Extreme selection
CLIP2,SVs,1,1,1,CAP-Gly domain containing linker protein 2,0.132869,Extreme selection
CLIP3,SVs,0,1,0,CAP-Gly domain containing linker protein 3,0.131491,Extreme selection
CLIP4,SVs,0,1,0,CAP-Gly domain containing linker protein family member 4,0.00824526,Strong selection
CLK3,SVs,0,0,1,CDC like kinase 3,0.079166,Extreme selection
CLMN,SVs,1,1,0,calmin,0.0100042,Extreme selection
CLMP,SVs,1,1,1,CXADR like membrane protein,0.0174726,Extreme selection
CLN3,SVs,4,0,0,CLN3 lysosomal/endosomal transmembrane protein%2C battenin,0.00495442,Strong selection
CLN6,SVs,1,1,1,CLN6 transmembrane ER protein,0.00730542,Strong selection
CLN8,SVs,0,1,0,CLN8 transmembrane ER and ERGIC protein,0.01141,Extreme selection
CLNK,SVs,0,1,1,cytokine dependent hematopoietic cell linker,6.5442e-4,Weak selection
CLNS1A,SVs,1,0,0,chloride nucleotide-sensitive channel 1A,0.0249017,Extreme selection
CLOCK,SVs,1,1,1,clock circadian regulator,0.135179,Extreme selection
CLPB,SVs,0,1,1,ClpB family mitochondrial disaggregase,0.0041794,Strong selection
CLPS,SVs,0,0,4,colipase,0.0048386,Strong selection
CLPSL1,SVs,0,0,1,colipase like 1,0.00107352,Strong selection
CLPTM1,SVs,1,1,1,CLPTM1 regulator of GABA type A receptor forward trafficking,0.0314389,Extreme selection
CLPTM1L,SVs,0,1,4,CLPTM1 like,0.0121182,Extreme selection
CLPX,SVs,0,1,1,caseinolytic mitochondrial matrix peptidase chaperone subunit X,0.0473279,Extreme selection
CLSPN,SVs,0,1,0,claspin,0.052478,Extreme selection
CLSTN1,SVs,0,1,1,calsyntenin 1,0.0623333,Extreme selection
CLSTN2,SVs,0,1,1,calsyntenin 2,0.0229574,Extreme selection
CLTA,SVs,0,1,0,clathrin light chain A,0.182543,Extreme selection
CLTB,SVs,0,1,0,clathrin light chain B,0.0632456,Extreme selection
CLTC,SVs,0,1,1,clathrin heavy chain,0.496626,Extreme selection
CLTCL1,SVs,0,1,1,clathrin heavy chain like 1,7.9078e-4,Weak selection
CLTRN,SVs,0,1,0,collectrin%2C amino acid transport regulator,0.0039275,Strong selection
CLUAP1,SVs,0,1,1,clusterin associated protein 1,0.0147229,Extreme selection
CLUH,SVs,1,1,2,clustered mitochondria homolog,0.0800313,Extreme selection
CLUL1,SVs,0,0,1,clusterin like 1,0.00103682,Strong selection
CLVS1,SVs,1,1,1,clavesin 1,0.0523709,Extreme selection
CLVS2,SVs,0,0,1,clavesin 2,0.058072,Extreme selection
CLYBL,SVs,1,1,0,citramalyl-CoA lyase,3.9263e-4,Weak selection
CMAS,SVs,0,1,1,cytidine monophosphate N-acetylneuraminic acid synthetase,0.0461931,Extreme selection
CMBL,SVs,0,0,1,carboxymethylenebutenolidase homolog,8.2203e-4,Weak selection
CMC1,SVs,0,1,1,C-X9-C motif containing 1,0.00175858,Strong selection
CMC2,SVs,1,0,1,C-X9-C motif containing 2,0.00307243,Strong selection
CMC4,SVs,0,0,1,C-X9-C motif containing 4,0.0212085,Extreme selection
CMIP,SVs,0,1,1,c-Maf inducing protein,0.262411,Extreme selection
CMPK1,SVs,1,1,1,cytidine/uridine monophosphate kinase 1,0.0801213,Extreme selection
CMSS1,SVs,1,1,1,cms1 ribosomal small subunit homolog,0.0027177,Strong selection
CMTM4,SVs,1,1,0,CKLF like MARVEL transmembrane domain containing 4,0.022584,Extreme selection
CMTM7,SVs,1,1,1,CKLF like MARVEL transmembrane domain containing 7,0.0269059,Extreme selection
CMTM8,SVs,0,0,1,CKLF like MARVEL transmembrane domain containing 8,0.00773726,Strong selection
CMTR1,SVs,0,1,0,cap methyltransferase 1,0.0766214,Extreme selection
CMTR2,SVs,0,0,1,cap methyltransferase 2,0.00342621,Strong selection
CMYA5,SVs,0,0,1,cardiomyopathy associated 5,0.00194182,Strong selection
CNBD1,SVs,1,1,1,cyclic nucleotide binding domain containing 1,4.6169e-4,Weak selection
CNBD2,SVs,1,1,1,cyclic nucleotide binding domain containing 2,7.0634e-4,Weak selection
CNBP,SVs,0,1,0,CCHC-type zinc finger nucleic acid binding protein,0.283318,Extreme selection
CNDP1,SVs,0,1,0,carnosine dipeptidase 1,0.0014789,Strong selection
CNDP2,SVs,1,0,0,carnosine dipeptidase 2,0.00331743,Strong selection
CNGA3,SVs,0,1,0,cyclic nucleotide gated channel subunit alpha 3,0.00205681,Strong selection
CNGB3,SVs,1,1,1,cyclic nucleotide gated channel subunit beta 3,8.5846e-4,Weak selection
CNIH3,SVs,0,1,1,cornichon family AMPA receptor auxiliary protein 3,0.0444153,Extreme selection
CNKSR1,SVs,0,1,0,connector enhancer of kinase suppressor of Ras 1,0.00224916,Strong selection
CNKSR2,SVs,0,1,0,connector enhancer of kinase suppressor of Ras 2,0.232669,Extreme selection
CNKSR3,SVs,0,1,1,CNKSR family member 3,0.0167769,Extreme selection
CNMD,SVs,0,1,0,chondromodulin,0.00142905,Strong selection
CNN2,SVs,0,1,1,calponin 2,0.0190954,Extreme selection
CNNM2,SVs,0,1,1,cyclin and CBS domain divalent metal cation transport mediator 2,0.120725,Extreme selection
CNNM4,SVs,0,1,1,cyclin and CBS domain divalent metal cation transport mediator 4,0.0252161,Extreme selection
CNOT1,SVs,1,1,1,CCR4-NOT transcription complex subunit 1,0.559652,Extreme selection
CNOT10,SVs,1,0,1,CCR4-NOT transcription complex subunit 10,0.0759695,Extreme selection
CNOT2,SVs,0,1,1,CCR4-NOT transcription complex subunit 2,0.412722,Extreme selection
CNOT3,SVs,0,0,1,CCR4-NOT transcription complex subunit 3,0.288991,Extreme selection
CNOT4,SVs,1,1,1,CCR4-NOT transcription complex subunit 4,0.329395,Extreme selection
CNOT6,SVs,0,1,1,CCR4-NOT transcription complex subunit 6,0.0680564,Extreme selection
CNOT6L,SVs,1,1,1,CCR4-NOT transcription complex subunit 6 like,0.186276,Extreme selection
CNOT8,SVs,0,1,1,CCR4-NOT transcription complex subunit 8,0.0575724,Extreme selection
CNP,SVs,0,1,0,2'%2C3'-cyclic nucleotide 3' phosphodiesterase,0.0710081,Extreme selection
CNPY1,SVs,1,0,0,canopy FGF signaling regulator 1,0.00163064,Strong selection
CNPY3,SVs,0,0,1,canopy FGF signaling regulator 3,0.0451782,Extreme selection
CNR2,SVs,0,0,1,cannabinoid receptor 2,0.00235008,Strong selection
CNRIP1,SVs,1,0,0,cannabinoid receptor interacting protein 1,0.0242369,Extreme selection
CNST,SVs,1,1,1,consortin%2C connexin sorting protein,0.0207797,Extreme selection
CNTD1,SVs,0,1,0,cyclin N-terminal domain containing 1,0.00239175,Strong selection
CNTFR,SVs,0,0,1,ciliary neurotrophic factor receptor,0.0858519,Extreme selection
CNTLN,SVs,1,1,1,centlein,0.0010377,Strong selection
CNTN1,SVs,1,1,1,contactin 1,0.0679487,Extreme selection
CNTN2,SVs,0,1,0,contactin 2,0.0526995,Extreme selection
CNTN3,SVs,1,1,4,contactin 3,0.0328474,Extreme selection
CNTN4,SVs,0,1,1,contactin 4,0.0394123,Extreme selection
CNTN5,SVs,1,1,1,contactin 5,0.034206,Extreme selection
CNTN6,SVs,0,1,1,contactin 6,9.3218e-4,Weak selection
CNTNAP2,SVs,1,1,1,contactin associated protein 2,0.021423,Extreme selection
CNTNAP3,SVs,0,1,1,contactin associated protein family member 3,0.00538227,Strong selection
CNTNAP3B,SVs,0,0,1,contactin associated protein family member 3B,0.00168101,Strong selection
CNTNAP4,SVs,1,1,1,contactin associated protein family member 4,0.0204565,Extreme selection
CNTNAP5,SVs,1,1,1,contactin associated protein family member 5,0.0471465,Extreme selection
CNTRL,SVs,1,0,1,centriolin,0.00228046,Strong selection
COA1,SVs,0,1,1,cytochrome c oxidase assembly factor 1,0.00205877,Strong selection
COA4,SVs,0,0,1,cytochrome c oxidase assembly factor 4 homolog,0.00483749,Strong selection
COA5,SVs,0,1,0,cytochrome c oxidase assembly factor 5,0.00996509,Strong selection
COA6,SVs,0,1,0,cytochrome c oxidase assembly factor 6,0.00555272,Strong selection
COBL,SVs,0,1,1,cordon-bleu WH2 repeat protein,0.0375471,Extreme selection
COBLL1,SVs,0,1,1,cordon-bleu WH2 repeat protein like 1,0.02126,Extreme selection
COCH,SVs,1,0,0,cochlin,0.00748589,Strong selection
COG1,SVs,0,1,1,component of oligomeric golgi complex 1,0.0193572,Extreme selection
COG2,SVs,0,1,0,component of oligomeric golgi complex 2,0.0166719,Extreme selection
COG3,SVs,0,1,1,component of oligomeric golgi complex 3,0.0963827,Extreme selection
COG4,SVs,0,0,1,component of oligomeric golgi complex 4,0.0200133,Extreme selection
COG5,SVs,1,1,1,component of oligomeric golgi complex 5,0.00669928,Strong selection
COG6,SVs,0,0,1,component of oligomeric golgi complex 6,0.00268308,Strong selection
COG7,SVs,0,1,1,component of oligomeric golgi complex 7,0.0109577,Extreme selection
COG8,SVs,0,0,1,component of oligomeric golgi complex 8,0.00139642,Strong selection
COIL,SVs,0,0,1,coilin,0.00290472,Strong selection
COL10A1,SVs,0,0,1,collagen type X alpha 1 chain,0.00130277,Strong selection
COL11A1,SVs,0,1,0,collagen type XI alpha 1 chain,0.11248,Extreme selection
COL11A2,SVs,0,1,1,collagen type XI alpha 2 chain,0.0481947,Extreme selection
COL12A1,SVs,0,1,0,collagen type XII alpha 1 chain,0.055059,Extreme selection
COL13A1,SVs,0,1,1,collagen type XIII alpha 1 chain,0.00397287,Strong selection
COL14A1,SVs,1,1,1,collagen type XIV alpha 1 chain,0.0204128,Extreme selection
COL15A1,SVs,1,1,0,collagen type XV alpha 1 chain,0.00516281,Strong selection
COL17A1,SVs,0,0,1,collagen type XVII alpha 1 chain,0.00600162,Strong selection
COL18A1,SVs,0,0,1,collagen type XVIII alpha 1 chain,0.0203229,Extreme selection
COL19A1,SVs,1,1,1,collagen type XIX alpha 1 chain,0.00271309,Strong selection
COL1A1,SVs,0,4,0,collagen type I alpha 1 chain,0.297986,Extreme selection
COL21A1,SVs,0,1,1,collagen type XXI alpha 1 chain,0.00127228,Strong selection
COL22A1,SVs,0,1,0,collagen type XXII alpha 1 chain,0.0024607,Strong selection
COL23A1,SVs,1,1,1,collagen type XXIII alpha 1 chain,0.00265756,Strong selection
COL24A1,SVs,1,1,1,collagen type XXIV alpha 1 chain,0.00146401,Strong selection
COL25A1,SVs,1,1,1,collagen type XXV alpha 1 chain,0.00897799,Strong selection
COL26A1,SVs,0,1,1,collagen type XXVI alpha 1 chain,0.00545297,Strong selection
COL27A1,SVs,1,0,1,collagen type XXVII alpha 1 chain,0.0564646,Extreme selection
COL28A1,SVs,1,1,1,collagen type XXVIII alpha 1 chain,5.8375e-4,Weak selection
COL3A1,SVs,0,1,1,collagen type III alpha 1 chain,0.226956,Extreme selection
COL4A1,SVs,1,1,1,collagen type IV alpha 1 chain,0.210418,Extreme selection
COL4A2,SVs,1,0,1,collagen type IV alpha 2 chain,0.023416,Extreme selection
COL4A3,SVs,0,1,1,collagen type IV alpha 3 chain,0.0224807,Extreme selection
COL4A4,SVs,0,1,1,collagen type IV alpha 4 chain,0.0144327,Extreme selection
COL4A5,SVs,0,1,1,collagen type IV alpha 5 chain,0.139186,Extreme selection
COL4A6,SVs,0,1,1,collagen type IV alpha 6 chain,0.0622845,Extreme selection
COL5A1,SVs,1,1,1,collagen type V alpha 1 chain,0.262903,Extreme selection
COL5A2,SVs,0,1,1,collagen type V alpha 2 chain,0.218955,Extreme selection
COL6A1,SVs,0,0,4,collagen type VI alpha 1 chain,0.0938407,Extreme selection
COL6A2,SVs,0,1,0,collagen type VI alpha 2 chain,0.0110066,Extreme selection
COL6A5,SVs,0,1,1,collagen type VI alpha 5 chain,4.8283e-4,Weak selection
COL6A6,SVs,0,1,1,collagen type VI alpha 6 chain,5.1858e-4,Weak selection
COL8A1,SVs,0,1,1,collagen type VIII alpha 1 chain,0.060577400000000003,Extreme selection
COL9A1,SVs,0,1,1,collagen type IX alpha 1 chain,0.00705455,Strong selection
COL9A3,SVs,0,1,0,collagen type IX alpha 3 chain,0.0140009,Extreme selection
COLEC10,SVs,1,1,1,collectin subfamily member 10,0.00352997,Strong selection
COLEC11,SVs,0,1,1,collectin subfamily member 11,0.016007,Extreme selection
COLEC12,SVs,0,1,1,collectin subfamily member 12,0.0493376,Extreme selection
COLGALT1,SVs,1,1,1,collagen beta(1-O)galactosyltransferase 1,0.00575646,Strong selection
COLGALT2,SVs,0,0,1,collagen beta(1-O)galactosyltransferase 2,0.00601343,Strong selection
COLQ,SVs,0,1,1,collagen like tail subunit of asymmetric acetylcholinesterase,0.00243248,Strong selection
COMMD1,SVs,1,1,1,copper metabolism domain containing 1,0.00609403,Strong selection
COMMD10,SVs,0,1,1,COMM domain containing 10,0.00178494,Strong selection
COMMD2,SVs,0,1,0,COMM domain containing 2,0.0057205,Strong selection
COMMD4,SVs,0,1,1,COMM domain containing 4,0.00460615,Strong selection
COMMD5,SVs,0,4,1,COMM domain containing 5,0.00350905,Strong selection
COMMD6,SVs,0,0,1,COMM domain containing 6,0.00611745,Strong selection
COMMD7,SVs,1,1,1,COMM domain containing 7,0.0040686,Strong selection
