pop	dataset	n_windows	median_pi	mean_pi_unweighted	mean_pi_weighted	q95_pi	q99_pi	max_pi	pct_above_1pct	median_no_sites
Central	long	267838	0.0014694826054268	0.00174803687518634	0.00173252139252493	0.0034552272491841	0.00626505997851371	0.182976106816585	0.00408455857645293	9634
Central	short	267843	0.0017843539813584	0.00196861032338103	0.00196799753906629	0.00367218946141648	0.00542935833428347	0.0342851578417976	0.000459224247040244	9634
Eastern	long	267841	0.0012886775549583	0.00154317993896956	0.00152687862374937	0.0030984528255427	0.00569982133893756	0.166307711350415	0.00388663423448987	9634
Eastern	short	267843	0.0015488911676313	0.00171027575506895	0.00170941537687722	0.0032734444829736	0.00501787400205414	0.0320272829006387	0.000399487759620375	9634
NC	short	267843	0.0012633183161103	0.00139463796115597	0.00139545475681341	0.00276105631698154	0.00441004696822369	0.0297683057276214	0.000242679480143218	9634
Western	long	267843	0.0006227553532315	0.00084425229335707	0.000837186103833011	0.00185028975482332	0.00358688491301235	0.105256045282852	0.00199370526763813	9634
Western	short	267843	0.0006550635690632	0.000824979854882613	0.000824620811686947	0.00184353655046368	0.00320926987058263	0.0361190110036725	0.000168008870868382	9634
