loc_name	new_symbol	description
LOC124906409	NA	ubiquitin carboxyl-terminal hydrolase 17-like protein 22
LOC128966620	NA	ubiquitin carboxyl-terminal hydrolase 17-like protein 22
LOC128966619	NA	ubiquitin carboxyl-terminal hydrolase 17-like protein 22
LOC128966606	NA	ubiquitin carboxyl-terminal hydrolase 17-like protein 22
LOC128966621	NA	ubiquitin carboxyl-terminal hydrolase 17-like protein 22
LOC124901165	NA	keratin-associated protein 5-5-like
LOC128966671	NA	putative TAF11-like protein ENSP00000332601
LOC128966672	NA	putative TAF11-like protein ENSP00000332601
LOC128966665	NA	putative TAF11-like protein ENSP00000332601
LOC128966673	NA	putative TAF11-like protein ENSP00000332601
LOC124906475	NA	putative TAF11-like protein ENSP00000332601
LOC124906476	NA	putative TAF11-like protein ENSP00000332601
LOC124906477	NA	putative TAF11-like protein ENSP00000332601
LOC124906478	NA	putative TAF11-like protein ENSP00000332601
LOC124906479	NA	putative TAF11-like protein ENSP00000332601
LOC124906480	NA	putative TAF11-like protein ENSP00000332601
LOC124906481	NA	putative TAF11-like protein ENSP00000332601
LOC124906482	NA	putative TAF11-like protein ENSP00000332601
LOC124906483	NA	putative TAF11-like protein ENSP00000332601
LOC130160544	NA	putative TAF11-like protein ENSP05220103539
LOC130160545	NA	putative TAF11-like protein ENSP05220103537
LOC124906484	NA	putative TAF11-like protein ENSP00000332601
LOC130160546	NA	putative TAF11-like protein ENSP05220103536
LOC124906485	NA	putative TAF11-like protein ENSP00000332601
LOC124906487	NA	putative TAF11-like protein ENSP00000332601
LOC130160547	NA	putative TAF11-like protein ENSP05220103535
LOC124906486	NA	putative TAF11-like protein ENSP00000332601
LOC124906488	NA	putative TAF11-like protein ENSP00000332601
LOC124906489	NA	putative TAF11-like protein ENSP00000332601
LOC124906490	NA	putative TAF11-like protein ENSP00000332601
LOC130160548	NA	putative TAF11-like protein ENSP05220103534
LOC124906491	NA	putative TAF11-like protein ENSP00000332601
LOC130160549	NA	putative TAF11-like protein ENSP05220103533
LOC130160542	NA	putative TAF11-like protein ENSP05220060156
LOC107987432	NA	putative POM121-like protein 1-like
LOC124905413	NA	putative POM121-like protein 1-like
LOC124906494	NA	putative POM121-like protein 1-like
LOC124906492	NA	putative POM121-like protein 1-like
LOC124906493	NA	putative POM121-like protein 1-like
LOC124900567	NA	putative POM121-like protein 1-like
LOC124901178	NA	translation initiation factor IF-2
LOC107986346	NA	mitochondrial import receptor subunit TOM7 homolog
LOC124906496	NA	putative POM121-like protein 1-like
LOC124906497	NA	putative POM121-like protein 1-like
LOC112268330	NA	putative POM121-like protein 1-like
LOC124906495	NA	putative POM121-like protein 1-like
LOC124906498	NA	putative POM121-like protein 1-like
LOC107986372	NA	mitochondrial import receptor subunit TOM5 homolog
LOC128966637	NA	putative POM121-like protein 1-like
LOC128092253	NA	umcharacterized LOC128092253
LOC105378149	ZNF227	zinc finger protein 227-like
LOC101929614	NA	proline-rich receptor-like protein kinase PERK10
LOC105375112	NA	putative protein FAM157B
LOC124906654	NA	topoisomerase 1-associated factor 1-like
LOC124901580	NA	endogenous retrovirus group K member 6 Env polyprotein
LOC124906661	NA	endogenous retrovirus group K member 6 Gag polyprotein-like
LOC124906603	NA	putative speedy protein E9
LOC107986860	NA	endogenous retrovirus group K member 19 Env polyprotein-like
LOC128966762	NA	extensin-like
LOC124906716	NA	putative protein FAM90A9P
LOC124906717	NA	putative protein FAM90A9P
LOC128966609	NA	putative protein FAM90A9P
LOC128966594	NA	putative protein FAM90A9P
LOC124906721	NA	putative protein FAM90A9P
LOC124906718	NA	ras-associated and pleckstrin homology domains-containing protein 1-like
LOC124906758	NA	putative protein FAM90A13P
LOC124906756	NA	putative protein FAM90A13P
LOC128966605	NA	putative protein FAM90A13P
LOC124906764	NA	putative protein FAM90A13P
LOC124906767	NA	putative protein FAM90A12P
LOC124906752	NA	putative protein FAM90A13P
LOC124906751	NA	putative protein FAM90A13P
LOC128966593	NA	putative protein FAM90A13P
LOC124906760	NA	putative protein FAM90A13P
LOC124906763	NA	putative protein FAM90A13P
LOC128966670	NA	inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 7
LOC124906734	NA	translation initiation factor IF-2-like
LOC124906757	NA	putative protein FAM90A23P
LOC124906761	NA	putative protein FAM90A24P
LOC124906796	NA	olfactory receptor 7E24-like
LOC128966567	NA	putative protein FAM90A24P
LOC124906750	NA	putative protein FAM90A24P
LOC128966607	NA	putative protein FAM90A24P
LOC128966767	NA	putative protein FAM90A24P
LOC124906765	NA	putative protein FAM90A24P
LOC128966602	NA	putative protein FAM90A24P
LOC124906766	NA	putative protein FAM90A10P
LOC124906737	NA	proline-rich protein 23D1-like
LOC124906743	NA	beta-defensin 107
LOC124906746	NA	beta-defensin 104A
LOC105375817	NA	POTE ankyrin domain family member A-like
LOC128966661	NA	putative exonuclease GOR
LOC124906690	NA	putative exonuclease GOR
LOC124906694	NA	putative exonuclease GOR
LOC124906697	NA	putative exonuclease GOR
LOC124906684	NA	putative exonuclease GOR
LOC124906699	NA	putative exonuclease GOR
LOC124906701	NA	putative exonuclease GOR
LOC124906780	NA	putative exonuclease GOR
LOC124906689	NA	putative exonuclease GOR
LOC124906783	NA	putative exonuclease GOR
