pop	n_windows	median_log2_ratio	q99_log2_ratio	pct_log2_gt2	pct_log2_lt_neg2	pct_padj_sig_long	pct_padj_sig_short	median_delta_pi
Central	267838	-0.250868348822667	0.878465440396418	0.313995773564617	3.57716231453341	7.43546472121208	39.8707427624161	-0.00027267369238805
Eastern	267841	-0.215660840706839	0.908445791885825	0.338633741660164	4.4892305509612	12.3207425300831	48.3436068413723	-0.0002039103395751
Western	267843	-0.0687791826257886	1.15806065295197	0.366632691539447	0.114619385236874	25.7721874381634	45.1189689482271	-3.00377347885999e-05
