genomeName	Species	SpeciesCode	CommonName	Assembly	Assembly2	NewName	Birth	cell	type	id	colors	sex	Observations
mPanTro3	Pan troglodytes verus	Ptv	Western chimpanzee	verkko	verkko	mPanTro3(Western chimpanzee)	unknown	LCL	hap1	mPanTro3.hap1	#9dced9	male	this is AG18354_5
mPanTro3	Pan troglodytes verus	Ptv	Western chimpanzee	verkko	verkko	mPanTro3(Western chimpanzee)	unknown	LCL	hap2	mPanTro3.hap2	#9dced9	male	this is AG18354_5
AG18356_6	Pan troglodytes verus	Ptv x Ptt	Western x Central hybrid	hifiasm_hic	hifiasm_hic	AG18356_6(hybrid western x central chimpanzee)	unknown	LCL	hap1	AG18356_6.hap1	#bbc671	female	
AG18356_6	Pan troglodytes verus	Ptv x Ptt	Western x Central hybrid	hifiasm_hic	hifiasm_hic	AG18356_6(hybrid western x central chimpanzee)	unknown	LCL	hap2	AG18356_6.hap2	#bbc671	female	
AG18359_7	Pan troglodytes verus	Ptv	Western chimpanzee	hifiasm_hic	hifiasm_hic	AG18359_7(Western chimpanzee)	unknown	LCL	hap1	AG18359_7.hap1	#9dced9	female	
AG18359_7	Pan troglodytes verus	Ptv	Western chimpanzee	hifiasm_hic	hifiasm_hic	AG18359_7(Western chimpanzee)	unknown	LCL	hap2	AG18359_7.hap2	#9dced9	female	
AG18355_8	Pan troglodytes verus	Ptv	Western chimpanzee	hifiasm_hic	hifiasm_hic	AG18355_8(Western chimpanzee)	unknown	LCL	hap1	AG18355_8.hap1	#9dced9	male	
AG18355_8	Pan troglodytes verus	Ptv	Western chimpanzee	hifiasm_hic	hifiasm_hic	AG18355_8(Western chimpanzee)	unknown	LCL	hap2	AG18355_8.hap2	#9dced9	male	
AG18353_9	Pan troglodytes verus	Ptv	Western chimpanzee	hifiasm_hic	hifiasm_hic	AG18353_9(Western chimpanzee)	unknown	LCL	hap1	AG18353_9.hap1	#9dced9	male	
AG18353_9	Pan troglodytes verus	Ptv	Western chimpanzee	hifiasm_hic	hifiasm_hic	AG18353_9(Western chimpanzee)	unknown	LCL	hap2	AG18353_9.hap2	#9dced9	male	
AG18361_10	Pan troglodytes verus	Ptv	Western chimpanzee	hifiasm_hic	hifiasm_hic	AG18361_10(Western chimpanzee)	unknown	LCL	hap1	AG18361_10.hap1	#9dced9	female	
AG18361_10	Pan troglodytes verus	Ptv	Western chimpanzee	hifiasm_hic	hifiasm_hic	AG18361_10(Western chimpanzee)	unknown	LCL	hap2	AG18361_10.hap2	#9dced9	female	
AG18360_11	Pan troglodytes verus	Ptv	Western chimpanzee	hifiasm_hic	hifiasm_hic	AG18360_11(Western chimpanzee)	unknown	LCL	hap1	AG18360_11.hap1	#9dced9	female	
AG18360_11	Pan troglodytes verus	Ptv	Western chimpanzee	hifiasm_hic	hifiasm_hic	AG18360_11(Western chimpanzee)	unknown	LCL	hap2	AG18360_11.hap2	#9dced9	female	
AG16618_12	Pan troglodytes verus	Ptv x Ptt	Western x Central hybrid	hifiasm_hic	hifiasm_hic	AG16618_12(Western chimpanzee)	unknown	LCL	hap1	AG16618_12.hap1	#bbc671	male	
AG16618_12	Pan troglodytes verus	Ptv x Ptt	Western x Central hybrid	hifiasm_hic	hifiasm_hic	AG16618_12(Western chimpanzee)	unknown	LCL	hap2	AG16618_12.hap2	#bbc671	male	
AG06939_13	Pan troglodytes verus	Ptv	Western chimpanzee	hifiasm_hic	hifiasm_hic	AG06939_13(Western chimpanzee)	unknown	Fibroblast	hap1	AG06939_13.hap1	#9dced9	male	
AG06939_13	Pan troglodytes verus	Ptv	Western chimpanzee	hifiasm_hic	hifiasm_hic	AG06939_13(Western chimpanzee)	unknown	Fibroblast	hap2	AG06939_13.hap2	#9dced9	male	
