Sample	id	type	dataset	p1	p2	HPRC_meta.Population	HPRC_PANPAN.color	hgdp_tgp_meta.Genetic.region	hgdp_tgp_meta.Study.region	SpeciesCode	Cell	Birth	hgdp_tgp_meta.Latitude	hgdp_tgp_meta.Longitude	hgdp_tgp_meta.Continent.colors	hgdp_tgp_meta.Pop.colors	project_meta.sex	observations
HG01928	HG01928.1	hap1	HPRC	PEL	AMR	PEL	#660099	AMR	AMR	Hsa 			-12.041667	-77.028333	#E41A1C	#B61416	male	
HG01952	HG01952.2	hap2	HPRC	PEL	AMR	PEL	#660099	AMR	AMR	Hsa 			-12.041667	-77.028333	#E41A1C	#B61416	male	
HG01952	HG01952.1	hap1	HPRC	PEL	AMR	PEL	#660099	AMR	AMR	Hsa 			-12.041667	-77.028333	#E41A1C	#B61416	male	
HG01978	HG01978.1	hap1	HPRC	PEL	AMR	PEL	#660099	AMR	AMR	Hsa 			-12.041667	-77.028333	#E41A1C	#B61416	female	
HG01978	HG01978.2	hap2	HPRC	PEL	AMR	PEL	#660099	AMR	AMR	Hsa 			-12.041667	-77.028333	#E41A1C	#B61416	female	
HG02055	HG02055.2	hap2	HPRC	ACB	AFR	ACB	#FF6600	AFR	AFR	Hsa 			13.1	-59.61667	#984EA3	#F1E7F2	male	
HG02055	HG02055.1	hap1	HPRC	ACB	AFR	ACB	#FF6600	AFR	AFR	Hsa 			13.1	-59.61667	#984EA3	#F1E7F2	male	
HG02080	HG02080.2	hap2	HPRC	KHV	EA	KHV	#0099FF	EAS	EAS	Hsa 			10.776667	106.681667	#4DAF4A	#5BB559	female	
HG02080	HG02080.1	hap1	HPRC	KHV	EA	KHV	#0099FF	EAS	EAS	Hsa 			10.776667	106.681667	#4DAF4A	#5BB559	female	
HG02109	HG02109.1	hap1	HPRC	ACB	AFR	ACB	#FF6600	AFR	AFR	Hsa 			13.1	-59.61667	#984EA3	#E3CFE6	female	
HG02109	HG02109.2	hap2	HPRC	ACB	AFR	ACB	#FF6600	AFR	AFR	Hsa 			13.1	-59.61667	#984EA3	#E3CFE6	female	
HG02145	HG02145.1	hap1	HPRC	ACB	AFR	ACB	#FF6600	AFR	AFR	Hsa 			13.1	-59.61667	#984EA3	#F1E7F2	male	
HG02145	HG02145.2	hap2	HPRC	ACB	AFR	ACB	#FF6600	AFR	AFR	Hsa 			13.1	-59.61667	#984EA3	#F1E7F2	male	
HG02148	HG02148.1	hap1	HPRC	PEL	AMR	PEL	#660099	AMR	AMR	Hsa 			-12.041667	-77.028333	#E41A1C	#B61416	female	
HG02148	HG02148.2	hap2	HPRC	PEL	AMR	PEL	#660099	AMR	AMR	Hsa 			-12.041667	-77.028333	#E41A1C	#B61416	female	
HG02257	HG02257.1	hap1	HPRC	ACB	AFR	ACB	#FF6600	AFR	AFR	Hsa 			13.1	-59.61667	#984EA3	#F1E7F2	female	
HG02257	HG02257.2	hap2	HPRC	ACB	AFR	ACB	#FF6600	AFR	AFR	Hsa 			13.1	-59.61667	#984EA3	#F1E7F2	female	
HG02486	HG02486.1	hap1	HPRC	ACB	AFR	ACB	#FF6600	AFR	AFR	Hsa 			13.1	-59.61667	#984EA3	#E3CFE6	male	
HG02486	HG02486.2	hap2	HPRC	ACB	AFR	ACB	#FF6600	AFR	AFR	Hsa 			13.1	-59.61667	#984EA3	#E3CFE6	male	
HG02559	HG02559.1	hap1	HPRC	ACB	AFR	ACB	#FF6600	AFR	AFR	Hsa 			13.1	-59.61667	#984EA3	#E3CFE6	female	
HG02559	HG02559.2	hap2	HPRC	ACB	AFR	ACB	#FF6600	AFR	AFR	Hsa 			13.1	-59.61667	#984EA3	#E3CFE6	female	
HG02572	HG02572.1	hap1	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	male	
HG02572	HG02572.2	hap2	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	male	
HG02622	HG02622.1	hap1	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	female	
HG02622	HG02622.2	hap2	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	female	
