Sample	id	type	dataset	p1	p2	HPRC_meta.Population	HPRC_PANPAN.color	hgdp_tgp_meta.Genetic.region	hgdp_tgp_meta.Study.region	SpeciesCode	Cell	Birth	hgdp_tgp_meta.Latitude	hgdp_tgp_meta.Longitude	hgdp_tgp_meta.Continent.colors	hgdp_tgp_meta.Pop.colors	project_meta.sex	observations
PR01010	PR01010.hap2	hap2	PANPAN	Eastern chimpanzee	AFR	Eastern chimpanzee	#ffb35a	AFR	Pan troglodytes schweinfurthii	Pts	Fibroblast	captive	3	30	#ffb35a	#ffb35a	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG05253_1	AG05253_1.hap1	hap1	PANPAN	Bonobo	AFR	Bonobo	#e9d7cb	AFR	Pan paniscus	Ppan	Fibroblast	unknown	-2.36	21.55	#e9d7cb	#e9d7cb	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG05253_1	AG05253_1.hap2	hap2	PANPAN	Bonobo	AFR	Bonobo	#e9d7cb	AFR	Pan paniscus	Ppan	Fibroblast	unknown	-2.36	21.55	#e9d7cb	#e9d7cb	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18357_3	AG18357_3.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18357_3	AG18357_3.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18358_4	AG18358_4.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18358_4	AG18358_4.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18354_5	AG18354_5.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	male	this is mPanTro3
AG18354_5	AG18354_5.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	male	this is mPanTro3
mPanTro3	mPanTro3.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	male	this is AG18354_5
mPanTro3	mPanTro3.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	male	this is AG18354_5
AG18356_6	AG18356_6.hap1	hap1	PANPAN	Western x Central hybrid	AFR	Western x Central hybrid	#bbc671	AFR	Pan troglodytes verus	Ptv x Ptt	LCL	unknown	-0.232861	12.888962	#bbc671	#bbc671	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18356_6	AG18356_6.hap2	hap2	PANPAN	Western x Central hybrid	AFR	Western x Central hybrid	#bbc671	AFR	Pan troglodytes verus	Ptv x Ptt	LCL	unknown	-0.232861	12.888962	#bbc671	#bbc671	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18359_7	AG18359_7.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18359_7	AG18359_7.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18355_8	AG18355_8.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18355_8	AG18355_8.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18353_9	AG18353_9.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18353_9	AG18353_9.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18361_10	AG18361_10.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18361_10	AG18361_10.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18360_11	AG18360_11.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG18360_11	AG18360_11.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	unknown	6	-9	#9dced9	#9dced9	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG16618_12	AG16618_12.hap1	hap1	PANPAN	Western x Central hybrid	AFR	Western x Central hybrid	#bbc671	AFR	Pan troglodytes verus	Ptv x Ptt	LCL	unknown	-0.232861	12.888962	#bbc671	#bbc671	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG16618_12	AG16618_12.hap2	hap2	PANPAN	Western x Central hybrid	AFR	Western x Central hybrid	#bbc671	AFR	Pan troglodytes verus	Ptv x Ptt	LCL	unknown	-0.232861	12.888962	#bbc671	#bbc671	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG06939_13	AG06939_13.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	Fibroblast	unknown	6	-9	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
AG06939_13	AG06939_13.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	Fibroblast	unknown	6	-9	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
