genomeName		Species	ShortName	SpeciesCode	CommonName		Latitude_approx	Longitude_approx	colors	Subspecies	Origin1	OriginCountry	OriginCountry2	Sex	Birth	Phase
SAMN01920517_elliotiAkwaya-Jean_Cameroon		Pan troglodytes ellioti	Akwaya_Jean	Pte	Nigeria-Camerron chimpanzee		4.79855	9.2901	#fe604c	Pan_troglodytes_ellioti	Western Cameroon	Cameroon	Western Cameroon	M	wild	1
SAMN01920518_ellioti_Banyo_Cameroon		Pan troglodytes ellioti	Banyo	Pte	Nigeria-Camerron chimpanzee		6.4109	10.4424	#fe604c	Pan_troglodytes_ellioti	Western Cameroon	Cameroon	Western Cameroon	F	wild	1
SAMN01920519_ellioti_Basho_Cameroon		Pan troglodytes ellioti	Basho	Pte	Nigeria-Camerron chimpanzee		5.508405	10.144	#fe604c	Pan_troglodytes_ellioti	Western Cameroon	Cameroon	Western Cameroon	M	wild	1
SAMN01920520_ellioti_Damian_Cameroon		Pan troglodytes ellioti	Damian	Pte	Nigeria-Camerron chimpanzee		6.387525	10.6643	#fe604c	Pan_troglodytes_ellioti	Western Cameroon	Cameroon	Western Cameroon	M	wild	1
SAMN01920521_ellioti_JulieLWC21_Cameroon		Pan troglodytes ellioti	Julie	Pte	Nigeria-Camerron chimpanzee		6.78872	11.53365	#fe604c	Pan_troglodytes_ellioti	Western Cameroon	Cameroon	Western Cameroon	F	wild	1
SAMN01920522_ellioti_Kopongo_Cameroon		Pan troglodytes ellioti	Kopongo	Pte	Nigeria-Camerron chimpanzee		5.784825	10.3854	#fe604c	Pan_troglodytes_ellioti	Western Cameroon	Cameroon	Western Cameroon	F	wild	1
SAMN01920523_ellioti_Koto_Cameroon		Pan troglodytes ellioti	Koto	Pte	Nigeria-Camerron chimpanzee		4.15989	9.14837	#fe604c	Pan_troglodytes_ellioti	Western Cameroon	Cameroon	Western Cameroon	M	wild	1
SAMN01920524_ellioti_Paquita_Cameroon		Pan troglodytes ellioti	Paquita	Pte	Nigeria-Camerron chimpanzee		5.240895	10.1503	#fe604c	Pan_troglodytes_ellioti	Western Cameroon	Cameroon	Western Cameroon	F	wild	1
SAMN01920525_ellioti_Taweh_Cameroon		Pan troglodytes ellioti	Taweh	Pte	Nigeria-Camerron chimpanzee		6.637165	10.9659	#fe604c	Pan_troglodytes_ellioti	Western Cameroon	Cameroon	Western Cameroon	F	wild	1
SAMN01920526_ellioti_Tobi_Cameroon		Pan troglodytes ellioti	Tobi	Pte	Nigeria-Camerron chimpanzee		5.767895	10.37835	#fe604c	Pan_troglodytes_ellioti	Western Cameroon	Cameroon	Western Cameroon	F	wild	1
SAMN01920527_schweinfurthii_Vincent_Tanzania		Pan troglodytes schweinfurthii	100037_Vincent	Pts	Eastern chimpanzee		-5	30	#ffb35a	Pan_troglodytes_schweinfurthii	Tanzania-Gombe	Tanzania	Tanzania-Gombe National Park	M	wild	1
SAMN01920528_schweinfurthii_Andromeda_Tanzania		Pan troglodytes schweinfurthii	100040_Andromeda	Pts	Eastern chimpanzee		-5	30	#ffb35a	Pan_troglodytes_schweinfurthii	Tanzania-Gombe	Tanzania	Tanzania-Gombe National Park	F	wild	1
SAMN01920529_schweinfurthii_Harriet_Uganda		Pan troglodytes schweinfurthii	9729_Harriet	Pts	Eastern chimpanzee		3	32	#ffb35a	Pan_troglodytes_schweinfurthii	Western Uganda	Uganda	Uganda-West	F	wild	1
SAMN01920530_schweinfurthii_Bwambale_Uganda		Pan troglodytes schweinfurthii	A910_Bwambale	Pts	Eastern chimpanzee		0	30	#ffb35a	Pan_troglodytes_schweinfurthii	"Uganda, from Busamba, Bundibujo District in western Uganda."	Uganda	Uganda-West	M	wild	1
SAMN01920531_schweinfurthii_Kidongo_DemocraticRepublicCongo		Pan troglodytes schweinfurthii	A911_Kidongo	Pts	Eastern chimpanzee		0	20	#ffb35a	Pan_troglodytes_schweinfurthii	DRC	DRC	DRC	F	wild	1
SAMN01920532_schweinfurthii_Nakuu_DemocraticRepublicCongo		Pan troglodytes schweinfurthii	A912_Nakuu	Pts	Eastern chimpanzee		0	26	#ffb35a	Pan_troglodytes_schweinfurthii	DRC	DRC	DRC	F	wild	1
SAMEA4374787_schweinfurthii_Padda_DemocraticRepublicCongo		Pan troglodytes schweinfurthii	B002_Padda	Pts	Eastern chimpanzee		-10	25	#ffb35a	Pan_troglodytes_schweinfurthii	DRC-Walikali	DRC	DRC-Central	M	wild	2
SAMEA4374788_schweinfurthii_Cindy_Uganda		Pan troglodytes schweinfurthii	B007_Cindy	Pts	Eastern chimpanzee		-1	28	#ffb35a	Pan_troglodytes_schweinfurthii	Uganda (Budongo central/westernmost)	Uganda	Uganda-West	F	wild	2
SAMEA4374789_schweinfurthii_Ikuru_DemocraticRepublicCongo		Pan troglodytes schweinfurthii	B010_Ikuru	Pts	Eastern chimpanzee		2	32	#ffb35a	Pan_troglodytes_schweinfurthii	DRC	DRC	DRC	F	wild	2
SAMEA4374790_schweinfurthii_Tongo_DemocraticRepublicCongo		Pan troglodytes schweinfurthii	N013_Tongo	Pts	Eastern chimpanzee		3	31	#ffb35a	Pan_troglodytes_schweinfurthii	Virunga NP in DRC just on the other side of the border (perhaps same population as Bwambale from phaseI-check coridors)	Rwanda	Rwanda	M	wild	2
SAMEA4374791_schweinfurthii_Cleo_DemocraticRepublicCongo		Pan troglodytes schweinfurthii	N015_Cleo	Pts	Eastern chimpanzee		-1.2	29.3	#ffb35a	Pan_troglodytes_schweinfurthii	Zambia	Zambia	Zambia	F	wild	2
