sample	pop	mean_pi	std_pi	stderr_pi	n_sites
NA20342	nonAFR	0.0224244	0.148059	1.29619e-05	130475909
NA20346	nonAFR	0.0229066	0.149606	1.30973e-05	130475909
NA20348	nonAFR	0.0229458	0.149731	1.31083e-05	130475909
NA20351	nonAFR	0.0228389	0.14939	1.30784e-05	130475909
NA20355	nonAFR	0.0237327	0.152215	1.33258e-05	130475909
NA20356	nonAFR	0.0230931	0.150199	1.31493e-05	130475909
NA20357	nonAFR	0.0239272	0.152822	1.33789e-05	130475909
NA20359	nonAFR	0.023158	0.150405	1.31673e-05	130475909
NA20362	nonAFR	0.0226892	0.148911	1.30365e-05	130475909
NA20412	nonAFR	0.0235796	0.151735	1.32838e-05	130475909
HG01350	nonAFR	0.0177109	0.131899	1.15472e-05	130475909
HG01351	nonAFR	0.0178148	0.132278	1.15804e-05	130475909
HG01889	nonAFR	0.0238826	0.152683	1.33668e-05	130475909
HG01890	nonAFR	0.0229374	0.149704	1.31059e-05	130475909
HG01917	nonAFR	0.0155653	0.123786	1.0837e-05	130475909
HG01918	nonAFR	0.0162399	0.126397	1.10655e-05	130475909
HG02259	nonAFR	0.0144776	0.119449	1.04572e-05	130475909
HG02260	nonAFR	0.0159291	0.125201	1.09608e-05	130475909
HG02449	nonAFR	0.0228964	0.149573	1.30945e-05	130475909
NA19722	nonAFR	0.0184029	0.134403	1.17664e-05	130475909
NA19723	nonAFR	0.0179021	0.132596	1.16082e-05	130475909
NA19779	nonAFR	0.0185988	0.135103	1.18277e-05	130475909
NA19780	nonAFR	0.0175088	0.131157	1.14823e-05	130475909
NA19818	nonAFR	0.0224399	0.148109	1.29663e-05	130475909
NA19819	nonAFR	0.0233989	0.151167	1.3234e-05	130475909
NA19917	nonAFR	0.0238529	0.152591	1.33587e-05	130475909
HGDP00947	nonAFR	0.0164576	0.127227	1.11382e-05	130475909
HGDP00948	nonAFR	0.0163608	0.126858	1.11059e-05	130475909
HGDP00950	nonAFR	0.0164416	0.127167	1.11329e-05	130475909
HGDP00953	nonAFR	0.0175474	0.131299	1.14947e-05	130475909
HGDP00954	nonAFR	0.0156877	0.124264	1.08788e-05	130475909
HGDP00955	nonAFR	0.0165168	0.127452	1.11579e-05	130475909
HGDP00957	nonAFR	0.0169166	0.128959	1.12898e-05	130475909
HGDP00958	nonAFR	0.0164806	0.127314	1.11458e-05	130475909
HGDP00961	nonAFR	0.0164625	0.127246	1.11398e-05	130475909
HGDP00962	nonAFR	0.0163382	0.126772	1.10984e-05	130475909
HGDP00964	nonAFR	0.0164067	0.127033	1.11212e-05	130475909
HGDP00965	nonAFR	0.015954	0.125298	1.09693e-05	130475909
HGDP00966	nonAFR	0.0170127	0.129318	1.13213e-05	130475909
HGDP00967	nonAFR	0.016683	0.128081	1.12129e-05	130475909
HGDP00968	nonAFR	0.016559	0.127612	1.11719e-05	130475909
HGDP00969	nonAFR	0.0168301	0.128635	1.12614e-05	130475909
HGDP01225	nonAFR	0.0165915	0.127735	1.11826e-05	130475909
HGDP01232	nonAFR	0.0171029	0.129655	1.13507e-05	130475909
LP6005443-DNA_D02	nonAFR	0.0161501	0.126052	1.10354e-05	130475909
HGDP01226	nonAFR	0.0165533	0.12759	1.117e-05	130475909
HGDP00711	nonAFR	0.0165542	0.127594	1.11703e-05	130475909
HGDP00712	nonAFR	0.0166403	0.12792	1.11988e-05	130475909
HGDP00721	nonAFR	0.0169343	0.129025	1.12956e-05	130475909
HGDP00747	nonAFR	0.0162002	0.126245	1.10522e-05	130475909
HGDP00748	nonAFR	0.0161284	0.125969	1.10281e-05	130475909
HGDP00750	nonAFR	0.0160751	0.125764	1.10101e-05	130475909
HGDP00754	nonAFR	0.0167753	0.128429	1.12434e-05	130475909
HGDP00755	nonAFR	0.0159457	0.125265	1.09664e-05	130475909
HGDP00756	nonAFR	0.016603	0.127779	1.11865e-05	130475909
HGDP00758	nonAFR	0.0161037	0.125874	1.10198e-05	130475909
HGDP00762	nonAFR	0.0161385	0.126008	1.10315e-05	130475909
HGDP00765	nonAFR	0.0159466	0.125269	1.09668e-05	130475909
HGDP00767	nonAFR	0.0159984	0.125469	1.09843e-05	130475909
HGDP00771	nonAFR	0.0164261	0.127107	1.11277e-05	130475909
HGDP00772	nonAFR	0.01607	0.125745	1.10084e-05	130475909
HGDP00774	nonAFR	0.0159137	0.125142	1.09556e-05	130475909
