sample	pop	mean_pi	std_pi	stderr_pi	n_sites
NA19676	nonAFR	0.0179302	0.132698	1.16171e-05	130475909
NA19679	nonAFR	0.0164489	0.127194	1.11353e-05	130475909
NA19703	nonAFR	0.0228447	0.149408	1.308e-05	130475909
NA19704	nonAFR	0.0239501	0.152894	1.33852e-05	130475909
NA19707	nonAFR	0.0234516	0.151333	1.32485e-05	130475909
NA19711	nonAFR	0.0231133	0.150263	1.31549e-05	130475909
NA19712	nonAFR	0.0235637	0.151685	1.32794e-05	130475909
NA19716	nonAFR	0.0180782	0.133234	1.16641e-05	130475909
NA19719	nonAFR	0.018721	0.135538	1.18658e-05	130475909
NA19720	nonAFR	0.0174615	0.130983	1.1467e-05	130475909
NA19725	nonAFR	0.0183905	0.134359	1.17625e-05	130475909
NA19726	nonAFR	0.0170562	0.129481	1.13355e-05	130475909
NA19728	nonAFR	0.0150785	0.121865	1.06688e-05	130475909
NA19729	nonAFR	0.0153356	0.122884	1.07579e-05	130475909
NA19732	nonAFR	0.0142837	0.118658	1.0388e-05	130475909
NA19734	nonAFR	0.0172656	0.130259	1.14036e-05	130475909
NA19735	nonAFR	0.0157754	0.124606	1.09087e-05	130475909
NA19755	nonAFR	0.0175019	0.131132	1.148e-05	130475909
NA19759	nonAFR	0.0164417	0.127167	1.11329e-05	130475909
NA19761	nonAFR	0.0180047	0.132968	1.16408e-05	130475909
NA19762	nonAFR	0.0177868	0.132176	1.15714e-05	130475909
NA19764	nonAFR	0.0186026	0.135117	1.18289e-05	130475909
NA19770	nonAFR	0.018563	0.134976	1.18165e-05	130475909
NA19771	nonAFR	0.0175069	0.13115	1.14816e-05	130475909
NA19773	nonAFR	0.0185903	0.135073	1.18251e-05	130475909
NA19774	nonAFR	0.0177	0.131859	1.15437e-05	130475909
NA19776	nonAFR	0.0189604	0.136385	1.19399e-05	130475909
NA19777	nonAFR	0.0183158	0.134091	1.17391e-05	130475909
NA19783	nonAFR	0.0164148	0.127064	1.11239e-05	130475909
NA19788	nonAFR	0.017922	0.132668	1.16145e-05	130475909
NA19789	nonAFR	0.0181559	0.133515	1.16887e-05	130475909
NA19792	nonAFR	0.0180586	0.133163	1.16579e-05	130475909
NA19794	nonAFR	0.018074	0.133219	1.16628e-05	130475909
NA19795	nonAFR	0.0180555	0.133152	1.16569e-05	130475909
NA19834	nonAFR	0.0228494	0.149423	1.30814e-05	130475909
NA19835	nonAFR	0.0237995	0.152424	1.33441e-05	130475909
NA19900	nonAFR	0.0228451	0.149409	1.30802e-05	130475909
NA19901	nonAFR	0.0237634	0.152311	1.33342e-05	130475909
NA19904	nonAFR	0.0228047	0.149281	1.30689e-05	130475909
NA19908	nonAFR	0.0228342	0.149375	1.30771e-05	130475909
NA19909	nonAFR	0.0235376	0.151603	1.32722e-05	130475909
NA19913	nonAFR	0.0236381	0.151919	1.32999e-05	130475909
NA19914	nonAFR	0.0232541	0.150709	1.3194e-05	130475909
NA19920	nonAFR	0.0229252	0.149665	1.31025e-05	130475909
NA19921	nonAFR	0.0232475	0.150689	1.31921e-05	130475909
NA19922	nonAFR	0.0226157	0.148675	1.30159e-05	130475909
NA19923	nonAFR	0.0229709	0.149811	1.31153e-05	130475909
NA19982	nonAFR	0.0229213	0.149653	1.31014e-05	130475909
NA19984	nonAFR	0.0229588	0.149772	1.31119e-05	130475909
NA20126	nonAFR	0.0227922	0.149241	1.30654e-05	130475909
NA20127	nonAFR	0.0237535	0.15228	1.33315e-05	130475909
NA20274	nonAFR	0.022065	0.146895	1.286e-05	130475909
NA20278	nonAFR	0.023026	0.149986	1.31306e-05	130475909
NA20281	nonAFR	0.0229295	0.149679	1.31037e-05	130475909
NA20282	nonAFR	0.023582	0.151743	1.32844e-05	130475909
NA20287	nonAFR	0.0235809	0.151739	1.32841e-05	130475909
NA20291	nonAFR	0.0231159	0.150272	1.31556e-05	130475909
NA20294	nonAFR	0.0238718	0.15265	1.33638e-05	130475909
NA20296	nonAFR	0.0236825	0.152058	1.3312e-05	130475909
NA20298	nonAFR	0.0230423	0.150038	1.31352e-05	130475909
NA20317	nonAFR	0.0233643	0.151058	1.32245e-05	130475909
NA20318	nonAFR	0.022828	0.149355	1.30754e-05	130475909
NA20320	nonAFR	0.0238647	0.152627	1.33619e-05	130475909
NA20321	nonAFR	0.0233938	0.151151	1.32326e-05	130475909
NA20332	nonAFR	0.0237029	0.152122	1.33176e-05	130475909
