genomeName	Species_mtDNA	SpeciesCode	CommonName	Assembly	Assembly2	NewName	Birth	cell	type	type2	type3	Latitude_approx	Longitude_approx	id	colors	sex
PR00115	Pan troglodytes troglodytes	Ptt	Central	hifiasm	hifiasm	PR00115 (Central chimpanzee)	captive	Fibroblast	hap1	hap1 (PacBio HiFi)	long-read 	2.23	18.15	PR00115.hap1	#bbc673	male
PR00115	Pan troglodytes troglodytes	Ptt 	Central	hifiasm	hifiasm	PR00115 (Central chimpanzee)	captive	Fibroblast	hap2	hap2 (PacBio HiFi)	long-read 	2.23	18.15	PR00115.hap2	#bbc674	male
PR00512	Pan troglodytes verus	Ptv	Western	hifiasm	hifiasm	PR00512 (Western chimpanzee)	wild	Fibroblast	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	PR00512.hap1	#9dced9	female
PR00512	Pan troglodytes verus	Ptv	Western	hifiasm	hifiasm	PR00512 (Western chimpanzee)	wild	Fibroblast	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	PR00512.hap2	#9dced9	female
PR00834	Pan troglodytes troglodytes	Ptv x Ptt hybrid	Western x Central hybrid	hifiasm_hic	hifiasm_hic	PR00834 (Western x Central chimpanzee hybrid)	captive	LCL	hap1	hap1 (PacBio HiFi)	long-read 	-0.232861	12.888962	PR00834.hap1	#4c5d4c	female
PR00834	Pan troglodytes troglodytes	Ptv x Ptt hybrid	Western x Central hybrid	hifiasm_hic	hifiasm_hic	PR00834 (Western x Central chimpanzee hybrid)	captive	LCL	hap2	hap2 (PacBio HiFi)	long-read 	-0.232861	12.888962	PR00834.hap2	#4c5d4c	female
PR00838	Pan troglodytes troglodytes	Ptv x Ptt hybrid	Western x Central hybrid	hifiasm	hifiasm	PR00838 (Western x Central chimpanzee hybrid)	captive	LCL	hap1	hap1 (PacBio HiFi)	long-read 	-0.232861	12.888962	PR00838.hap1	#4c5d4c	female
PR00838	Pan troglodytes troglodytes	Ptv x Ptt hybrid	Western x Central hybrid	hifiasm	hifiasm	PR00838 (Western x Central chimpanzee hybrid)	captive	LCL	hap2	hap2 (PacBio HiFi)	long-read 	-0.232861	12.888962	PR00838.hap2	#4c5d4c	female
PR01100	Pan troglodytes verus	Ptv	Western	hifiasm	hifiasm	PR01100 (Western chimpanzee)	captive	LCL	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	PR01100.hap1	#9dced9	male
PR01100	Pan troglodytes verus	Ptv	Western	hifiasm	hifiasm	PR01100 (Western chimpanzee)	captive	LCL	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	PR01100.hap2	#9dced9	male
PR01223	Pan troglodytes verus	Ptv	Western	hifiasm	hifiasm	PR01223 (Western chimpanzee)	wild	LCL	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	PR01223.hap1	#9dced9	male
PR01223	Pan troglodytes verus	Ptv	Western	hifiasm	hifiasm	PR01223 (Western chimpanzee)	wild	LCL	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	PR01223.hap2	#9dced9	male
PR01225	Pan troglodytes verus	Ptv	Western	hifiasm	hifiasm	PR01225 (Western chimpanzee)	wild	LCL	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	PR01225.hap1	#9dced9	male
PR01225	Pan troglodytes verus	Ptv	Western	hifiasm	hifiasm	PR01225 (Western chimpanzee)	wild	LCL	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	PR01225.hap2	#9dced9	male
PR01227	Pan troglodytes verus	Ptv	Western	hifiasm_hic	verkko	PR01227 (Western chimpanzee)	wild	LCL	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	PR01227.hap1	#9dced9	male
PR01227	Pan troglodytes verus	Ptv	Western	hifiasm_hic	verkko	PR01227 (Western chimpanzee)	wild	LCL	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	PR01227.hap2	#9dced9	male
PR01228	Pan troglodytes verus	Ptv	Western	hifiasm	hifiasm	PR01228 (Western chimpanzee)	wild	LCL	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	PR01228.hap1	#9dced9	male
PR01228	Pan troglodytes verus	Ptv	Western	hifiasm	hifiasm	PR01228 (Western chimpanzee)	wild	LCL	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	PR01228.hap2	#9dced9	male
PR01008	Pan troglodytes schweinfurthii	Pts	Eastern	hifiasm_hic	verkko	PR01008 (Eastern chimpanzee)	wild	Fibroblast	hap1	hap1 (PacBio HiFi)	long-read 	0	20	PR01008.hap1	#ffb35a	female
PR01008	Pan troglodytes schweinfurthii	Pts	Eastern	hifiasm_hic	verkko	PR01008 (Eastern chimpanzee)	wild	Fibroblast	hap2	hap2 (PacBio HiFi)	long-read 	0	20	PR01008.hap2	#ffb35a	female
PR01009	Pan troglodytes schweinfurthii	Pts	Eastern	hifiasm	hifiasm	PR01009 (Eastern chimpanzee)	wild	Fibroblast	hap1	hap1 (PacBio HiFi)	long-read 	0	20	PR01009.hap1	#ffb35a	male
