genomeName	Species_mtDNA	SpeciesCode	CommonName	Assembly	Assembly2	NewName	Birth	cell	type	type2	type3	Latitude_approx	Longitude_approx	id	colors	sex
SAMEA4374777_troglodytes_Mirinda	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		11352_Mirinda		diploid	diploid (Illumina short-read)	short-read			SAMEA4374777_troglodytes_Mirinda	#4c5d4c	
SAMEA4374778_troglodytes_Ula_EquatorialGuinea	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		12311_Ula		diploid	diploid (Illumina short-read)	short-read			SAMEA4374778_troglodytes_Ula_EquatorialGuinea	#4c5d4c	
SAMEA4374779_troglodytes_Lara_EquatorialGuinea	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		12320_Lara		diploid	diploid (Illumina short-read)	short-read	1.5	10.5	SAMEA4374779_troglodytes_Lara_EquatorialGuinea	#4c5d4c	
SAMEA4374780_troglodytes_Luky_EquatorialGuinea	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		12348_Luky		diploid	diploid (Illumina short-read)	short-read	1.5	10.5	SAMEA4374780_troglodytes_Luky_EquatorialGuinea	#4c5d4c	
SAMEA4374781_troglodytes_Gamin	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		12420_Gamin		diploid	diploid (Illumina short-read)	short-read	1.5	10.5	SAMEA4374781_troglodytes_Gamin	#4c5d4c	
SAMEA4374782_troglodytes_Brigitta	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		13656_Brigitta		diploid	diploid (Illumina short-read)	short-read	NA	NA	SAMEA4374782_troglodytes_Brigitta	#4c5d4c	
SAMEA4374785_troglodytes_Alfred	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		11528_Alfred		diploid	diploid (Illumina short-read)	short-read	NA	NA	SAMEA4374785_troglodytes_Alfred	#4c5d4c	
SAMEA4374799_schweinfurthii_DemocraticRepublicCongo	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		Mgbadolite		diploid	diploid (Illumina short-read)	short-read	NA	NA	SAMEA4374799_schweinfurthii_DemocraticRepublicCongo	#bbc671	
SAMN01920504_LB502_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		LB502		diploid	diploid (Illumina short-read)	short-read			SAMN01920504_LB502_paniscus	#e9d7cb	
SAMN01920505_Hortense_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Hortense		diploid	diploid (Illumina short-read)	short-read			SAMN01920505_Hortense_paniscus	#e9d7cb	
SAMN01920506_Kosana_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Kosana		diploid	diploid (Illumina short-read)	short-read			SAMN01920506_Kosana_paniscus	#e9d7cb	
SAMN01920507_Dzeeta_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Dzeeta		diploid	diploid (Illumina short-read)	short-read			SAMN01920507_Dzeeta_paniscus	#e9d7cb	
SAMN01920508_Hermien_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Hermien		diploid	diploid (Illumina short-read)	short-read			SAMN01920508_Hermien_paniscus	#e9d7cb	
SAMN01920509_Desmond_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Desmond		diploid	diploid (Illumina short-read)	short-read			SAMN01920509_Desmond_paniscus	#e9d7cb	
SAMN01920510_Catherine_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Catherine		diploid	diploid (Illumina short-read)	short-read			SAMN01920510_Catherine_paniscus	#e9d7cb	
SAMN01920511_Kombote_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Kombote		diploid	diploid (Illumina short-read)	short-read			SAMN01920511_Kombote_paniscus	#e9d7cb	
SAMN01920512_Chipita_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Chipita		diploid	diploid (Illumina short-read)	short-read			SAMN01920512_Chipita_paniscus	#e9d7cb	
SAMN01920513_Bono_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Bono		diploid	diploid (Illumina short-read)	short-read			SAMN01920513_Bono_paniscus	#e9d7cb	
SAMN01920514_Natalie_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Natalie		diploid	diploid (Illumina short-read)	short-read			SAMN01920514_Natalie_paniscus	#e9d7cb	
SAMN01920515_Salonga_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Salonga		diploid	diploid (Illumina short-read)	short-read			SAMN01920515_Salonga_paniscus	#e9d7cb	
SAMN01920516_paniscus_Kumbuka	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Kumbuka		diploid	diploid (Illumina short-read)	short-read			SAMN01920516_paniscus_Kumbuka	#e9d7cb	
