name,human,chimpanzee,bonobo,description
ADGRV1,4,4,3,adhesion G protein-coupled receptor V1
ADHFE1,4,4,3,alcohol dehydrogenase iron containing 1
AGAP3,4,4,3,ArfGAP with GTPase domain%2C ankyrin repeat and PH domain 3
AGMO,4,4,3,alkylglycerol monooxygenase
AHI1,4,4,3,Abelson helper integration site 1
AIM2,4,4,3,absent in melanoma 2
ALDH3A2,4,4,3,aldehyde dehydrogenase 3 family member A2
AMPD3,4,4,3,adenosine monophosphate deaminase 3
AMZ2,4,4,3,archaelysin family metallopeptidase 2
ANKK1,4,4,3,ankyrin repeat and kinase domain containing 1
ANKRD20A1,4,4,3,ankyrin repeat domain 20 family member A1
ANKRD26,4,4,3,ankyrin repeat domain containing 26
ANKRD62,4,4,3,ankyrin repeat domain 62
APOC4,4,4,3,apolipoprotein C4
ARHGEF28,4,4,3,Rho guanine nucleotide exchange factor 28
ARMCX6,4,4,3,armadillo repeat containing X-linked 6
ARMH2,4,4,3,armadillo like helical domain containing 2
ATP12A,4,4,3,ATPase H+/K+ transporting non-gastric alpha2 subunit
ATP13A5,4,4,3,ATPase 13A5
ATP8B3,4,4,3,ATPase phospholipid transporting 8B3
ATP8B4,4,4,3,ATPase phospholipid transporting 8B4 (putative)
BEND7,4,4,3,BEN domain containing 7
BPHL,4,4,3,biphenyl hydrolase like
CABLES1,4,4,3,Cdk5 and Abl enzyme substrate 1
CACNA1I,4,4,3,calcium voltage-gated channel subunit alpha1 I
CAPN15,4,4,3,calpain 15
CASP10,4,4,3,caspase 10
CATSPER1,4,4,3,cation channel sperm associated 1
CCDC125,4,4,3,coiled-coil domain containing 125
CCDC15,4,4,3,coiled-coil domain containing 15
CCDC169,4,4,3,coiled-coil domain containing 169
CCDC198,4,4,3,coiled-coil domain containing 198
CCDC30,4,4,3,coiled-coil domain containing 30
CCDC32,4,4,3,coiled-coil domain containing 32
CCDC33,4,4,3,coiled-coil domain containing 33
CCSER1,4,4,3,coiled-coil serine rich protein 1
CD276,4,4,3,CD276 molecule
CDH2,4,4,3,cadherin 2
