gene	description	Western	Western x Central	Central	Eastern
RAB12	RAB12, member RAS oncogene family	3	3	3	1
PTPRM	protein tyrosine phosphatase receptor type M	3	3	2	2
LOC107969438	uncharacterized LOC107969438	1	1	2	1
LOC112206321	small nucleolar RNA U3	1	1	1	1
LOC134808584	uncharacterized LOC134808584	1	4	1	1
LOC129137876	uncharacterized LOC129137876	1	1	1	1
LOC112206300	small nucleolar RNA SNORA48	1	1	1	1
LRRC30	leucine rich repeat containing 30	3	3	3	2
LAMA1	laminin subunit alpha 1	3	3	3	4
LOC112206360	U6 spliceosomal RNA	1	1	1	1
LOC107969439	uncharacterized LOC107969439	1	1	1	1
ARHGAP28	Rho GTPase activating protein 28	3	3	3	3
LOC134808652	uncharacterized LOC134808652	1	2	2	2
LOC101059842	putative uncharacterized protein encoded by LINC01387	3	3	3	3
LOC112206351	U6 spliceosomal RNA	1	1	1	1
LOC129140238	28S ribosomal RNA	1	1	1	0
LOC107969441	uncharacterized LOC107969441	1	2	4	1
LOC129139205	5.8S ribosomal RNA	1	1	1	0
LOC129143016	18S ribosomal RNA	1	1	1	0
L3MBTL4	L3MBTL histone methyl-lysine binding protein 4	3	4	4	4
LOC134808696	uncharacterized LOC134808696	2	2	1	0
LOC112206330	U5 spliceosomal RNA	1	1	1	1
LOC112206267	uncharacterized LOC112206267	1	4	1	1
TMEM200C	transmembrane protein 200C	3	3	3	3
LOC134808670	uncharacterized LOC134808670	1	1	1	1
EPB41L3	erythrocyte membrane protein band 4.1 like 3	3	3	3	3
LOC134808653	uncharacterized LOC134808653	2	2	1	4
LOC134808698	uncharacterized LOC134808698	1	1	0	0
ZBTB14	zinc finger and BTB domain containing 14	2	2	1	2
LOC134808654	skin secretory protein xP2-like	3	3	3	2
AKAIN1	A-kinase anchor inhibitor 1	3	2	1	1
LOC129137840	uncharacterized LOC129137840	4	4	2	2
LOC134808699	uncharacterized LOC134808699	1	1	1	1
LOC134808655	uncharacterized LOC134808655	1	1	1	1
LOC107969445	uncharacterized LOC107969445	1	1	1	1
LOC104003088	uncharacterized LOC104003088	2	1	1	1
LOC104003086	uncharacterized LOC104003086	1	4	1	2
LOC112206344	U6 spliceosomal RNA	1	1	1	1
DLGAP1	DLG associated protein 1	3	3	2	2
LOC134808700	uncharacterized LOC134808700	1	1	4	1
LOC112206306	small nucleolar RNA U13	1	1	1	1
LOC100615703	uncharacterized LOC100615703	2	1	1	1
LOC112206311	small nucleolar RNA U13	1	1	1	1
LOC107969448	uncharacterized LOC107969448	1	2	1	2
LOC741407	uncharacterized LOC741407	1	1	1	1
TGIF1	TGFB induced factor homeobox 1	2	2	2	3
LOC112206240	uncharacterized LOC112206240	1	1	1	1
MYL12B	myosin light chain 12B	2	2	2	1
MYL12A	myosin light chain 12A	3	2	2	1
MYOM1	myomesin 1	3	3	3	3
LOC112206286	U7 small nuclear RNA	1	1	1	1
LOC134808702	protein VCF2-like	1	0	1	1
LOC112206294	small nucleolar RNA SNORA70	1	1	1	1
LPIN2	lipin 2	2	2	2	2
EMILIN2	elastin microfibril interfacer 2	3	3	4	3
SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1	3	3	3	3
LOC112206333	U6 spliceosomal RNA	1	1	1	1
NDC80	NDC80 kinetochore complex component	3	4	4	1
METTL4	methyltransferase 4, N6-adenosine	3	3	3	3
LOC112206317	small nucleolar RNA U109	1	1	1	1
LOC104003094	uncharacterized LOC104003094	1	1	1	1
LOC129137843	uncharacterized LOC129137843	4	4	4	2
ADCYAP1	adenylate cyclase activating polypeptide 1	2	3	3	1
LOC112206270	uncharacterized LOC112206270	1	4	1	1
LOC129137844	uncharacterized LOC129137844	4	2	2	2
LOC742418	bolA-like protein 2	1	3	3	1
YES1	YES proto-oncogene 1, Src family tyrosine kinase	3	2	3	2
ENOSF1	enolase superfamily member 1	3	3	2	1
TYMS	thymidylate synthetase	2	2	1	2
LOC107969451	uncharacterized LOC107969451	1	1	1	1
CLUL1	clusterin like 1	3	3	3	3
CETN1	centrin 1	3	3	1	3
COLEC12	collectin subfamily member 12	2	3	2	3
THOC1	THO complex subunit 1	2	2	3	2
USP14	ubiquitin specific peptidase 14	2	2	2	2
ROCK1	Rho associated coiled-coil containing protein kinase 1	2	2	1	2
LOC112206281	U6 spliceosomal RNA	1	1	1	1
LOC129137888	uncharacterized LOC129137888	2	1	1	1
GREB1L	GREB1 like retinoic acid receptor coactivator	3	3	3	3
LOC112206301	small nucleolar RNA SNORD23	1	1	1	1
ESCO1	establishment of sister chromatid cohesion N-acetyltransferase 1	3	1	1	1
SNRPD1	small nuclear ribonucleoprotein D1 polypeptide	1	1	1	1
ABHD3	abhydrolase domain containing 3, phospholipase	3	1	3	2
MIR320C-1	microRNA mir-320c-1	1	1	1	1
LOC129137890	uncharacterized LOC129137890	2	1	1	1
LOC112206319	small nucleolar RNA SNORA81	1	1	1	1
MIB1	MIB E3 ubiquitin protein ligase 1	3	3	3	2
LOC112206283	small nucleolar RNA SNORA73 family	1	1	1	1
LOC129137889	uncharacterized LOC129137889	1	1	1	1
MIR133A-1	microRNA mir-133a-1	1	1	1	1
MIR1-2	microRNA mir-1-2	1	1	1	1
LOC112206343	U6 spliceosomal RNA	1	1	1	1
LOC107969455	uncharacterized LOC107969455	1	2	1	2
LOC112206288	U7 small nuclear RNA	1	1	1	1
LOC112206302	U6atac minor spliceosomal RNA	1	1	1	1
GATA6	GATA binding protein 6	1	3	3	3
LOC112206342	U6 spliceosomal RNA	1	1	1	1
LOC112206304	small nucleolar RNA U13	1	1	1	1
CTAGE1	cutaneous T cell lymphoma-associated antigen 1	3	3	3	3
LOC112206346	U6 spliceosomal RNA	1	1	1	1
LOC134808587	uncharacterized LOC134808587	1	1	1	1
LOC112206315	small nucleolar RNA U13	1	1	1	0
RBBP8	RB binding protein 8, endonuclease	3	3	3	1
LOC129137836	uncharacterized LOC129137836	2	2	2	2
CABLES1	Cdk5 and Abl enzyme substrate 1	2	3	4	2
TMEM241	transmembrane protein 241	1	3	3	4
RIOK3	RIO kinase 3	3	3	3	1
RMC1	regulator of MON1-CCZ1	2	3	2	2
NPC1	NPC intracellular cholesterol transporter 1	3	3	3	2
ANKRD29	ankyrin repeat domain 29	3	2	1	1
LAMA3	laminin subunit alpha 3	3	4	3	3
LOC107969460	uncharacterized LOC107969460	2	1	1	1
LOC129137854	uncharacterized LOC129137854	1	2	2	2
TTC39C	tetratricopeptide repeat domain 39C	3	3	3	3
LOC112206329	U5 spliceosomal RNA	1	1	1	1
CABYR	calcium binding tyrosine phosphorylation regulated	2	3	3	3
OSBPL1A	oxysterol binding protein like 1A	3	3	3	2
LOC112206350	U6 spliceosomal RNA	1	1	1	1
MIR320C-2	microRNA mir-320c-2	1	1	1	1
IMPACT	impact RWD domain protein	3	3	1	1
HRH4	histamine receptor H4	3	3	1	1
LOC112206256	uncharacterized LOC112206256	1	2	1	1
LOC129137906	uncharacterized LOC129137906	1	1	1	1
LOC104003108	uncharacterized LOC104003108	2	2	2	2
LOC104003107	WW domain-binding protein 2-like	3	3	4	3
LOC134808588	uncharacterized LOC134808588	1	1	1	1
LOC129137821	uncharacterized LOC129137821	2	2	2	2
ZNF521	zinc finger protein 521	3	3	2	3
LOC104003111	uncharacterized LOC104003111	1	1	1	1
SS18	SS18 subunit of BAF chromatin remodeling complex	2	2	1	2
PSMA8	proteasome 20S subunit alpha 8	1	2	2	1
LOC134808589	uncharacterized LOC134808589	1	1	1	1
TAF4B	TATA-box binding protein associated factor 4b	3	2	3	3
LOC112206341	U6 spliceosomal RNA	1	1	1	1
LOC134808590	uncharacterized LOC134808590	1	1	1	1
KCTD1	potassium channel tetramerization domain containing 1	3	3	2	2
LOC129137878	glutamic acid-rich protein-like	3	3	3	3
LOC107969462	uncharacterized LOC107969462	1	1	1	1
LOC112206323	small nucleolar RNA U3	1	1	1	1
LOC134808671	uncharacterized LOC134808671	1	1	1	1
LOC100615379	ubiquitin recognition factor in ER-associated degradation protein 1-like	3	3	3	3
AQP4	aquaporin 4	3	3	1	3
LOC104003113	uncharacterized LOC104003113	1	1	2	2
CHST9	carbohydrate sulfotransferase 9	1	2	3	2
LOC107969463	uncharacterized LOC107969463	1	1	1	1
LOC134808592	uncharacterized LOC134808592	1	2	1	1
CDH2	cadherin 2	2	4	4	2
LOC134808593	uncharacterized LOC134808593	2	2	2	2
LOC134808594	uncharacterized LOC134808594	2	2	2	1
LOC129137839	uncharacterized LOC129137839	1	1	1	4
MIR302F	microRNA mir-302f	1	1	1	1
LOC112206361	U6 spliceosomal RNA	1	1	1	1
DSC3	desmocollin 3	3	3	3	3
DSC2	desmocollin 2	3	3	3	3
LOC104003117	uncharacterized LOC104003117	2	1	1	1
DSC1	desmocollin 1	3	3	3	2
DSG1	desmoglein 1	3	3	3	2
LOC107969464	uncharacterized LOC107969464	1	1	1	1
LOC112206353	U6 spliceosomal RNA	1	1	1	1
DSG4	desmoglein 4	3	3	3	3
DSG3	desmoglein 3	4	4	3	3
DSG2	desmoglein 2	3	3	3	3
LOC104003118	uncharacterized LOC104003118	4	1	1	1
TTR	transthyretin	3	3	3	3
B4GALT6	beta-1,4-galactosyltransferase 6	3	3	1	2
SLC25A52	solute carrier family 25 member 52	3	3	4	3
TRAPPC8	trafficking protein particle complex subunit 8	3	3	3	3
RNF125	ring finger protein 125	3	3	3	2
RNF138	ring finger protein 138	1	2	1	1
LOC112206305	small nucleolar RNA U13	1	1	1	1
MEP1B	meprin A subunit beta	3	3	3	3
GAREM1	GRB2 associated regulator of MAPK1 subtype 1	3	2	2	2
KLHL14	kelch like family member 14	3	3	2	3
LOC134808596	uncharacterized LOC134808596	1	1	1	2
LOC107969468	uncharacterized LOC107969468	1	1	1	1
CCDC178	coiled-coil domain containing 178	3	3	3	3
LOC107969469	uncharacterized LOC107969469	1	1	1	1
ASXL3	ASXL transcriptional regulator 3	3	3	2	3
NOL4	nucleolar protein 4	1	2	2	2
LOC134808639	uncharacterized LOC134808639	4	3	3	3
DTNA	dystrobrevin alpha	3	4	3	2
LOC104003122	uncharacterized LOC104003122	1	1	1	1
LOC112206242	uncharacterized LOC112206242	1	1	1	1
MAPRE2	microtubule associated protein RP/EB family member 2	3	2	2	2
ZNF397	zinc finger protein 397	2	3	2	2
ZSCAN30	zinc finger and SCAN domain containing 30	3	3	3	3
LOC468520	zinc finger protein 271	3	2	2	3
ZNF24	zinc finger protein 24	3	3	3	3
ZNF396	zinc finger protein 396	3	3	3	3
LOC129137833	uncharacterized LOC129137833	1	1	1	1
INO80C	INO80 complex subunit C	3	3	2	3
GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	2	2	1	2
LOC104003130	uncharacterized LOC104003130	1	1	1	1
LOC101057686	mitochondrial mRNA pseudouridine synthase RPUSD3-like	3	3	3	1
LOC107969399	uncharacterized LOC107969399	1	1	1	1
C18H18orf21	chromosome 18 C18orf21 homolog	1	2	2	2
LOC134808598	uncharacterized LOC134808598	1	1	1	1
LOC107969473	uncharacterized LOC107969473	1	4	4	4
RPRD1A	regulation of nuclear pre-mRNA domain containing 1A	3	2	2	2
LOC735805	eukaryotic translation initiation factor 1-like	3	3	3	3
SLC39A6	solute carrier family 39 member 6	1	3	1	2
ELP2	elongator acetyltransferase complex subunit 2	3	3	2	2
LOC100612147	uncharacterized LOC100612147	1	1	1	1
MOCOS	molybdenum cofactor sulfurase	3	3	3	3
LOC134808656	uncharacterized LOC134808656	1	1	1	1
FHOD3	formin homology 2 domain containing 3	3	3	2	3
TPGS2	tubulin polyglutamylase complex subunit 2	1	3	2	2
KIAA1328	KIAA1328	2	3	3	3
LOC134808657	uncharacterized LOC134808657	1	1	1	1
CELF4	CUGBP Elav-like family member 4	2	2	2	2
LOC134808672	uncharacterized LOC134808672	1	2	1	1
LOC107969478	uncharacterized LOC107969478	1	1	1	1
LOC112206345	U6 spliceosomal RNA	1	1	1	1
LOC104003133	uncharacterized LOC104003133	1	1	1	1
LOC129137943	large ribosomal subunit protein eL8-like	1	3	4	3
MIR924	microRNA mir-924	1	1	1	1
LOC107969481	uncharacterized LOC107969481	1	1	1	1
LOC112206356	U6 spliceosomal RNA	1	1	1	1
LOC104003134	uncharacterized LOC104003134	1	1	1	1
LOC129137841	uncharacterized LOC129137841	1	1	1	1
LOC134808673	uncharacterized LOC134808673	1	1	1	1
LOC112206289	U7 small nuclear RNA	1	1	1	1
LOC112206325	U4 spliceosomal RNA	1	1	1	1
LOC134808600	uncharacterized LOC134808600	4	2	2	2
LOC107969482	uncharacterized LOC107969482	1	1	1	1
PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3	2	3	3	2
LOC129137829	uncharacterized LOC129137829	1	1	1	1
LOC129139072	ankyrin repeat domain-containing protein SOWAHC-like	3	3	3	3
RIT2	Ras like without CAAX 2	1	1	2	1
SYT4	synaptotagmin 4	2	2	1	1
LOC112206355	U6 spliceosomal RNA	1	1	1	1
LOC134808601	uncharacterized LOC134808601	1	1	2	2
LOC107969401	uncharacterized LOC107969401	1	1	1	1
SETBP1	SET binding protein 1	3	3	3	3
LOC104003138	uncharacterized LOC104003138	1	1	1	1
LOC107969483	uncharacterized LOC107969483	1	1	2	2
LOC134808602	uncharacterized LOC134808602	1	1	1	2
LOC129139070	ankyrin repeat domain-containing protein SOWAHC-like	3	3	3	4
LOC107969485	uncharacterized LOC107969485	2	2	1	2
SLC14A2	solute carrier family 14 member 2	3	3	3	3
LOC104003140	uncharacterized LOC104003140	1	1	1	1
SLC14A1	solute carrier family 14 member 1	4	4	4	3
SIGLEC15	sialic acid binding Ig like lectin 15	4	4	3	3
EPG5	ectopic P-granules 5 autophagy tethering factor	3	3	3	3
PSTPIP2	proline-serine-threonine phosphatase interacting protein 2	2	3	3	3
ATP5F1A	ATP synthase F1 subunit alpha	2	1	1	1
TRNAK-CUU_10	transfer RNA lysine (anticodon CUU)	1	1	1	1
HAUS1	HAUS augmin like complex subunit 1	1	1	1	1
ARK2N	arkadia (RNF111) N-terminal like PKA signaling regulator 2N	1	1	1	1
ARK2C	arkadia (RNF111) C-terminal like ring finger ubiquitin ligase 2C	1	2	2	1
LOC737910	uncharacterized LOC737910	3	2	1	2
LOC107969487	uncharacterized LOC107969487	2	2	2	1
LOXHD1	lipoxygenase homology PLAT domains 1	3	3	3	2
ST8SIA5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	1	2	1	2
PIAS2	protein inhibitor of activated STAT 2	1	1	3	1
KATNAL2	katanin catalytic subunit A1 like 2	3	4	4	2
LOC134808686	elongin-A3-like	3	3	3	3
LOC129137899	elongin-A3	3	3	2	3
LOC129137898	uncharacterized LOC129137898	4	3	3	3
LOC112206257	uncharacterized LOC112206257	3	3	3	3
LOC129137892	uncharacterized LOC129137892	3	3	3	3
LOC129137893	uncharacterized LOC129137893	3	3	3	3
LOC129137894	uncharacterized LOC129137894	4	3	3	3
LOC134808675	elongin-A3	3	3	3	3
LOC129137902	elongin-A3	3	3	2	3
LOC134808676	elongin-A3	3	3	2	3
LOC129137900	elongin-A3	3	3	2	3
LOC134808677	elongin-A3	3	3	2	3
LOC129137895	elongin-A3	3	3	3	3
LOC134808678	elongin-A3	3	3	3	3
LOC134808603	elongin-A3	3	3	2	3
LOC129137896	elongin-A3	3	3	3	3
LOC134808604	elongin-A3	3	3	3	3
LOC129137897	elongin-A3	3	3	3	3
LOC134808679	elongin-A3	3	2	4	3
LOC129137904	elongin-A3	4	2	2	3
LOC134808680	elongin-A3	3	3	2	3
ELOA2	elongin A2	3	3	3	3
LOC107969490	uncharacterized LOC107969490	1	1	1	1
HDHD2	haloacid dehalogenase like hydrolase domain containing 2	1	2	3	2
IER3IP1	immediate early response 3 interacting protein 1	1	2	2	1
LOC112206339	U6 spliceosomal RNA	1	1	1	1
SKOR2	SKI family transcriptional corepressor 2	3	3	3	3
LOC134808681	uncharacterized LOC134808681	2	1	1	1
LOC134808658	uncharacterized LOC134808658	1	1	1	1
LOC107969491	uncharacterized LOC107969491	1	1	1	1
LOC740344	Y-box-binding protein 2-like	2	2	4	1
LOC107969492	uncharacterized LOC107969492	2	1	1	1
SMAD2	SMAD family member 2	1	1	2	1
LOC129137868	uncharacterized LOC129137868	1	1	1	1
ZBTB7C	zinc finger and BTB domain containing 7C	3	3	3	3
LOC104003149	uncharacterized LOC104003149	2	1	2	1
LOC112206334	U6 spliceosomal RNA	1	1	1	1
ZBTB7C-AS2	ZBTB7C antisense RNA 2	3	3	3	3
LOC129137838	uncharacterized LOC129137838	1	1	1	1
CTIF	cap binding complex dependent translation initiation factor	2	3	2	1
MIR4743	microRNA mir-4743	1	1	1	1
SMAD7	SMAD family member 7	3	3	1	2
LOC104003150	uncharacterized LOC104003150	1	1	1	2
LOC107969386	mucin-3B	3	4	3	4
DYM	dymeclin	3	3	3	3
LOC129137910	uncharacterized LOC129137910	1	1	1	1
LOC134808605	uncharacterized LOC134808605	4	4	1	2
LOC129137909	uncharacterized LOC129137909	1	1	1	1
C18H18orf32	chromosome 18 C18orf32 homolog	3	3	1	3
RPL17	ribosomal protein L17	1	2	4	2
LOC112206292	small nucleolar RNA SNORD58	1	1	1	1
LOC112206291	small nucleolar RNA SNORD58	1	1	1	1
LOC112206293	small nucleolar RNA SNORD58	1	1	1	1
LOC134808606	uncharacterized LOC134808606	3	4	3	3
LOC134808607	uncharacterized LOC134808607	1	1	1	1
LIPG	lipase G, endothelial type	3	4	2	2
ACAA2	acetyl-CoA acyltransferase 2	2	3	3	3
LOC112206299	small Cajal body-specific RNA 17	1	1	1	1
LOC112206295	small Cajal body-specific RNA 18	1	1	1	1
MYO5B	myosin VB	3	3	3	3
CFAP53	cilia and flagella associated protein 53	3	2	2	1
MBD1	methyl-CpG binding domain protein 1	3	2	2	2
CXXC1	CXXC finger protein 1	2	2	1	2
LOC134808682	uncharacterized LOC134808682	1	1	1	4
LOC129137877	uncharacterized LOC129137877	1	1	1	1
SKA1	spindle and kinetochore associated complex subunit 1	2	4	2	1
LOC104003153	uncharacterized LOC104003153	2	1	1	1
MAPK4	mitogen-activated protein kinase 4	3	3	3	3
MRO	maestro	3	3	2	3
ME2	malic enzyme 2	3	3	3	3
LOC107969495	uncharacterized LOC107969495	2	1	1	1
ELAC1	elaC ribonuclease Z 1	3	3	2	3
SMAD4	SMAD family member 4	2	2	2	2
MEX3C	mex-3 RNA binding family member C	2	3	1	2
LOC112206285	U1 spliceosomal RNA	1	1	1	1
LOC134808611	uncharacterized LOC134808611	1	1	1	1
LOC104003161	SS18-like protein 2	1	1	1	1
LOC112206303	small nucleolar RNA U13	1	1	1	1
LOC104003154	uncharacterized LOC104003154	1	1	1	1
LOC107969404	uncharacterized LOC107969404	1	2	1	1
DCC	DCC netrin 1 receptor	3	3	3	3
LOC104003155	uncharacterized LOC104003155	3	3	3	3
LOC129137847	uncharacterized LOC129137847	2	2	2	1
MBD2	methyl-CpG binding domain protein 2	4	1	1	3
LOC112206298	small nucleolar RNA SNORA30/SNORA37 family	1	1	1	1
POLI	DNA polymerase iota	3	3	3	3
STARD6	StAR related lipid transfer domain containing 6	2	1	2	1
C18H18orf54	chromosome 18 C18orf54 homolog	3	3	3	1
DYNAP	dynactin associated protein	1	3	3	1
LOC129137846	uncharacterized LOC129137846	2	2	1	1
RAB27B	RAB27B, member RAS oncogene family	3	2	3	3
CCDC68	coiled-coil domain containing 68	3	3	2	2
LOC134808612	uncharacterized LOC134808612	1	1	1	1
LOC104003162	uncharacterized LOC104003162	1	1	1	1
TCF4	transcription factor 4	2	3	2	2
LOC134808613	uncharacterized LOC134808613	1	1	1	1
LOC129137824	uncharacterized LOC129137824	1	1	1	1
LOC107969501	uncharacterized LOC107969501	1	4	1	1
LOC112206284	small nucleolar RNA SNORA73 family	1	1	1	1
LOC134808614	uncharacterized LOC134808614	4	4	1	1
LOC129137913	uncharacterized LOC129137913	1	1	1	1
LOC134808615	uncharacterized LOC134808615	1	1	1	1
LOC129137850	uncharacterized LOC129137850	1	1	1	1
TXNL1	thioredoxin like 1	4	2	1	2
WDR7	WD repeat domain 7	3	3	3	2
LOC134808616	uncharacterized LOC134808616	1	1	1	1
BOD1L2	biorientation of chromosomes in cell division 1 like 2	3	3	3	3
LOC112206331	U6 spliceosomal RNA	1	1	1	1
LOC134808617	uncharacterized LOC134808617	2	1	1	1
ST8SIA3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3	1	2	2	2
ONECUT2	one cut homeobox 2	2	1	2	3
FECH	ferrochelatase	1	3	2	1
NARS1	asparaginyl-tRNA synthetase 1	2	2	2	2
LOC134808618	uncharacterized LOC134808618	1	1	1	1
ATP8B1	ATPase phospholipid transporting 8B1	3	3	3	3
LOC112206336	U6 spliceosomal RNA	1	1	1	1
LOC468547	probable ribosome biogenesis protein RLP24	3	3	3	3
LOC107969408	uncharacterized LOC107969408	2	2	1	1
NEDD4L	NEDD4 like E3 ubiquitin protein ligase	3	3	3	3
LOC101059067	hypothetical protein	3	3	3	3
LOC129137818	uncharacterized LOC129137818	1	1	1	1
LOC129137825	uncharacterized LOC129137825	1	1	1	1
MIR122	microRNA mir-122	1	1	1	1
ALPK2	alpha kinase 2	3	3	3	3
LOC107969506	uncharacterized LOC107969506	1	1	1	1
LOC134808619	uncharacterized LOC134808619	1	4	1	4
MALT1-AS1	MALT1 antisense RNA 1	3	3	3	1
MALT1	MALT1 paracaspase	3	2	4	2
LOC112206243	large ribosomal subunit protein eL21-like	3	3	3	3
LOC134808621	uncharacterized LOC134808621	1	1	1	1
LOC112206348	U6 spliceosomal RNA	1	1	1	1
LOC112206269	uncharacterized LOC112206269	1	1	1	1
LOC112206290	U8 small nucleolar RNA	1	1	1	1
ZNF532	zinc finger protein 532	3	3	3	2
OACYL	O-acyltransferase like	3	2	3	2
SEC11C	SEC11 homolog C, signal peptidase complex subunit	2	3	1	1
GRP	gastrin releasing peptide	3	3	1	2
RAX	retina and anterior neural fold homeobox	2	2	3	3
CPLX4	complexin 4	1	1	1	1
LMAN1	lectin, mannose binding 1	3	3	1	3
CCBE1	collagen and calcium binding EGF domains 1	3	3	4	3
MIR548F-1	microRNA mir-548f-1	1	1	1	1
PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	2	3	3	3
LOC455450	nuclear factor erythroid 2-related factor 3-like	3	3	4	3
LOC455451	endosome-associated-trafficking regulator 1-like	4	4	4	4
LOC134808683	uncharacterized LOC134808683	1	1	1	1
LOC112206327	U4 spliceosomal RNA	1	1	1	1
LOC112206244	uncharacterized LOC112206244	1	1	1	2
MC4R	melanocortin 4 receptor	3	3	2	3
LOC112206266	uncharacterized LOC112206266	1	1	4	1
LOC112206332	U6 spliceosomal RNA	1	1	1	1
CDH20	cadherin 20	3	3	3	3
LOC101056901	uncharacterized LOC101056901	4	3	3	2
RNF152	ring finger protein 152	2	3	2	2
PIGN	phosphatidylinositol glycan anchor biosynthesis class N	3	3	3	3
RELCH	RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing	3	3	3	3
TNFRSF11A	TNF receptor superfamily member 11a	3	3	3	3
LOC107969510	uncharacterized LOC107969510	1	2	1	1
ZCCHC2	zinc finger CCHC-type containing 2	3	3	4	4
LOC104003179	uncharacterized LOC104003179	1	2	2	2
PHLPP1	PH domain and leucine rich repeat protein phosphatase 1	3	3	3	2
LOC112206337	U6 spliceosomal RNA	1	1	1	1
LOC107969512	uncharacterized LOC107969512	1	1	1	1
BCL2	BCL2 apoptosis regulator	2	1	1	1
LOC112206316	small nucleolar RNA U13	1	1	1	1
KDSR	3-ketodihydrosphingosine reductase	2	3	1	2
VPS4B	vacuolar protein sorting 4 homolog B	1	2	2	2
SERPINB5	serpin family B member 5	3	3	1	3
SERPINB12	serpin family B member 12	3	3	3	3
SERPINB13	serpin family B member 13	2	2	2	3
SERPINB4	serpin family B member 4	3	3	3	4
LOC740098	serpin B3	4	3	2	3
SERPINB11	serpin family B member 11	3	3	2	3
SERPINB7	serpin family B member 7	2	2	2	3
SERPINB2	serpin family B member 2	4	3	3	3
SERPINB10	serpin family B member 10	4	2	3	2
HMSD	histocompatibility minor serpin domain containing	3	1	1	2
SERPINB8	serpin family B member 8	3	3	2	2
LOC104003183	uncharacterized LOC104003183	1	1	2	1
LOC129137822	putative uncharacterized protein encoded by LINC00305	1	1	2	1
LOC134808624	uncharacterized LOC134808624	1	2	1	1
LOC129137823	uncharacterized LOC129137823	2	2	1	1
LOC107969519	uncharacterized LOC107969519	1	1	1	1
LOC107969520	uncharacterized LOC107969520	2	2	2	2
CDH7	cadherin 7	3	2	2	3
LOC107969411	uncharacterized LOC107969411	2	2	2	2
LOC107969412	uncharacterized LOC107969412	1	1	1	1
CDH19	cadherin 19	3	3	3	3
LOC112206335	U6 spliceosomal RNA	1	1	1	1
LOC134808692	ankyrin repeat domain-containing protein SOWAHC-like	3	3	0	0
DSEL	dermatan sulfate epimerase like	3	3	2	2
LOC107969521	uncharacterized LOC107969521	1	1	1	1
LOC134808625	uncharacterized LOC134808625	2	2	2	2
LOC107969522	uncharacterized LOC107969522	2	2	2	1
LOC129137911	uncharacterized LOC129137911	1	1	1	1
TMX3	thioredoxin related transmembrane protein 3	4	4	4	4
CCDC102B	coiled-coil domain containing 102B	3	3	3	3
DOK6	docking protein 6	3	2	2	3
CD226	CD226 molecule	3	3	3	3
LOC134808626	uncharacterized LOC134808626	1	1	1	1
RTTN	rotatin	3	4	3	3
SOCS6	suppressor of cytokine signaling 6	3	2	1	1
LOC100612777	uncharacterized LOC100612777	1	1	1	1
LOC100612838	uncharacterized LOC100612838	1	1	1	1
LOC107969413	small ribosomal subunit protein uS5-like	3	3	1	3
LOC104003204	Gilles de la Tourette syndrome chromosome region, candidate 1	3	3	3	1
LOC134808684	uncharacterized LOC134808684	1	1	1	1
LOC107969414	uncharacterized LOC107969414	1	1	1	1
LOC107969523	uncharacterized LOC107969523	1	1	1	1
LOC134808627	uncharacterized LOC134808627	1	1	1	1
LOC104003192	uncharacterized LOC104003192	1	2	1	1
LOC134808641	uncharacterized LOC134808641	4	4	4	2
CBLN2	cerebellin 2 precursor	2	1	4	4
NETO1	neuropilin and tolloid like 1	3	3	2	2
LOC735990	uncharacterized LOC735990	3	1	1	1
LOC101057081	uncharacterized LOC101057081	1	2	2	2
LOC134808628	uncharacterized LOC134808628	1	1	1	1
LOC107969525	uncharacterized LOC107969525	1	2	1	1
LOC134808630	uncharacterized LOC134808630	1	1	1	1
LOC134808629	uncharacterized LOC134808629	1	1	1	1
LOC129137891	uncharacterized LOC129137891	1	1	1	1
LOC129136794	uncharacterized LOC129136794	4	4	1	4
FBXO15	F-box protein 15	2	4	2	3
TIMM21	translocase of inner mitochondrial membrane 21	1	3	3	3
CYB5A	cytochrome b5 type A	1	1	2	1
C18H18orf63	chromosome 18 C18orf63 homolog	3	3	1	3
LOC468581	ubiquitin-like FUBI-ribosomal protein eS30 fusion protein	3	3	1	4
LOC104003197	uncharacterized LOC104003197	1	1	1	1
DIPK1C	divergent protein kinase domain 1C	3	3	4	3
LOC107969527	uncharacterized LOC107969527	4	4	1	1
CNDP2	carnosine dipeptidase 2	2	3	3	3
CNDP1	carnosine dipeptidase 1	3	3	3	3
LOC107969528	uncharacterized LOC107969528	1	1	1	1
ZNF407	zinc finger protein 407	3	3	3	3
LOC107969529	uncharacterized LOC107969529	1	1	1	1
LOC107969530	uncharacterized LOC107969530	1	1	1	1
PTGR3	prostaglandin reductase 3	3	1	3	2
TSHZ1	teashirt zinc finger homeobox 1	3	3	3	3
LOC134806936	small integral membrane protein 21	3	3	3	3
SMIM21	small integral membrane protein 21	3	3	3	3
LOC129137917	uncharacterized LOC129137917	2	2	2	2
LOC134808631	uncharacterized LOC134808631	1	1	1	1
