gene	description	Western	Western x Central	Central	Eastern
SLC17A8	solute carrier family 17 member 8	3	3	2	3
LOC112205168	small nucleolar RNA U13	1	1	1	1
NR1H4	nuclear receptor subfamily 1 group H member 4	2	2	2	2
GAS2L3	growth arrest specific 2 like 3	3	3	3	3
ANO4	anoctamin 4	4	3	3	3
LOC107967614	uncharacterized LOC107967614	1	1	1	2
CRACR2A	calcium release activated channel regulator 2A	3	3	3	3
SLC5A8	solute carrier family 5 member 8	3	3	3	3
LOC112205061	U6 spliceosomal RNA	1	1	1	1
UTP20	UTP20 small subunit processome component	3	3	3	3
LOC112205181	small nucleolar RNA U13	1	1	1	1
ARL1	ADP ribosylation factor like GTPase 1	1	1	1	1
LOC112205099	U6 spliceosomal RNA	1	1	1	1
LOC112205204	U5 spliceosomal RNA	1	1	1	1
SPIC	Spi-C transcription factor	1	1	2	1
MYBPC1	myosin binding protein C1	2	3	3	3
LOC107967615	uncharacterized LOC107967615	1	1	1	1
LOC129136545	uncharacterized LOC129136545	1	1	1	1
CHPT1	choline phosphotransferase 1	2	2	2	1
SYCP3	synaptonemal complex protein 3	2	3	4	4
LOC134807593	uncharacterized LOC134807593	1	1	1	1
GNPTAB	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta	3	3	3	3
LOC112205100	U6 spliceosomal RNA	1	1	1	1
LOC112205166	small nucleolar RNA U13	1	1	1	1
LOC129136546	uncharacterized LOC129136546	1	1	1	1
LOC112205095	U6 spliceosomal RNA	1	1	1	1
DRAM1	DNA damage regulated autophagy modulator 1	3	1	1	2
PARPBP	PARP1 binding protein	4	4	3	3
WASHC3	WASH complex subunit 3	2	2	2	2
LOC134807594	uncharacterized LOC134807594	1	1	1	1
NUP37	nucleoporin 37	1	1	1	1
LOC112205086	U6 spliceosomal RNA	1	1	1	1
PMCH	pro-melanin concentrating hormone	1	2	2	2
IGF1	insulin like growth factor 1	2	1	2	2
LOC107967618	uncharacterized LOC107967618	1	1	1	2
LOC134807595	uncharacterized LOC134807595	1	1	1	1
PAH	phenylalanine hydroxylase	2	2	2	1
LOC107967619	uncharacterized LOC107967619	1	2	1	1
LOC107967620	uncharacterized LOC107967620	1	1	1	1
ASCL1	achaete-scute family bHLH transcription factor 1	3	1	2	1
PARP11	poly(ADP-ribose) polymerase family member 11	1	1	1	1
LOC112205128	U7 small nuclear RNA	1	1	1	1
LOC134807505	uncharacterized LOC134807505	1	1	1	1
LOC107967621	uncharacterized LOC107967621	1	1	1	1
C12H12orf42	chromosome 12 C12orf42 homolog	3	3	3	3
LOC107967622	uncharacterized LOC107967622	1	1	1	1
LOC104001668	uncharacterized LOC104001668	2	2	1	2
LOC112205129	U8 small nucleolar RNA	1	1	1	1
LOC134807542	uncharacterized LOC134807542	1	2	1	1
STAB2	stabilin 2	3	3	3	3
LOC129136680	uncharacterized LOC129136680	1	1	1	1
LOC104001670	uncharacterized LOC104001670	1	1	1	1
LOC112205167	small nucleolar RNA U13	1	1	1	1
NT5DC3	5'-nucleotidase domain containing 3	3	3	3	3
TTC41	tetratricopeptide repeat domain 41	3	3	4	4
LOC107967410	uncharacterized LOC107967410	1	1	1	1
HSP90B1	heat shock protein 90 beta family member 1	3	3	3	3
UQCC6	ubiquinol-cytochrome c reductase complex assembly factor 6	1	1	2	1
TDG	thymine DNA glycosylase	1	1	3	3
GLT8D2	glycosyltransferase 8 domain containing 2	2	3	4	3
HCFC2	host cell factor C2	3	3	2	3
NFYB	nuclear transcription factor Y subunit beta	1	1	1	1
TXNRD1	thioredoxin reductase 1	2	2	3	3
LOC107967625	uncharacterized LOC107967625	1	1	1	1
CHST11	carbohydrate sulfotransferase 11	1	1	1	2
SLC41A2	solute carrier family 41 member 2	3	3	1	3
NOPCHAP1	NOP protein chaperone 1	1	3	2	3
ALDH1L2	aldehyde dehydrogenase 1 family member L2	3	3	3	3
LOC104001414	uncharacterized LOC104001414	1	1	2	1
WASHC4	WASH complex subunit 4	3	3	2	2
APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	1	2	2	2
C12H12orf75	chromosome 12 C12orf75 homolog	3	1	1	1
LOC134807506	uncharacterized LOC134807506	3	2	1	1
LOC129136549	uncharacterized LOC129136549	1	2	1	1
NUAK1	NUAK family kinase 1	3	3	2	1
LOC100608739	thyroid receptor-interacting protein 11-like	3	3	3	3
CKAP4	cytoskeleton associated protein 4	3	3	2	3
LOC129136550	uncharacterized LOC129136550	2	2	1	1
LOC112205125	U7 small nuclear RNA	1	1	1	1
TCP11L2	t-complex 11 like 2	3	2	3	3
POLR3B	RNA polymerase III subunit B	4	2	2	2
RFX4	regulatory factor X4	3	3	3	1
LOC104001674	uncharacterized LOC104001674	2	1	1	2
RIC8B	RIC8 guanine nucleotide exchange factor B	3	3	2	2
LOC134807596	uncharacterized LOC134807596	1	1	1	1
LOC129136551	uncharacterized LOC129136551	2	1	1	1
TMEM263	transmembrane protein 263	2	3	3	2
MTERF2	mitochondrial transcription termination factor 2	3	3	1	3
CRY1	cryptochrome circadian regulator 1	3	3	3	4
ABTB3	ankyrin repeat and BTB domain containing 3	3	3	2	3
LOC112205141	small nucleolar RNA SNORD74	1	1	1	1
CCND2	cyclin D2	1	2	1	1
PWP1	PWP1 homolog, endonuclein	2	2	3	2
LOC129136682	uncharacterized LOC129136682	1	1	1	1
PRDM4	PR/SET domain 4	3	4	4	3
ASCL4	achaete-scute family bHLH transcription factor 4	3	1	2	3
LOC134807539	uncharacterized LOC134807539	3	4	4	4
LOC129136596	uncharacterized LOC129136596	1	2	1	1
LOC107967630	uncharacterized LOC107967630	1	4	1	4
TIGAR	TP53 induced glycolysis regulatory phosphatase	1	3	1	3
LOC100612202	small ribosomal subunit protein uS19-like	3	3	3	3
WSCD2	WSC domain containing 2	3	2	2	2
CMKLR1	chemerin chemokine-like receptor 1	3	3	1	3
LOC107967632	uncharacterized LOC107967632	1	2	1	1
LOC107967736	uncharacterized LOC107967736	1	1	1	1
LOC107967633	uncharacterized LOC107967633	1	2	2	1
FGF23	fibroblast growth factor 23	1	1	1	1
FICD	FIC domain protein adenylyltransferase	2	3	2	1
SART3	spliceosome associated factor 3, U4/U6 recycling protein	3	3	3	3
ISCU	iron-sulfur cluster assembly enzyme	3	3	3	3
TMEM119	transmembrane protein 119	3	3	2	3
SELPLG	selectin P ligand	2	3	3	3
LOC107967634	uncharacterized LOC107967634	1	1	1	1
CORO1C	coronin 1C	3	3	3	1
LOC112205124	U7 small nuclear RNA	1	1	1	1
LOC107967635	uncharacterized LOC107967635	1	2	2	2
LOC112205152	small nucleolar RNA SNORA40	1	1	1	1
SSH1	slingshot protein phosphatase 1	3	3	3	3
MIR619	microRNA mir-619	1	1	1	1
DAO	D-amino acid oxidase	3	3	3	3
LOC134807507	uncharacterized LOC134807507	1	1	1	1
SVOP	SV2 related protein	2	2	2	2
LOC112205069	U6 spliceosomal RNA	1	1	1	1
USP30	ubiquitin specific peptidase 30	3	3	2	1
ALKBH2	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase	3	3	3	3
UNG	uracil DNA glycosylase	2	2	2	2
FGF6	fibroblast growth factor 6	2	3	2	1
ACACB	acetyl-CoA carboxylase beta	3	3	3	3
FOXN4	forkhead box N4	3	3	3	3
LOC104001686	uncharacterized LOC104001686	1	1	1	2
MYO1H	myosin IH	3	3	3	3
KCTD10	potassium channel tetramerization domain containing 10	2	2	2	2
UBE3B	ubiquitin protein ligase E3B	4	4	2	2
MMAB	metabolism of cobalamin associated B	3	3	3	3
LOC112205200	U4 spliceosomal RNA	1	1	1	1
MVK	mevalonate kinase	3	3	3	3
LOC134807508	uncharacterized LOC134807508	1	1	1	1
FERRY3	FERRY endosomal RAB5 effector complex subunit 3	1	1	1	1
LOC104001690	uncharacterized LOC104001690	1	1	1	1
FAM222A	family with sequence similarity 222 member A	3	3	2	2
TRPV4	transient receptor potential cation channel subfamily V member 4	3	3	3	2
GLTP	glycolipid transfer protein	1	2	3	1
TCHP	trichoplein keratin filament binding	3	2	1	2
GIT2	GIT ArfGAP 2	2	2	1	3
ANKRD13A	ankyrin repeat domain 13A	2	1	1	1
C12H12orf76	chromosome 12 C12orf76 homolog	2	1	2	1
LOC129136553	uncharacterized LOC129136553	1	1	1	1
IFT81	intraflagellar transport 81	3	3	3	4
RAD51AP1	RAD51 associated protein 1	1	1	1	3
ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	2	2	1	2
LOC101058308	hypothetical protein	2	2	1	3
ANAPC7	anaphase promoting complex subunit 7	2	3	1	2
LOC107967638	high mobility group protein HMG-I/HMG-Y-like	1	1	1	1
ARPC3	actin related protein 2/3 complex subunit 3	2	2	1	2
GPN3	GPN-loop GTPase 3	3	3	1	3
LOC107967639	large ribosomal subunit protein eL31-like	1	3	1	1
FAM216A	family with sequence similarity 216 member A	1	1	1	1
VPS29	VPS29 retromer complex component	1	2	1	1
LOC112205140	small nucleolar RNA SNORD50	1	1	1	1
LOC107967640	uncharacterized LOC107967640	1	1	1	1
RAD9B	RAD9 checkpoint clamp component B	3	3	1	1
PPTC7	protein phosphatase targeting COQ7	2	2	2	1
TCTN1	tectonic family member 1	2	1	1	1
HVCN1	hydrogen voltage gated channel 1	3	3	1	1
LOC134807408	uncharacterized LOC134807408	1	1	1	1
PPP1CC	protein phosphatase 1 catalytic subunit gamma	2	2	1	2
DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4	4	4	3	4
LOC737183	large ribosomal subunit protein eL29-like	1	1	1	1
CCDC63	coiled-coil domain containing 63	3	2	1	2
MYL2	myosin light chain 2	2	2	2	2
LOC100608164	uncharacterized LOC100608164	2	2	2	1
AKAP3	A-kinase anchoring protein 3	3	3	3	3
CUX2	cut like homeobox 2	3	3	3	3
PHETA1	PH domain containing endocytic trafficking adaptor 1	3	2	2	3
LOC129136554	uncharacterized LOC129136554	1	1	1	2
SH2B3	SH2B adaptor protein 3	3	2	1	1
ATXN2	ataxin 2	3	3	3	2
NDUFA9	NADH:ubiquinone oxidoreductase subunit A9	3	2	2	2
