genes,genes_renamed,descriptions,num_populations,is_shared,Central,Western,Eastern
SMOC2,SMOC2,SPARC related modular calcium binding 2,2,Yes,20.05358171,17.70840508,NA
LOC134810929,LOC134810929,uncharacterized LOC134810929,2,Yes,20.04719423,16.52012401,NA
PXMP2,PXMP2,peroxisomal membrane protein 2,2,Yes,18.77795261,NA,16.57401192
LOC104006320,LOC104006320,uncharacterized LOC104006320,2,Yes,18.44217724,NA,20.0335028
CLPTM1L,CLPTM1L,CLPTM1 like,2,Yes,18.3562531,13.40304656,NA
ZMYND19,ZMYND19,zinc finger MYND-type containing 19,2,Yes,17.98166851,16.99407936,NA
LOC112204168,LOC112204168,uncharacterized LOC112204168,2,Yes,17.89455257,14.04740883,NA
LOC100608180,LILRB3,leukocyte immunoglobulin-like receptor subfamily B member 3-like,2,Yes,17.03620771,18.96121487,NA
GLB1L2,GLB1L2,galactosidase beta 1 like 2,2,Yes,16.80224096,14.87617961,NA
DBNDD1,DBNDD1,dysbindin domain containing 1,2,Yes,16.6851589,14.99982848,NA
CACNA1H,CACNA1H,calcium voltage-gated channel subunit alpha1 H,2,Yes,16.66541347,NA,16.21441244
ZNF28,ZNF28,zinc finger protein 28,1,No,NA,NA,15.13668603
LOC100609532,EYS,protein eyes shut homolog,1,No,NA,NA,15.1730447
PPP1R12C,PPP1R12C,protein phosphatase 1 regulatory subunit 12C,1,No,NA,NA,15.3426403
ADAMTS3,ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif 3,1,No,NA,NA,15.36859045
ACOT7,ACOT7,acyl-CoA thioesterase 7,1,No,NA,NA,15.42297582
GPR35,GPR35,G protein-coupled receptor 35,1,No,NA,NA,15.78740394
DIP2C,DIP2C,disco interacting protein 2 homolog C,1,No,NA,NA,16.28425098
LOC107974514,LOC107974514,uncharacterized LOC107974514,1,No,NA,NA,16.35140141
PLEKHG1,PLEKHG1,pleckstrin homology and RhoGEF domain containing G1,1,No,NA,NA,16.36031884
PLEKHG4B,PLEKHG4B,pleckstrin homology and RhoGEF domain containing G4B,1,No,NA,NA,16.49906774
TBCD,TBCD,tubulin folding cofactor D,1,No,NA,NA,16.59558991
ESYT2,ESYT2,extended synaptotagmin 2,1,No,NA,NA,17.04978885
TWIST2,TWIST2,twist family bHLH transcription factor 2,1,No,NA,NA,17.39272615
PASK,PASK,PAS domain containing serine/threonine kinase,1,No,NA,NA,17.40549471
RNF168,RNF168,ring finger protein 168,1,No,NA,13.5109287,NA
LOC112204800,SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,1,No,NA,13.55286117,NA
C14H14orf180,C14H14orf180,chromosome 14 C14orf180 homolog,1,No,NA,13.61395664,NA
