sample	mean_pi	std_pi	stderr_pi	n_sites
SAMN01920526_ellioti_Tobi_Cameroon	0.00136472	0.0369169	7.34696e-07	2524846102
SAMN01920527_schweinfurthii_Vincent_Tanzania	0.00149606	0.03865	7.69188e-07	2524846102
SAMN01920528_schweinfurthii_Andromeda_Tanzania	0.00147252	0.0383451	7.6312e-07	2524846102
SAMN01920529_schweinfurthii_Harriet_Uganda	0.00151509	0.0388946	7.74055e-07	2524846102
SAMN01920530_schweinfurthii_Bwambale_Uganda	0.00161954	0.040211	8.00252e-07	2524846102
SAMN01920531_schweinfurthii_Kidongo_DemocraticRepublicCongo	0.00157531	0.0396589	7.89266e-07	2524846102
SAMN01920532_schweinfurthii_Nakuu_DemocraticRepublicCongo	0.00153418	0.0391385	7.78909e-07	2524846102
SAMN01920533_troglodytes_Vaillant_Gabon	0.00193872	0.0439882	8.75424e-07	2524846102
SAMN01920534_troglodytes_Doris_Gabon	0.00193076	0.043898	8.73629e-07	2524846102
SAMN01920535_troglodytes_Julie_Gabon	0.00197552	0.0444029	8.83678e-07	2524846102
SAMN01920536_troglodytes_Clara_Gabon	0.00193751	0.0439745	8.75152e-07	2524846102
SAMN01920537_verus_Bosco	0.000778368	0.0278884	5.55017e-07	2524846102
SAMN01920538_verus_Jimmie	0.000834463	0.028875	5.74652e-07	2524846102
SAMN01920539_verus_Koby	0.000779827	0.0279145	5.55536e-07	2524846102
SAMN01920540_verus_Clint	0.000774962	0.0278274	5.53802e-07	2524846102
SAMN01920541_verusxtroglodytes_Donald	0.00124726	0.0352945	7.02408e-07	2524846102
