sample	pop	mean_pi	std_pi	stderr_pi	n_sites
HGDP00450	AFR	0.0223141	0.147703	1.29308e-05	130475909
HGDP00452	AFR	0.0235342	0.151593	1.32713e-05	130475909
HGDP00453	AFR	0.0237821	0.15237	1.33393e-05	130475909
HGDP00454	AFR	0.0236536	0.151967	1.33041e-05	130475909
HGDP00455	AFR	0.0231579	0.150405	1.31673e-05	130475909
HGDP00458	AFR	0.0234505	0.151329	1.32482e-05	130475909
HGDP00459	AFR	0.0237021	0.152119	1.33174e-05	130475909
HGDP00460	AFR	0.0237089	0.152141	1.33193e-05	130475909
HGDP00462	AFR	0.022327	0.147745	1.29344e-05	130475909
HGDP00463	AFR	0.022246	0.147483	1.29115e-05	130475909
HGDP00464	AFR	0.0235584	0.151669	1.32779e-05	130475909
HGDP00466	AFR	0.023766	0.152319	1.33349e-05	130475909
HGDP00467	AFR	0.0225357	0.148418	1.29933e-05	130475909
HGDP00469	AFR	0.0236358	0.151912	1.32992e-05	130475909
HGDP00470	AFR	0.0237284	0.152202	1.33246e-05	130475909
HGDP00471	AFR	0.0232753	0.150777	1.31998e-05	130475909
HGDP00472	AFR	0.0236451	0.151941	1.33018e-05	130475909
HGDP00473	AFR	0.0239226	0.152808	1.33777e-05	130475909
HGDP00475	AFR	0.0239837	0.152998	1.33943e-05	130475909
HGDP00478	AFR	0.022333	0.147764	1.29361e-05	130475909
HGDP00479	AFR	0.0235392	0.151609	1.32727e-05	130475909
HGDP00904	AFR	0.022601	0.148628	1.30117e-05	130475909
HGDP00905	AFR	0.0225439	0.148444	1.29956e-05	130475909
HGDP00906	AFR	0.0225837	0.148572	1.30069e-05	130475909
HGDP00907	AFR	0.0227306	0.149043	1.30481e-05	130475909
HGDP00908	AFR	0.0227125	0.148985	1.3043e-05	130475909
HGDP00909	AFR	0.0236199	0.151862	1.32948e-05	130475909
HGDP00910	AFR	0.0234888	0.15145	1.32588e-05	130475909
HGDP00911	AFR	0.0217197	0.145767	1.27612e-05	130475909
HGDP00912	AFR	0.0226831	0.148891	1.30348e-05	130475909
HGDP00913	AFR	0.0225171	0.148358	1.29881e-05	130475909
HGDP00914	AFR	0.0235537	0.151654	1.32767e-05	130475909
HGDP00917	AFR	0.0235281	0.151573	1.32696e-05	130475909
HGDP00918	AFR	0.0233326	0.150958	1.32157e-05	130475909
HGDP00920	AFR	0.0234463	0.151316	1.32471e-05	130475909
HGDP00924	AFR	0.0233573	0.151035	1.32225e-05	130475909
HGDP00925	AFR	0.0235332	0.151589	1.3271e-05	130475909
HGDP00926	AFR	0.0236273	0.151885	1.32969e-05	130475909
HGDP00929	AFR	0.0228805	0.149522	1.30901e-05	130475909
HGDP00930	AFR	0.0229444	0.149726	1.31079e-05	130475909
HGDP00931	AFR	0.0229744	0.149822	1.31162e-05	130475909
HGDP00933	AFR	0.0234218	0.151239	1.32403e-05	130475909
HGDP00934	AFR	0.0232772	0.150783	1.32004e-05	130475909
HGDP00935	AFR	0.023515	0.151532	1.3266e-05	130475909
HGDP00937	AFR	0.0227379	0.149067	1.30501e-05	130475909
HGDP00938	AFR	0.0233816	0.151112	1.32292e-05	130475909
HGDP00939	AFR	0.0234551	0.151344	1.32495e-05	130475909
HGDP00940	AFR	0.0227074	0.148969	1.30416e-05	130475909
HGDP00941	AFR	0.0229008	0.149587	1.30957e-05	130475909
HGDP00942	AFR	0.0228211	0.149333	1.30734e-05	130475909
HGDP00943	AFR	0.0228421	0.1494	1.30793e-05	130475909
HGDP00944	AFR	0.022718	0.149003	1.30446e-05	130475909
HGDP00984	AFR	0.0224948	0.148286	1.29818e-05	130475909
HGDP00985	AFR	0.0235902	0.151769	1.32867e-05	130475909
HGDP00986	AFR	0.0236229	0.151871	1.32957e-05	130475909
HGDP00992	AFR	0.0219651	0.146569	1.28315e-05	130475909
HGDP00993	AFR	0.0235769	0.151727	1.3283e-05	130475909
HGDP00994	AFR	0.0235101	0.151517	1.32646e-05	130475909
HGDP01029	AFR	0.022288	0.147619	1.29234e-05	130475909
HGDP01031	AFR	0.0228191	0.149326	1.30729e-05	130475909
HGDP01033	AFR	0.0231121	0.150259	1.31546e-05	130475909
HGDP01081	AFR	0.0218609	0.146229	1.28017e-05	130475909
HGDP01086	AFR	0.0235958	0.151786	1.32882e-05	130475909
