sample	pop	mean_pi	std_pi	stderr_pi	n_sites
HGDP01090	AFR	0.0237678	0.152325	1.33354e-05	130475909
HGDP01094	AFR	0.0236402	0.151925	1.33004e-05	130475909
HGDP01200	AFR	0.0227072	0.148968	1.30416e-05	130475909
HGDP01201	AFR	0.0231145	0.150267	1.31552e-05	130475909
HGDP01202	AFR	0.0228187	0.149325	1.30728e-05	130475909
HGDP01283	AFR	0.0227059	0.148964	1.30412e-05	130475909
HGDP01285	AFR	0.0227571	0.149128	1.30555e-05	130475909
HGDP01405	AFR	0.0228543	0.149439	1.30827e-05	130475909
HGDP01406	AFR	0.0229373	0.149704	1.31059e-05	130475909
HGDP01408	AFR	0.0229103	0.149618	1.30984e-05	130475909
HGDP01411	AFR	0.0230069	0.149925	1.31253e-05	130475909
HGDP01412	AFR	0.0226965	0.148934	1.30385e-05	130475909
HGDP01415	AFR	0.0224125	0.148021	1.29586e-05	130475909
HGDP01416	AFR	0.0226181	0.148683	1.30165e-05	130475909
HGDP01418	AFR	0.0229234	0.149659	1.3102e-05	130475909
HGDP01419	AFR	0.0229239	0.149661	1.31022e-05	130475909
LP6005441-DNA_A08	AFR	0.0221159	0.14706	1.28745e-05	130475909
LP6005441-DNA_A11	AFR	0.0219211	0.146426	1.2819e-05	130475909
LP6005441-DNA_B02	AFR	0.0234826	0.15143	1.32571e-05	130475909
LP6005441-DNA_B08	AFR	0.0227661	0.149157	1.3058e-05	130475909
LP6005441-DNA_B11	AFR	0.021663	0.145581	1.2745e-05	130475909
LP6005441-DNA_E07	AFR	0.0226637	0.148829	1.30293e-05	130475909
LP6005441-DNA_F01	AFR	0.0228542	0.149439	1.30827e-05	130475909
LP6005441-DNA_F07	AFR	0.0235079	0.15151	1.32641e-05	130475909
LP6005441-DNA_G02	AFR	0.0238063	0.152445	1.33459e-05	130475909
LP6005441-DNA_H02	AFR	0.0236211	0.151865	1.32952e-05	130475909
LP6005442-DNA_A02	AFR	0.0228993	0.149583	1.30953e-05	130475909
LP6005442-DNA_B02	AFR	0.0236758	0.152037	1.33102e-05	130475909
LP6005443-DNA_A01	AFR	0.0229542	0.149758	1.31106e-05	130475909
LP6005443-DNA_E02	AFR	0.0225762	0.148548	1.30047e-05	130475909
LP6005443-DNA_F02	AFR	0.0232394	0.150663	1.31899e-05	130475909
LP6005443-DNA_G02	AFR	0.0234115	0.151206	1.32375e-05	130475909
LP6005443-DNA_G08	AFR	0.0219458	0.146507	1.2826e-05	130475909
LP6005592-DNA_C03	AFR	0.0223075	0.147682	1.29289e-05	130475909
SS6004470	AFR	0.022729	0.149038	1.30476e-05	130475909
SS6004471	AFR	0.0224566	0.148163	1.2971e-05	130475909
SS6004473	AFR	0.0219907	0.146653	1.28388e-05	130475909
SS6004475	AFR	0.022806	0.149285	1.30692e-05	130475909
HGDP00465	AFR	0.0234299	0.151265	1.32426e-05	130475909
HGDP00468	AFR	0.0227388	0.14907	1.30504e-05	130475909
HGDP00916	AFR	0.0225503	0.148465	1.29975e-05	130475909
HGDP00919	AFR	0.0221168	0.147063	1.28748e-05	130475909
HGDP00981	AFR	0.0235739	0.151717	1.32822e-05	130475909
HGDP00983	AFR	0.0225938	0.148605	1.30097e-05	130475909
HGDP01087	AFR	0.0235358	0.151598	1.32717e-05	130475909
HGDP01092	AFR	0.023804	0.152438	1.33453e-05	130475909
HGDP01413	AFR	0.023064	0.150107	1.31412e-05	130475909
HG02461	AFR	0.0225447	0.148447	1.29959e-05	130475909
HG02462	AFR	0.023573	0.151715	1.3282e-05	130475909
HG02464	AFR	0.0227244	0.149023	1.30464e-05	130475909
HG02465	AFR	0.0236147	0.151845	1.32934e-05	130475909
HG02561	AFR	0.0226917	0.148919	1.30372e-05	130475909
HG02562	AFR	0.0236511	0.15196	1.33034e-05	130475909
HG02568	AFR	0.0232628	0.150737	1.31964e-05	130475909
HG02570	AFR	0.0228683	0.149484	1.30867e-05	130475909
HG02571	AFR	0.0236754	0.152036	1.33101e-05	130475909
HG02573	AFR	0.0227629	0.149147	1.30571e-05	130475909
HG02574	AFR	0.0236833	0.15206	1.33122e-05	130475909
HG02582	AFR	0.022626	0.148708	1.30188e-05	130475909
HG02583	AFR	0.0233745	0.15109	1.32273e-05	130475909
HG02585	AFR	0.0226712	0.148853	1.30314e-05	130475909
HG02586	AFR	0.0233489	0.151009	1.32202e-05	130475909
HG02588	AFR	0.0227585	0.149133	1.30559e-05	130475909
HG02589	AFR	0.0235784	0.151732	1.32834e-05	130475909
HG02594	AFR	0.0228988	0.149581	1.30952e-05	130475909
HG02595	AFR	0.0233542	0.151026	1.32217e-05	130475909
HG02610	AFR	0.0227945	0.149248	1.3066e-05	130475909
HG02611	AFR	0.023019	0.149964	1.31287e-05	130475909
HG02613	AFR	0.0226384	0.148748	1.30222e-05	130475909
HG02614	AFR	0.0235946	0.151782	1.32879e-05	130475909
HG02620	AFR	0.0228246	0.149344	1.30744e-05	130475909
HG02621	AFR	0.0237226	0.152183	1.3323e-05	130475909
HG02623	AFR	0.0224588	0.14817	1.29717e-05	130475909
HG02624	AFR	0.0236223	0.151869	1.32955e-05	130475909
HG02628	AFR	0.0229012	0.149588	1.30958e-05	130475909
HG02629	AFR	0.0238207	0.15249	1.33499e-05	130475909
HG02634	AFR	0.022564	0.148509	1.30013e-05	130475909
HG02635	AFR	0.0234189	0.15123	1.32395e-05	130475909
HG02642	AFR	0.0226067	0.148646	1.30133e-05	130475909
HG02643	AFR	0.0234705	0.151392	1.32537e-05	130475909
HG02645	AFR	0.022696	0.148932	1.30384e-05	130475909
HG02646	AFR	0.0235591	0.151671	1.32781e-05	130475909
HG02666	AFR	0.0227386	0.149069	1.30503e-05	130475909
HG02667	AFR	0.0222998	0.147657	1.29267e-05	130475909
HG02675	AFR	0.022705	0.148961	1.30409e-05	130475909
HG02676	AFR	0.0234933	0.151464	1.326e-05	130475909
HG02678	AFR	0.0215269	0.145133	1.27057e-05	130475909
HG02679	AFR	0.0237373	0.15223	1.3327e-05	130475909
HG02702	AFR	0.0226749	0.148865	1.30325e-05	130475909
HG02703	AFR	0.0232871	0.150814	1.32031e-05	130475909
HG02715	AFR	0.022886	0.14954	1.30916e-05	130475909
HG02716	AFR	0.0236838	0.152062	1.33124e-05	130475909
HG02721	AFR	0.0227254	0.149027	1.30466e-05	130475909
HG02722	AFR	0.0237041	0.152126	1.33179e-05	130475909
HG02756	AFR	0.0227053	0.148962	1.3041e-05	130475909
HG02757	AFR	0.0234774	0.151414	1.32556e-05	130475909
HG02759	AFR	0.0214188	0.144776	1.26745e-05	130475909
HG02760	AFR	0.0236489	0.151953	1.33028e-05	130475909
HG02763	AFR	0.0225481	0.148458	1.29968e-05	130475909
HG02768	AFR	0.0227598	0.149137	1.30563e-05	130475909
HG02769	AFR	0.0233681	0.15107	1.32255e-05	130475909
HG02771	AFR	0.0227949	0.149249	1.30661e-05	130475909
HG02772	AFR	0.0235473	0.151634	1.32749e-05	130475909
HG02798	AFR	0.0228571	0.149448	1.30835e-05	130475909
HG02799	AFR	0.0236085	0.151826	1.32917e-05	130475909
HG02804	AFR	0.0230387	0.150026	1.31342e-05	130475909
HG02805	AFR	0.0221261	0.147094	1.28774e-05	130475909
HG02807	AFR	0.022855	0.149441	1.30829e-05	130475909
HG02808	AFR	0.0229201	0.149649	1.31011e-05	130475909
HG02810	AFR	0.0212946	0.144364	1.26385e-05	130475909
HG02811	AFR	0.0237139	0.152156	1.33206e-05	130475909
HG02813	AFR	0.0227204	0.149011	1.30452e-05	130475909
HG02814	AFR	0.0238202	0.152489	1.33497e-05	130475909
HG02819	AFR	0.0227545	0.14912	1.30548e-05	130475909
HG02820	AFR	0.0237195	0.152174	1.33222e-05	130475909
HG02836	AFR	0.022772	0.149176	1.30597e-05	130475909
HG02837	AFR	0.0221632	0.147214	1.2888e-05	130475909
HG02839	AFR	0.0226655	0.148835	1.30298e-05	130475909
HG02840	AFR	0.0234453	0.151313	1.32468e-05	130475909
HG02851	AFR	0.0230466	0.150052	1.31364e-05	130475909
HG02852	AFR	0.0231628	0.15042	1.31687e-05	130475909
HG02854	AFR	0.0229212	0.149652	1.31014e-05	130475909
HG02855	AFR	0.023547	0.151633	1.32748e-05	130475909
HG02860	AFR	0.0227177	0.149002	1.30445e-05	130475909
HG02861	AFR	0.0235038	0.151497	1.32629e-05	130475909
HG02870	AFR	0.023393	0.151148	1.32324e-05	130475909
HG02878	AFR	0.0228797	0.14952	1.30898e-05	130475909
HG02879	AFR	0.0233444	0.150995	1.3219e-05	130475909
HG02881	AFR	0.0219313	0.146459	1.28219e-05	130475909
HG02882	AFR	0.0235444	0.151625	1.32741e-05	130475909
HG02884	AFR	0.0227562	0.149125	1.30553e-05	130475909
HG02885	AFR	0.0236948	0.152096	1.33154e-05	130475909
HG02887	AFR	0.0226434	0.148764	1.30236e-05	130475909
HG02888	AFR	0.0235318	0.151585	1.32706e-05	130475909
HG02890	AFR	0.0228156	0.149315	1.30719e-05	130475909
HG02891	AFR	0.02364	0.151925	1.33004e-05	130475909
HG02895	AFR	0.0225439	0.148444	1.29956e-05	130475909
HG02896	AFR	0.0228946	0.149567	1.3094e-05	130475909
HG02922	AFR	0.0238504	0.152583	1.3358e-05	130475909
HG02923	AFR	0.0225406	0.148434	1.29947e-05	130475909
HG02938	AFR	0.0227824	0.149209	1.30626e-05	130475909
HG02941	AFR	0.022943	0.149722	1.31075e-05	130475909
HG02943	AFR	0.0235978	0.151792	1.32888e-05	130475909
HG02944	AFR	0.0226784	0.148876	1.30335e-05	130475909
HG02946	AFR	0.023749	0.152266	1.33303e-05	130475909
HG02947	AFR	0.0231029	0.15023	1.3152e-05	130475909
HG02952	AFR	0.0237499	0.152269	1.33305e-05	130475909
HG02953	AFR	0.0226513	0.148789	1.30258e-05	130475909
HG02968	AFR	0.0226867	0.148903	1.30358e-05	130475909
HG02970	AFR	0.0237091	0.152141	1.33193e-05	130475909
HG02971	AFR	0.022803	0.149275	1.30684e-05	130475909
HG02973	AFR	0.0228429	0.149403	1.30796e-05	130475909
HG02974	AFR	0.0236232	0.151872	1.32958e-05	130475909
HG02976	AFR	0.023676	0.152038	1.33102e-05	130475909
HG02977	AFR	0.0227256	0.149027	1.30467e-05	130475909
HG02979	AFR	0.0235876	0.15176	1.3286e-05	130475909
HG02981	AFR	0.0229723	0.149815	1.31157e-05	130475909
HG02982	AFR	0.022797	0.149256	1.30667e-05	130475909
HG02983	AFR	0.0233178	0.150911	1.32116e-05	130475909
HG03024	AFR	0.0225565	0.148485	1.29992e-05	130475909
HG03025	AFR	0.0237426	0.152246	1.33285e-05	130475909
HG03027	AFR	0.0226191	0.148686	1.30168e-05	130475909
HG03028	AFR	0.0237556	0.152287	1.33321e-05	130475909
HG03039	AFR	0.0227564	0.149126	1.30553e-05	130475909
HG03040	AFR	0.0236128	0.15184	1.32929e-05	130475909
HG03045	AFR	0.0226206	0.148691	1.30172e-05	130475909
HG03046	AFR	0.0234637	0.151371	1.32519e-05	130475909
HG03048	AFR	0.0227121	0.148984	1.30429e-05	130475909
HG03049	AFR	0.0234215	0.151238	1.32402e-05	130475909
HG03052	AFR	0.0241461	0.153503	1.34385e-05	130475909
HG03054	AFR	0.023093	0.150199	1.31493e-05	130475909
HG03055	AFR	0.0240396	0.153172	1.34096e-05	130475909
HG03057	AFR	0.0229687	0.149804	1.31147e-05	130475909
HG03058	AFR	0.0239307	0.152833	1.33799e-05	130475909
HG03060	AFR	0.0231439	0.15036	1.31634e-05	130475909
HG03061	AFR	0.023789	0.152391	1.33412e-05	130475909
HG03063	AFR	0.0230681	0.15012	1.31423e-05	130475909
HG03064	AFR	0.0237784	0.152358	1.33383e-05	130475909
HG03066	AFR	0.023286	0.15081	1.32028e-05	130475909
HG03069	AFR	0.0233413	0.150985	1.32181e-05	130475909
HG03072	AFR	0.0232616	0.150733	1.3196e-05	130475909
HG03073	AFR	0.0239645	0.152938	1.33891e-05	130475909
HG03074	AFR	0.0229863	0.14986	1.31196e-05	130475909
HG03077	AFR	0.0230689	0.150122	1.31426e-05	130475909
HG03078	AFR	0.0231395	0.150346	1.31622e-05	130475909
HG03079	AFR	0.0239557	0.152911	1.33867e-05	130475909
HG03081	AFR	0.0232411	0.150669	1.31904e-05	130475909
HG03082	AFR	0.0238152	0.152473	1.33484e-05	130475909
HG03084	AFR	0.0232034	0.150549	1.31799e-05	130475909
HG03085	AFR	0.0240167	0.153101	1.34033e-05	130475909
HG03086	AFR	0.023895	0.152722	1.33702e-05	130475909
HG03088	AFR	0.0237623	0.152308	1.33339e-05	130475909
HG03091	AFR	0.0238942	0.15272	1.33699e-05	130475909
HG03095	AFR	0.0239841	0.153	1.33945e-05	130475909
HG03096	AFR	0.023274	0.150772	1.31995e-05	130475909
HG03097	AFR	0.02392	0.1528	1.3377e-05	130475909
HG03099	AFR	0.0234568	0.151349	1.325e-05	130475909
HG03100	AFR	0.0225881	0.148586	1.30081e-05	130475909
HG03103	AFR	0.0223437	0.147799	1.29391e-05	130475909
HG03105	AFR	0.023439	0.151293	1.32451e-05	130475909
HG03108	AFR	0.0236341	0.151906	1.32988e-05	130475909
HG03109	AFR	0.0228495	0.149424	1.30814e-05	130475909
HG03111	AFR	0.0235479	0.151636	1.3275e-05	130475909
HG03112	AFR	0.0227733	0.14918	1.30601e-05	130475909
HG03114	AFR	0.0234334	0.151276	1.32435e-05	130475909
HG03115	AFR	0.0226544	0.148799	1.30267e-05	130475909
HG03117	AFR	0.0238266	0.152509	1.33515e-05	130475909
HG03118	AFR	0.0227521	0.149112	1.30541e-05	130475909
HG03120	AFR	0.0228555	0.149443	1.30831e-05	130475909
HG03121	AFR	0.0233971	0.151161	1.32335e-05	130475909
HG03123	AFR	0.023713	0.152154	1.33204e-05	130475909
HG03124	AFR	0.0227905	0.149235	1.30649e-05	130475909
HG03126	AFR	0.0236889	0.152078	1.33138e-05	130475909
HG03127	AFR	0.0228655	0.149475	1.30859e-05	130475909
HG03129	AFR	0.0232398	0.150664	1.319e-05	130475909
HG03130	AFR	0.0226294	0.148719	1.30197e-05	130475909
HG03132	AFR	0.0235581	0.151668	1.32779e-05	130475909
HG03133	AFR	0.0226962	0.148933	1.30384e-05	130475909
HG03135	AFR	0.0235928	0.151777	1.32874e-05	130475909
HG03136	AFR	0.0226661	0.148837	1.303e-05	130475909
HG03139	AFR	0.0227176	0.149002	1.30445e-05	130475909
HG03157	AFR	0.0230257	0.149985	1.31306e-05	130475909
HG03159	AFR	0.0236678	0.152012	1.3308e-05	130475909
HG03160	AFR	0.0228121	0.149304	1.30709e-05	130475909
HG03162	AFR	0.0235139	0.151529	1.32657e-05	130475909
HG03163	AFR	0.0222192	0.147396	1.29039e-05	130475909
HG03166	AFR	0.0225168	0.148357	1.2988e-05	130475909
HG03168	AFR	0.0234544	0.151342	1.32493e-05	130475909
HG03169	AFR	0.0224824	0.148246	1.29783e-05	130475909
HG03172	AFR	0.0226613	0.148821	1.30287e-05	130475909
HG03175	AFR	0.0228625	0.149465	1.3085e-05	130475909
HG03189	AFR	0.0237102	0.152145	1.33196e-05	130475909
HG03190	AFR	0.0223551	0.147836	1.29424e-05	130475909
HG03193	AFR	0.0231047	0.150236	1.31525e-05	130475909
HG03195	AFR	0.023586	0.151755	1.32855e-05	130475909
HG03196	AFR	0.0228819	0.149527	1.30904e-05	130475909
HG03198	AFR	0.0234448	0.151311	1.32467e-05	130475909
HG03199	AFR	0.0227462	0.149093	1.30525e-05	130475909
HG03202	AFR	0.0227731	0.149179	1.306e-05	130475909
HG03209	AFR	0.0231609	0.150414	1.31681e-05	130475909
HG03212	AFR	0.0237036	0.152124	1.33178e-05	130475909
HG03224	AFR	0.0231338	0.150329	1.31606e-05	130475909
HG03225	AFR	0.023116	0.150272	1.31557e-05	130475909
HG03246	AFR	0.0228066	0.149287	1.30694e-05	130475909
HG03247	AFR	0.0237085	0.152139	1.33192e-05	130475909
HG03258	AFR	0.0227129	0.148987	1.30431e-05	130475909
HG03259	AFR	0.0206247	0.142124	1.24424e-05	130475909
HG03265	AFR	0.0226868	0.148903	1.30358e-05	130475909
HG03267	AFR	0.0236723	0.152026	1.33092e-05	130475909
HG03268	AFR	0.0226476	0.148777	1.30248e-05	130475909
HG03270	AFR	0.0237109	0.152147	1.33198e-05	130475909
HG03271	AFR	0.0227031	0.148955	1.30404e-05	130475909
HG03279	AFR	0.0235908	0.151771	1.32869e-05	130475909
HG03280	AFR	0.0227231	0.149019	1.3046e-05	130475909
HG03291	AFR	0.0236392	0.151922	1.33001e-05	130475909
HG03294	AFR	0.0235244	0.151562	1.32686e-05	130475909
HG03295	AFR	0.0227434	0.149084	1.30517e-05	130475909
HG03297	AFR	0.0235404	0.151612	1.3273e-05	130475909
HG03298	AFR	0.0226587	0.148813	1.30279e-05	130475909
HG03303	AFR	0.0234427	0.151305	1.32461e-05	130475909
HG03304	AFR	0.0228472	0.149416	1.30807e-05	130475909
HG03311	AFR	0.0225904	0.148594	1.30087e-05	130475909
HG03313	AFR	0.0225187	0.148363	1.29886e-05	130475909
HG03342	AFR	0.0237085	0.152139	1.33192e-05	130475909
HG03343	AFR	0.0226168	0.148678	1.30162e-05	130475909
HG03351	AFR	0.0235497	0.151641	1.32756e-05	130475909
HG03352	AFR	0.022727	0.149032	1.30471e-05	130475909
HG03354	AFR	0.0236106	0.151833	1.32923e-05	130475909
HG03363	AFR	0.0234094	0.1512	1.32369e-05	130475909
HG03366	AFR	0.0237086	0.15214	1.33192e-05	130475909
HG03367	AFR	0.0227401	0.149074	1.30508e-05	130475909
HG03369	AFR	0.0235902	0.151769	1.32867e-05	130475909
HG03370	AFR	0.0227604	0.149139	1.30565e-05	130475909
HG03372	AFR	0.0235511	0.151646	1.32759e-05	130475909
HG03376	AFR	0.0230349	0.150014	1.31331e-05	130475909
HG03378	AFR	0.024126	0.15344	1.3433e-05	130475909
HG03380	AFR	0.0239726	0.152964	1.33913e-05	130475909
HG03382	AFR	0.0231977	0.150531	1.31783e-05	130475909
HG03385	AFR	0.0228992	0.149582	1.30953e-05	130475909
HG03388	AFR	0.0230837	0.150169	1.31467e-05	130475909
HG03391	AFR	0.0232047	0.150553	1.31803e-05	130475909
HG03394	AFR	0.0231838	0.150487	1.31745e-05	130475909
HG03397	AFR	0.023058	0.150088	1.31395e-05	130475909
HG03401	AFR	0.0239716	0.152961	1.3391e-05	130475909
HG03410	AFR	0.0238696	0.152643	1.33632e-05	130475909
HG03419	AFR	0.0239879	0.153011	1.33955e-05	130475909
HG03428	AFR	0.023883	0.152685	1.33669e-05	130475909
HG03432	AFR	0.0231245	0.150299	1.3158e-05	130475909
HG03433	AFR	0.0231466	0.150369	1.31642e-05	130475909
HG03436	AFR	0.0230785	0.150153	1.31452e-05	130475909
HG03437	AFR	0.0239426	0.15287	1.33831e-05	130475909
HG03439	AFR	0.0229667	0.149797	1.31141e-05	130475909
HG03442	AFR	0.0231243	0.150298	1.3158e-05	130475909
HG03445	AFR	0.0233247	0.150933	1.32135e-05	130475909
HG03446	AFR	0.0238282	0.152514	1.33519e-05	130475909
HG03449	AFR	0.0239841	0.152999	1.33944e-05	130475909
HG03455	AFR	0.0241045	0.153374	1.34272e-05	130475909
HG03457	AFR	0.0231211	0.150288	1.31571e-05	130475909
HG03458	AFR	0.0240643	0.153249	1.34163e-05	130475909
HG03460	AFR	0.0231416	0.150353	1.31628e-05	130475909
HG03461	AFR	0.0240112	0.153084	1.34018e-05	130475909
HG03464	AFR	0.0241973	0.153661	1.34524e-05	130475909
HG03469	AFR	0.023194	0.150519	1.31773e-05	130475909
HG03470	AFR	0.024182	0.153614	1.34482e-05	130475909
HG03472	AFR	0.023056	0.150082	1.3139e-05	130475909
HG03473	AFR	0.0239654	0.152941	1.33894e-05	130475909
HG03476	AFR	0.0240556	0.153222	1.34139e-05	130475909
HG03478	AFR	0.0231597	0.15041	1.31678e-05	130475909
HG03479	AFR	0.0241076	0.153383	1.3428e-05	130475909
HG03499	AFR	0.0234762	0.15141	1.32553e-05	130475909
HG03514	AFR	0.0237813	0.152367	1.33391e-05	130475909
HG03515	AFR	0.0227273	0.149033	1.30472e-05	130475909
HG03520	AFR	0.0236801	0.152051	1.33114e-05	130475909
HG03521	AFR	0.0226822	0.148888	1.30345e-05	130475909
HG03538	AFR	0.0227202	0.14901	1.30452e-05	130475909
HG03539	AFR	0.0235434	0.151622	1.32738e-05	130475909
HG03547	AFR	0.0232643	0.150742	1.31968e-05	130475909
HG03548	AFR	0.0241504	0.153516	1.34397e-05	130475909
HG03556	AFR	0.023189	0.150503	1.31759e-05	130475909
HG03557	AFR	0.0239331	0.152841	1.33806e-05	130475909
HG03558	AFR	0.0239869	0.153008	1.33952e-05	130475909
HG03559	AFR	0.0232146	0.150584	1.3183e-05	130475909
HG03563	AFR	0.0239425	0.15287	1.33831e-05	130475909
HG03565	AFR	0.0231814	0.150479	1.31738e-05	130475909
HG03567	AFR	0.0241006	0.153362	1.34262e-05	130475909
HG03571	AFR	0.0231159	0.150271	1.31556e-05	130475909
HG03572	AFR	0.024108	0.153385	1.34282e-05	130475909
HG03575	AFR	0.0240476	0.153197	1.34117e-05	130475909
HG03577	AFR	0.0231169	0.150275	1.31559e-05	130475909
HG03578	AFR	0.0239881	0.153012	1.33955e-05	130475909
HG03583	AFR	0.0240271	0.153133	1.34062e-05	130475909
NA18486	AFR	0.0227684	0.149164	1.30587e-05	130475909
NA18488	AFR	0.0237106	0.152146	1.33197e-05	130475909
NA18489	AFR	0.0235536	0.151654	1.32766e-05	130475909
NA18498	AFR	0.0227728	0.149178	1.30599e-05	130475909
NA18499	AFR	0.0235871	0.151759	1.32858e-05	130475909
NA18501	AFR	0.0228767	0.14951	1.3089e-05	130475909
NA18502	AFR	0.0235067	0.151506	1.32637e-05	130475909
NA18504	AFR	0.0227175	0.149001	1.30444e-05	130475909
NA18505	AFR	0.0235913	0.151772	1.3287e-05	130475909
NA18507	AFR	0.0228388	0.14939	1.30784e-05	130475909
NA18508	AFR	0.0238616	0.152618	1.33611e-05	130475909
NA18510	AFR	0.0227759	0.149188	1.30608e-05	130475909
NA18511	AFR	0.0237815	0.152368	1.33392e-05	130475909
NA18516	AFR	0.022629	0.148718	1.30196e-05	130475909
NA18517	AFR	0.0234539	0.15134	1.32492e-05	130475909
NA18519	AFR	0.0226793	0.148879	1.30337e-05	130475909
NA18520	AFR	0.0234671	0.151382	1.32528e-05	130475909
NA18522	AFR	0.0228151	0.149314	1.30718e-05	130475909
NA18523	AFR	0.0236568	0.151977	1.3305e-05	130475909
NA18853	AFR	0.0228981	0.149579	1.3095e-05	130475909
NA18856	AFR	0.0229826	0.149848	1.31185e-05	130475909
NA18858	AFR	0.0236681	0.152013	1.33081e-05	130475909
NA18861	AFR	0.0236992	0.15211	1.33166e-05	130475909
NA18865	AFR	0.0228331	0.149371	1.30768e-05	130475909
NA18867	AFR	0.0234946	0.151468	1.32604e-05	130475909
NA18868	AFR	0.022959	0.149773	1.3112e-05	130475909
NA18870	AFR	0.0237128	0.152153	1.33203e-05	130475909
NA18871	AFR	0.0228077	0.14929	1.30697e-05	130475909
NA18873	AFR	0.023751	0.152272	1.33308e-05	130475909
NA18876	AFR	0.0236981	0.152107	1.33163e-05	130475909
NA18877	AFR	0.0227343	0.149055	1.30491e-05	130475909
NA18878	AFR	0.0235215	0.151553	1.32678e-05	130475909
NA18879	AFR	0.0229667	0.149797	1.31141e-05	130475909
